ir,ia,ir690_ctr,ir690_left,ir690_right,iir,iia,iir690_ctr,iir690_left,iir690_right
6.35E-06,0.84353,,,,1.62E-05,0.22885,,,
6.07E-06,0.87622,,,,1.64E-05,0.35019,,,
6.00E-06,0.81189,,,,1.68E-05,0.37625,,,
5.74E-06,0.838,,,,1.75E-05,0.35957,,,
5.63E-06,0.79963,,,,1.77E-05,0.36601,,,
5.46E-06,0.78922,,,,1.87E-05,0.36601,,,
5.38E-06,0.74155,,,,1.92E-05,0.36601,,,
5.17E-06,0.75833,,,,1.97E-05,0.36601,,,
5.02E-06,0.74454,,,,2.04E-05,0.36601,,,
4.89E-06,0.73148,,,,2.09E-05,0.36601,,,
4.72E-06,0.73517,,,,2.18E-05,0.36601,,,
4.67E-06,0.67966,,,,2.23E-05,0.36601,,,
4.62E-06,0.62417,,,,2.31E-05,0.36601,,,
4.47E-06,0.62837,,,,2.40E-05,0.36601,,,
4.25E-06,0.6697,,,,2.45E-05,0.36601,,,
4.18E-06,0.63393,,,,2.54E-05,0.36601,,,
4.09E-06,0.60498,,,,2.63E-05,0.36601,,,
4.00E-06,0.58708,,,,2.73E-05,0.36601,,,
3.87E-06,0.59015,,,,2.83E-05,0.36601,,,
3.84E-06,0.53272,,,,2.91E-05,0.36601,,,
3.72E-06,0.53424,,,,3.01E-05,0.36601,,,
3.66E-06,0.50002,,,,3.11E-05,0.36601,,,
3.55E-06,0.50127,,,,3.21E-05,0.36601,,,
3.47E-06,0.47792,,,,3.32E-05,0.36601,,,
3.41E-06,0.45274,,,,3.43E-05,0.36601,,,
3.29E-06,0.46113,,,,3.56E-05,0.36601,,,
3.26E-06,0.4171,,,,3.73E-05,0.36601,,,
3.24E-06,0.36529,,,,3.86E-05,0.36601,,,
3.05E-06,0.42727,,,,3.97E-05,0.36601,,,
3.03E-06,0.37837,,,,4.10E-05,0.36601,,,
2.96E-06,0.36704,,,,4.22E-05,0.36601,,,
2.95E-06,0.31569,,,,4.37E-05,0.36601,,,
2.90E-06,0.28614,,,,4.55E-05,0.36601,,,
2.75E-06,0.33238,,,,4.70E-05,0.36601,,,
2.68E-06,0.32732,,,,4.88E-05,0.36601,,,
2.69E-06,0.26035,,,,5.07E-05,0.36601,,,
2.64E-06,0.24192,,,,5.24E-05,0.36601,,,
2.57E-06,0.24288,,,,5.42E-05,0.36601,,,
2.51E-06,0.22965,,,,5.64E-05,0.36601,,,
2.50E-06,0.18188,,,,5.87E-05,0.36601,,,
2.43E-06,0.18133,,,,6.04E-05,0.36601,,,
2.38E-06,0.1688,,,,6.28E-05,0.36601,,,
2.31E-06,0.17538,,,,6.48E-05,0.36601,,,
2.25E-06,0.17253,,,,6.71E-05,0.36601,,,
2.16E-06,0.19446,,,,6.99E-05,0.36601,,,
2.13E-06,0.16681,,,,7.23E-05,0.36601,,,
2.07E-06,0.16686,,,,7.47E-05,0.36601,,,
2.19E-06,0.021856,,,,7.77E-05,0.36601,,,
2.03E-06,0.10261,,,,8.07E-05,0.36601,,,
1.97E-06,0.11336,,,,8.31E-05,0.36601,,,
1.94E-06,0.088635,,,,8.64E-05,0.36601,,,
1.92E-06,0.057058,,,,8.97E-05,0.36601,,,
1.87E-06,0.057188,,,,9.30E-05,0.36601,,,
1.85E-06,0.028678,,,,9.64E-05,0.36601,,,
1.82E-06,0.019759,,,,9.98E-05,0.36601,,,
1.72E-06,0.059195,,,,0.00010334,0.36601,,,
1.74E-06,0,,,,0.00010723,0.36601,,,
1.67E-06,0.047806,,,,0.00011253,0.063468,,,
1.74E-06,0.026642,,,,0.00011185,0.063468,,,
1.83E-06,0,,,,0.00010331,0.063468,,,
1.65E-06,0.16069,,,,0.0001002,0.063468,,,
1.67E-06,0.18233,,,,9.63E-05,0.063468,,,
1.81E-06,0.11122,,,,9.30E-05,0.063468,,,
1.78E-06,0.16481,,,,8.98E-05,0.063468,,,
1.99E-06,0.062311,,,,8.66E-05,0.063468,,,
1.78E-06,0.24444,,,,8.34E-05,0.063468,,,
2.12E-06,0.045428,,,,8.04E-05,0.063468,,,
2.01E-06,0.15588,,,,7.77E-05,0.063468,,,
2.10E-06,0.13112,,,,7.48E-05,0.063468,,,
2.13E-06,0.15,,,,7.22E-05,0.063468,,,
2.14E-06,0.18423,,,,6.96E-05,0.063468,,,
2.26E-06,0.14376,,,,6.73E-05,0.063468,,,
2.16E-06,0.24597,,,,6.47E-05,0.063468,,,
2.32E-06,0.18661,,,,6.24E-05,0.063468,,,
2.31E-06,0.23373,,,,6.04E-05,0.063468,,,
2.36E-06,0.2412,,,,5.81E-05,0.063468,,,
2.46E-06,0.22576,,,,5.60E-05,0.063468,,,
2.48E-06,0.25573,,,,5.41E-05,0.063468,,,
2.50E-06,0.28316,,,,5.21E-05,0.063468,,,
2.64E-06,0.24504,,,,5.03E-05,0.063468,,,
2.54E-06,0.35096,,,,4.85E-05,0.063468,,,
2.72E-06,0.2924,,,,4.67E-05,0.063468,,,
2.81E-06,0.28645,,,,4.53E-05,0.063468,,,
2.89E-06,0.28832,,,,4.37E-05,0.063468,,,
2.90E-06,0.32981,,,,4.19E-05,0.063468,,,
3.07E-06,0.28583,,,,4.06E-05,0.063468,,,
3.24E-06,0.2481,,,,3.95E-05,0.063468,,,
3.13E-06,0.35287,,,,3.77E-05,0.063468,,,
3.23E-06,0.35047,,,,3.67E-05,0.063468,,,
3.25E-06,0.38858,,,,3.55E-05,0.063468,,,
3.24E-06,0.44268,,,,3.40E-05,0.063468,,,
3.44E-06,0.39744,,,,3.31E-05,0.063468,,,
3.47E-06,0.43277,,,,3.21E-05,0.063468,,,
3.63E-06,0.40823,,,,3.10E-05,0.063468,,,
3.72E-06,0.41858,,,,3.00E-05,0.063468,,,
3.89E-06,0.39788,,,,2.97E-05,0.063468,,,
3.86E-06,0.46318,,,,2.80E-05,0.063468,,,
4.03E-06,0.44666,,,,2.71E-05,0.063468,,,
