i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient,a690,aa690,patient 13-slice4-unhealthy
9472,9258,8239,7556,4366,5515,5571,4427,3826,0.096,0.1195,
9158,9015,8048,7395,4366,5618,5645,4459,3836,0.096,0,
8927,8736,7862,7138,4375,5686,5705,4470,3807,0.096,0.1887,
8698,8576,7647,6990,4441,5746,5833,4431,3781,0.096,0.0681,
8526,8358,7472,6899,4455,5863,5811,4493,3833,0.096,0.0233,
8304,8129,7323,6745,4497,5892,5966,4511,3778,0.096,0.0426,
8090,8065,7106,6650,4511,6019,6020,4569,3827,0.096,0.0255,
7911,7779,6992,6435,4488,6157,6138,4606,3773,0.096,0.0542,
7673,7614,6850,6383,4552,6212,6241,4622,3770,0.096,0.0255,
7533,7472,6663,6207,4618,6314,6375,4633,3780,0.096,0.0255,
7335,7245,6572,6072,4612,6401,6441,4667,3757,0.096,0.0255,
7226,7154,6359,5988,4683,6494,6558,4712,3807,0.096,0.0255,
7082,6908,6318,5824,4758,6634,6646,4792,3796,0.096,0.0255,
6939,6819,6190,5773,4748,6784,6829,4813,3776,0.096,0.0255,
6813,6728,6088,5672,4766,6888,6937,4871,3774,0.096,0.0255,
6617,6533,6014,5548,4845,7053,7085,4922,3791,0.096,0.0255,
6540,6460,5787,5410,4886,7151,7209,4972,3732,0.096,0.0255,
6397,6362,5720,5351,4953,7303,7396,4990,3753,0.096,0.0255,
6261,6241,5637,5297,5019,7499,7565,5068,3715,0.096,0.0255,
6153,6090,5593,5214,5116,7680,7720,5124,3757,0.096,0.0255,
6070,5999,5518,5179,5126,7823,7932,5195,3727,0.0839,0.0255,
5965,5884,5454,5082,5189,8063,8102,5299,3762,0.3559,0.0255,
5868,5808,5346,5053,5304,8243,8242,5344,3742,0.254,0.0255,
5760,5723,5331,4961,5379,8478,8512,5474,3729,0.1522,0.0255,
5699,5646,5251,4935,5410,8677,8758,5525,3711,0.1559,0.0255,
5587,5524,5146,4783,5562,8993,8944,5632,3770,0.4243,0.0255,
5533,5519,5074,4837,5654,9163,9248,5723,3765,0.13,0.0255,
5457,5408,5073,4808,5767,9432,9553,5865,3698,0.2436,0.0255,
5441,5323,5019,4788,5874,9879,9867,6037,3734,0.1613,0.0255,
5329,5312,4977,4703,5939,10189,10167,6078,3763,0.2091,0.0255,
5208,5212,4837,4666,6043,10385,10407,6216,3781,0.1321,0.0255,
5206,5109,4786,4596,6239,10807,10817,6342,3758,0.569,0.0255,
5139,5157,4791,4583,6423,11154,11270,6552,3795,0.3965,0.0255,
5119,5096,4788,4562,6593,11650,11658,6771,3771,0.2051,0.0255,
5051,5031,4718,4532,6763,11996,12014,6862,3801,0.7767,0.0255,
4953,5003,4679,4438,6822,12414,12523,7041,3817,1,0.0255,
4959,4949,4672,4447,7067,12902,13025,7272,3814,0.1358,0.0255,
4853,4914,4611,4448,7250,13358,13501,7365,3798,0.3855,0.0255,
4880,4866,4603,4427,7375,13886,14002,7620,3871,0.1803,0.0255,
4837,4819,4594,4373,7622,14377,14517,7839,3793,0.1112,0.0255,
4763,4808,4575,4385,7829,15046,15087,8146,3844,0.3452,0.0255,
4765,4757,4552,4369,8169,15771,15788,8421,3904,0.7018,0.0255,
4818,4751,4552,4383,8387,16534,16459,8671,3913,0.4255,0.0255,
4731,4688,4465,4354,8588,16924,17053,8894,3889,0.9646,0.0255,
4678,4676,4462,4309,8900,17621,17802,9112,3906,0.197,0.0255,
4635,4644,4431,4312,9160,18294,18537,9450,3898,0.4511,0.0255,
4648,4610,4448,4264,9451,19097,19409,9900,3918,0.25,0.0255,
4592,4633,4445,4298,9760,20079,20135,10179,3939,0.141,0.0255,
4582,4572,4488,4316,10114,20909,21094,10528,3943,0.7511,0.0255,
4544,4579,4414,4272,10520,21806,22106,10928,3941,0.5871,0.0255,
4610,4587,4423,4297,10909,22854,23136,11339,3956,0.2457,0.0255,
4576,4549,4421,4316,11390,23925,24214,11924,4022,0,0.0255,
4562,4550,4446,4326,11689,25081,25318,12406,3996,0.3162,0.0255,
4539,4583,4394,4307,12185,26188,26510,12767,4014,0.7405,0.0255,
4530,4510,4407,4308,12800,27519,27778,13463,4050,0.4877,0.0255,
4511,4534,4398,4330,13182,28547,28961,13880,4036,0.4304,0.0255,
4469,4483,4379,4316,13661,29968,30358,14485,4021,0.6163,0.0255,
4507,4442,4357,4264,14199,31392,31809,15031,4054,0.2509,0.0255,
4505,4467,4365,4307,14874,32766,33268,15635,4011,0.3896,0.0255,
4443,4444,4339,4277,15446,34341,34882,16416,4070,0.7004,0.0255,
4458,4464,4369,4340,16130,35985,36488,17080,4128,0.483,0.0255,
4405,4424,4322,4285,16740,37696,38203,17895,4024,0.3224,0.0255,
4388,4386,4367,4264,17417,39395,40127,18657,4083,0.2571,0.0255,
4379,4412,4326,4246,18241,41244,42109,19567,4042,0.2073,0.0255,
4359,4384,4310,4261,18909,43119,44130,20330,4090,0.2456,0.0255,
4380,4394,4336,4217,19863,45303,46134,21250,4083,0.4501,0.0255,
4392,4377,4269,4212,20657,47537,48438,22275,4102,0.2439,0.0255,
4312,4413,4324,4209,21511,49675,50764,23300,4102,0.1336,0.0255,
4273,4385,4284,4214,22586,51872,53113,24329,4056,0.3512,0.0255,
4254,4312,4248,4180,23550,54089,55664,25397,4036,0.1144,0.0255,
4263,4300,4253,4185,24477,56482,58255,26572,4028,0.0956,0.0255,
4259,4282,4202,4132,25670,59171,61399,27736,4031,0.096,0.0255,
60903,60818,58006,55510,5124,5318,5419,5205,5127,0.0184,0.0154,patient 13-slice6-unhealthy
58523,58663,55881,53700,5098,5336,5418,5214,5116,0.0184,0.0154,
