intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
9158,0.2137,,,,,,,,,
8804,0.1402,,,,,,,,,
8444,0.209,,,,,,,,,
8132,0.2775,,,,,,,,,
7893,0.2168,,,,,,,,,
7529,0.2259,,,,,,,,,
7244,0.2162,,,,,,,,,
7012,0.2359,,,,,,,,,
6764,0.1351,,,,,,,,,
6529,0.2676,,,,,,,,,
6293,0.2515,,,,,,,,,
6025,0.2113,,,,,,,,,
5811,0.2655,,,,,,,,,
5655,0.2512,,,,,,,,,
5447,0.2361,,,,,,,,,
5241,0.1717,,,,,,,,,
5037,0.2312,,,,,,,,,
4864,0.2463,,,,,,,,,
4688,0.1574,,,,,,,,,
4577,0.0916,,,,,,,,,
4337,0.1447,,,,,,,,,
4184,0.1574,,,,,,,,,
4065,0.1345,,,,,,,,,
3949,0.1464,,,,,,,,,
3766,0.0696,,,,,,,,,
3674,0.1259,,,,,,,,,
3555,0.1627,,,,,,,,,
3405,0.1852,,,,,,,,,
3327,0.1067,,,,,,,,,
3230,0.1164,,,,,,,,,
3097,0.0614,,,,,,,,,
3062,0.1548,,,,,,,,,
2961,0.1581,,,,,,,,,
2843,0.1529,,,,,,,,,
2732,0.1206,,,,,,,,,
2656,0.1378,,,,,,,,,
2555,0.0871,,,,,,,,,
2520,0.1247,,,,,,,,,
2462,0.2066,,,,,,,,,
2337,0,,,,,,,,,
2269,0.0905,,,,,,,,,
2234,0.1491,,,,,,,,,
2155,0.2132,,,,,,,,,
2135,0.2551,,,,,,,,,
2054,0.0507,,,,,,,,,
2036,0.0524,,,,,,,,,
1976,0.1196,,,,,,,,,
1915,0.054,,,,,,,,,
1881,0.0714,,,,,,,,,
1823,0.1371,,,,,,,,,
1822,0.1622,,,,,,,,,
1731,0.1091,,,,,,,,,
1758,0.2386,,,,,,,,,
1727,0.1885,,,,,,,,,
1665,0.0436,,,,,,,,,
1598,0.134,,,,,,,,,
1651,0.2102,,,,,,,,,
1578,0.0992,,,,,,,,,
1572,0.1728,,,,,,,,,
1542,0.3579,,,,,,,,,
1540,0.3635,,,,,,,,,
1534,0.2074,,,,,,,,,
1455,0.4061,,,,,,,,,
1511,0.1754,,,,,,,,,
1446,0.2128,,,,,,,,,
1423,0.3633,,,,,,,,,
1415,0.4067,,,,,,,,,
1358,0.0996,,,,,,,,,
1382,0.3828,,,,,,,,,
1366,0.3017,,,,,,,,,
1351,0.2532,,,,,,,,,
1310,0.545,,,,,,,,,
1277,0.5921,,,,,,,,,
1280,0.339,,,,,,,,,
1290,0.7945,,,,,,,,,
1252,0.2354,,,,,,,,,
1245,0.2856,,,,,,,,,
1237,0.6061,,,,,,,,,
1199,0.5779,,,,,,,,,
1174,0.4578,,,,,,,,,
1177,0.5801,,,,,,,,,
1182,1,,,,,,,,,
1134,0.2031,,,,,,,,,
64086,0.1543,,,,,,,,,
64130,0.1683,,,,,,,,,
59893,0.1779,,,,,,,,,
56622,0.1913,,,,,,,,,
53934,0.114,,,,,,,,,
51671,0.1427,,,,,,,,,
49356,0.0733,,,,,,,,,
47372,0.1496,,,,,,,,,
45146,0.1178,,,,,,,,,
43186,0.063,,,,,,,,,
41457,0.2178,,,,,,,,,
39360,0.1738,,,,,,,,,
37696,0.1224,,,,,,,,,
36027,0.0831,,,,,,,,,
34577,0.2129,,,,,,,,,
32908,0.1774,,,,,,,,,
31477,0.1427,,,,,,,,,
30150,0.0854,,,,,,,,,
28783,0.2199,,,,,,,,,
27540,0.1973,,,,,,,,,
26419,0.1592,,,,,,,,,
25157,0.1355,,,,,,,,,
24137,0.1132,,,,,,,,,
23003,0.1064,,,,,,,,,
22150,0.0694,,,,,,,,,
21260,0.1609,,,,,,,,,
20352,0.1343,,,,,,,,,
19504,0.1214,,,,,,,,,
18771,0.0915,,,,,,,,,
18147,0.0806,,,,,,,,,
17232,0.0786,,,,,,,,,
16639,0.0646,,,,,,,,,
15991,0.143,,,,,,,,,
15385,0.1596,,,,,,,,,
14916,0.1223,,,,,,,,,
14282,0.1253,,,,,,,,,
13782,0.1178,,,,,,,,,
13352,0.1005,,,,,,,,,
13199,0.0389,,,,,,,,,
12341,0.1245,,,,,,,,,
12014,0.1263,,,,,,,,,
11569,0.1116,,,,,,,,,
11163,0.1332,,,,,,,,,
10806,0.1488,,,,,,,,,
10454,0.1385,,,,,,,,,
10133,0.1612,,,,,,,,,
9742,0.1647,,,,,,,,,
9404,0.2003,,,,,,,,,
9206,0.1815,,,,,,,,,
8865,0.1666,,,,,,,,,
8504,0.199,,,,,,,,,
8237,0.2242,,,,,,,,,
7994,0.2273,,,,,,,,,
7684,0.2466,,,,,,,,,
7439,0.1388,,,,,,,,,
7169,0.211,,,,,,,,,
6935,0.1397,,,,,,,,,
6691,0.1961,,,,,,,,,
6421,0.1963,,,,,,,,,
6219,0.2016,,,,,,,,,
5984,0.136,,,,,,,,,
5728,0.1311,,,,,,,,,
5557,0.1875,,,,,,,,,
5378,0.1664,,,,,,,,,
5132,0.2188,,,,,,,,,
4974,0.0552,,,,,,,,,
4805,0.0797,,,,,,,,,
4653,0.0987,,,,,,,,,
4505,0.1041,,,,,,,,,
4327,0.1062,,,,,,,,,
4199,0.1128,,,,,,,,,
3995,0.1948,,,,,,,,,
3857,0.1245,,,,,,,,,
3765,0.1773,,,,,,,,,
3624,0.1793,,,,,,,,,
3522,0.2328,,,,,,,,,
3427,0.2006,,,,,,,,,
3313,0.2557,,,,,,,,,
3197,0.2532,,,,,,,,,
3115,0.2731,,,,,,,,,
3018,0.2404,,,,,,,,,
2932,0.3559,,,,,,,,,
2839,0.3358,,,,,,,,,
2729,0.2693,,,,,,,,,
2676,0.2566,,,,,,,,,
2614,0.3615,,,,,,,,,
2549,0.4808,,,,,,,,,
2484,0.3738,,,,,,,,,
2441,0.4533,,,,,,,,,
2343,0.3727,,,,,,,,,
2305,0,,,,,,,,,
2259,0.1068,,,,,,,,,
2200,0.0296,,,,,,,,,
2152,0.111,,,,,,,,,
2129,0.1266,,,,,,,,,
2035,0.0062,,,,,,,,,
2037,0.1652,,,,,,,,,
1992,0.2164,,,,,,,,,
1940,0.0701,,,,,,,,,
1877,0.1327,,,,,,,,,
1844,0.22,,,,,,,,,
1804,0.2384,,,,,,,,,
1786,0.1948,,,,,,,,,
1696,0.3227,,,,,,,,,
1713,0.2991,,,,,,,,,
1654,0.3367,,,,,,,,,
1661,0.1452,,,,,,,,,
1607,0.3592,,,,,,,,,
1623,0.2661,,,,,,,,,
1569,0.3311,,,,,,,,,
1552,0.4195,,,,,,,,,
1496,0.3788,,,,,,,,,
1532,0.4162,,,,,,,,,
1448,0.342,,,,,,,,,
1460,0.1529,,,,,,,,,
1420,0.5397,,,,,,,,,
1374,0.6802,,,,,,,,,
1385,0.3939,,,,,,,,,
1356,0.6907,,,,,,,,,
1337,0.4757,,,,,,,,,
1305,0.7766,,,,,,,,,
1322,0.5626,,,,,,,,,
1307,0.5448,,,,,,,,,
1267,1,,,,,,,,,
1255,0.8877,,,,,,,,,
1274,0.8227,,,,,,,,,
1253,0.6506,,,,,,,,,
1219,0.6427,,,,,,,,,
59294,0.259,,,,,,,,,
56764,0.3191,,,,,,,,,
54556,0.2449,,,,,,,,,
52435,0.2522,,,,,,,,,
50159,0.2799,,,,,,,,,
47942,0.3089,,,,,,,,,
