i690,i750,i800,i850,ia,itest_left,itest_right,itest_ctr,ii690,ii750,ii800,ii850,iia,iitest_left,iitest_right,iitest_ctr
15781,16088,15922,16240,0.4517,,,,2673,3632,3743,2792,0.4156,,,
15183,15503,15320,15698,0.46,,,,2708,3749,3849,2828,0.268,,,
14571,14831,14645,15046,0.4917,,,,2756,3782,3921,2901,0.3237,,,
14042,14286,14151,14521,0.511,,,,2816,3980,4068,2972,0.3356,,,
13496,13686,13574,13962,0.5332,,,,2827,4029,4156,3018,0.4148,,,
13220,13333,13173,13623,0.5003,,,,3020,4189,4291,3172,0,,,
12367,12618,12539,12817,0.6131,,,,3001,4194,4386,3180,0.2795,,,
11961,12156,12062,12307,0.6179,,,,3062,4332,4445,3244,0.7828,,,
11466,11601,11645,11834,0.6452,,,,3153,4426,4546,3311,0.6075,,,
11011,11163,11224,11464,0.6796,,,,3188,4503,4658,3392,0.7257,,,
10680,10726,10802,10943,0.6806,,,,3267,4691,4821,3479,0.676,,,
10241,10382,10401,10603,0.7153,,,,3353,4748,4915,3528,0.6098,,,
9824,9979,9951,10164,0.7448,,,,3385,4894,5062,3585,0.6522,,,
9584,9631,9681,9797,0.7357,,,,3491,5009,5165,3713,0.5937,,,
9144,9259,9289,9452,0.7767,,,,3589,5131,5316,3801,0.4438,,,
8885,8954,8955,9146,0.7847,,,,3657,5283,5456,3908,0.5213,,,
8529,8620,8643,8843,0.8131,,,,3739,5441,5595,3978,0.459,,,
8199,8327,8404,8557,0.8422,,,,3860,5624,5798,4092,0.3469,,,
7993,8015,8056,8176,0.8455,,,,3956,5698,5876,4173,0.3849,,,
7750,7713,7834,7952,0.8521,,,,4011,5905,6073,4284,0.4361,,,
7466,7527,7575,7667,0.8671,,,,4112,6041,6190,4421,0.2178,,,
7248,7215,7295,7470,0.8773,,,,4218,6187,6389,4540,0.2056,,,
7022,6990,7102,7220,0.8759,,,,4301,6409,6523,4633,0.6432,,,
6832,6761,6882,6959,0.8818,,,,4413,6599,6677,4739,0.6359,,,
6590,6566,6624,6750,0.9121,,,,4518,6676,6897,4866,0.6457,,,
6386,6327,6460,6535,0.9269,,,,4616,6926,7083,4979,0.6596,,,
6182,6210,6303,6343,0.9436,,,,4706,7093,7312,5135,0.6878,,,
6020,5993,6091,6124,0.9383,,,,4848,7253,7523,5251,0.5942,,,
5865,5830,5902,5965,0.9398,,,,4992,7449,7732,5349,0.5387,,,
5675,5676,5750,5864,0.9479,,,,5119,7742,7895,5566,0.4745,,,
5557,5498,5543,5658,0.9304,,,,5235,7933,8131,5665,0.4646,,,
5410,5353,5415,5458,0.9438,,,,5327,8102,8363,5789,0.5561,,,
5282,5179,5286,5297,0.9367,,,,5498,8348,8597,5987,0.4673,,,
