AC,TSI,O2HB,HHB,THb,HB_diff,PI,,,
0.51339625,92.41619264,9.3484376,8.77940903,18.12774657,0.56902875,2.1,,,
0.4967918,92.42716902,9.4012146,8.91979542,18.32091027,0.48141901,1.9,,,
0.3951025,92.43854447,9.51440687,9.06534013,18.57964689,0.44906673,1.8,,,
0.2001972,92.59547349,9.51269999,9.20443669,18.71703625,0.30826341,1.8,,,
0.15645025,92.67042769,9.5601859,9.33648204,18.89656753,0.22370383,1.7,,,
0.1211777,92.67568357,9.67816609,9.49819137,19.17625731,0.1799746,1.7,,,
0.08373165,92.66837463,9.75613726,9.66967965,19.42571678,0.08645766,1.7,,,
0.1191129,92.74227676,9.85920808,9.82981862,19.68892688,0.02938937,1.5,,,
0.143846,92.84165802,10.0149989,9.9884673,20.00336645,0.02653141,1.5,,,
0.1262102,92.91591339,10.09170979,10.14935189,20.24096145,-0.05764202,1.5,,,
0.1306839,93.00563431,10.16349524,10.29072104,20.45411644,-0.12722571,1.5,,,
0.1204881,93.0067375,10.25754136,10.43193255,20.68937379,-0.17439124,1.4,,,
0.1088104,93.02560043,10.31002131,10.58516837,20.89508953,-0.27514695,1.3,,,
0.1218653,93.009169,10.35423374,10.73790397,21.09203758,-0.38367022,1.3,,,
0.21049975,93.07016831,10.4129424,10.88215847,21.29500104,-0.46921609,1.3,,,
0.2666139,93.1216713,10.46338357,11.02591305,21.48919697,-0.56252954,1.3,,,
0.2422242,93.12606203,10.49403753,11.16980752,21.66374513,-0.67577023,1.3,,,
0.233406,93.19086991,10.53545372,11.29463463,21.82998829,-0.75918089,1.3,,,
0.18187285,93.2208252,10.57020675,11.43794146,22.0080488,-0.86773462,1.3,,,
0.0597934,93.27425079,10.59188336,11.58413412,22.17591762,-0.9922505,1.3,,,
0.02383185,93.26930466,10.68601979,11.70747041,22.39339028,-1.02145088,1.4,,,
0.0224552,93.2146141,10.77573843,11.86379424,22.63943272,-1.08805575,1.4,,,
0.03834725,93.18090439,10.87287749,12.02006539,22.89284285,-1.14718788,1.4,,,
0.1515846,93.15342179,11.04355146,12.13950873,23.18296013,-1.09595731,1.4,,,
0.1968164,93.17794877,11.16240044,12.28222056,23.44452096,-1.11982011,1.5,,,
0.2159367,93.23282319,11.23391046,12.41688891,23.65069943,-1.18297826,1.5,,,
0.33123965,93.3101036,11.27686251,12.55902034,23.83578339,-1.282158,1.5,,,
0.375782,93.3762268,11.32732504,12.68322486,24.01044979,-1.35589987,1.5,,,
0.27250195,93.41619186,11.35500222,12.83496056,24.18986263,-1.47995831,1.5,,,
0.2321959,93.43140182,11.38190099,12.98781883,24.36961974,-1.60591794,1.5,,,
0.2661996,93.39723892,11.44528102,13.1253376,24.57051849,-1.68005642,1.4,,,
0.1522742,93.420018,11.4907753,13.26912699,24.75980224,-1.77835166,1.3,,,
