690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,d690,d750,d800,d850,ai690,
0.018406,0.018102,0.018319,0.01788,0.28086,0.28331,0.28257,0.27412,1,0.299266,0.301412,0.300889,0.292,0.89304,
0.018091,0.01779,0.017725,0.01725,0.28919,0.29578,0.29434,0.2855,1,0.307281,0.31357,0.312065,0.30275,0.7983,
0.017211,0.016575,0.016146,0.016279,0.30157,0.30569,0.30599,0.29745,1,0.318781,0.322265,0.322136,0.313729,0.78015,
0.016166,0.015541,0.016078,0.016381,0.31229,0.31744,0.31706,0.30709,1,0.328456,0.332981,0.333138,0.323471,0.78825,
0.016099,0.014704,0.014567,0.014985,0.32481,0.33199,0.33155,0.32398,1,0.340909,0.346694,0.346117,0.338965,0.66774,
0.014772,0.014032,0.014906,0.014457,0.34021,0.34492,0.34423,0.33608,1,0.354982,0.358952,0.359136,0.350537,0.72117,
0.013709,0.013227,0.012869,0.012635,0.34974,0.35644,0.35541,0.34572,1,0.363449,0.369667,0.368279,0.358355,0.74433,
0.013593,0.012834,0.012801,0.012601,0.3639,0.3689,0.36953,0.35891,1,0.377493,0.381734,0.382331,0.371511,0.63603,
0.012564,0.01221,0.011715,0.011494,0.37676,0.38314,0.38297,0.37164,1,0.389324,0.39535,0.394685,0.383134,0.6613,
0.011784,0.011225,0.011901,0.010915,0.39126,0.39885,0.39708,0.38869,1,0.403044,0.410075,0.408981,0.399605,0.65479,
0.011386,0.0097811,0.011732,0.010881,0.4072,0.41451,0.41173,0.40289,1,0.418586,0.4242911,0.423462,0.413771,0.59435,
0.010738,0.0097483,0.0097282,0.0099275,0.42421,0.42843,0.43009,0.42009,1,0.434948,0.4381783,0.4398182,0.4300175,0.57393,
0.0099915,0.0097647,0.0089642,0.0086844,0.43973,0.44477,0.44545,0.437,1,0.4497215,0.4545347,0.4544142,0.4456844,0.57208,
0.009643,0.0093544,0.0092358,0.0089398,0.45604,0.46509,0.46305,0.45695,1,0.465683,0.4744444,0.4722858,0.4658898,0.51125,
0.0098422,0.0090754,0.0087944,0.0088036,0.47721,0.48347,0.48139,0.47432,1,0.4870522,0.4925454,0.4901844,0.4831236,0.36834,
0.0084148,0.0082548,0.0073174,0.0077649,0.49199,0.50115,0.49916,0.49227,1,0.5004048,0.5094048,0.5064774,0.5000349,0.48067,
0.0076347,0.0075327,0.007623,0.0067262,0.51135,0.52096,0.51956,0.51085,1,0.5189847,0.5284927,0.527183,0.5175762,0.49742,
0.0070538,0.0064988,0.0067062,0.0063515,0.53113,0.54092,0.54007,0.53213,1,0.5381838,0.5474188,0.5467762,0.5384815,0.48483,
0.0076513,0.0065481,0.0069608,0.0064367,0.55343,0.5615,0.56006,0.55309,1,0.5610813,0.5680481,0.5670208,0.5595267,0.27927,
0.0063899,0.0062691,0.0067741,0.0061131,0.57488,0.5841,0.58417,0.57413,1,0.5812699,0.5903691,0.5909441,0.5802431,0.38263,
0.0054937,0.0056619,0.005348,0.004819,0.59642,0.60471,0.60244,0.5936,1,0.6019137,0.6103719,0.607788,0.598419,0.43303,
0.0052447,0.0048577,0.0048386,0.0044784,0.61827,0.62824,0.62642,0.61989,1,0.6235147,0.6330977,0.6312586,0.6243684,0.37275,
0.0055933,0.0050218,0.0051612,0.0044784,0.64325,0.6527,0.65173,0.64317,1,0.6488433,0.6577218,0.6568912,0.6476484,0.2103,
0.004531,0.0045623,0.0036502,0.0034738,0.66816,0.67837,0.67245,0.66989,1,0.672691,0.6829323,0.6761002,0.6733638,0.29657,
0.0043485,0.0037089,0.003786,0.0034567,0.69176,0.70549,0.69846,0.6967,1,0.6961085,0.7091989,0.702246,0.7001567,0.23001,
0.0036016,0.0034464,0.0035144,0.0033205,0.71846,0.72852,0.72429,0.7226,1,0.7220616,0.7319664,0.7278044,0.7259205,0.26847,
0.003502,0.0026586,0.0028353,0.0023158,0.74698,0.75803,0.75447,0.75045,1,0.750482,0.7606886,0.7573053,0.7527658,0.18984,
0.0031701,0.0027899,0.0024618,0.001839,0.77638,0.78752,0.78207,0.77856,1,0.7795501,0.7903099,0.7845318,0.780399,0.15612,
0.0029377,0.0037582,0.0027674,0.0019923,0.80577,0.81715,0.81128,0.81192,1,0.8087077,0.8209082,0.8140474,0.8139123,0.10562,
0.0024896,0.0024781,0.0020543,0.0010728,0.83918,0.85024,0.84065,0.84301,1,0.8416696,0.8527181,0.8427043,0.8440828,0.097508,
0.0017759,0.0021827,0.0021392,0.0019072,0.87199,0.87744,0.8732,0.87574,1,0.8737659,0.8796227,0.8753392,0.8776472,0.14396,
0.0019751,0.0021991,0.0014261,0.0011409,0.90099,0.90814,0.90446,0.9056,1,0.9029651,0.9103391,0.9058861,0.9067409,0.014495,
0.0013278,0.0012473,0.0011375,0.0001192,0.93333,0.93645,0.93713,0.93488,1,0.9346578,0.9376973,0.9382675,0.9349992,0.051908,
0.0011452,0.001395,0.00035653,0,0.97162,0.96825,0.9687,0.96952,1,0.9727652,0.969645,0.96905653,0.96952,0,
0,0,0,0.00020434,1,1,1,1,1,1,1,1,1.00020434,0.14939,
1,1,1,1,0,0,0,0,1,1,1,1,1,0.57264,
0.96067,0.96504,0.9627,0.9671,0.0020812,0.0017817,0.001396,0.00082192,1,0.9627512,0.9668217,0.964096,0.96792192,0.59407,
0.92627,0.9352,0.92719,0.93475,0.0020257,0.0026317,0.0019709,0.00096283,1,0.9282957,0.9378317,0.9291609,0.93571283,0.58422,
0.8907,0.90146,0.8924,0.90301,0.0035242,0.0022884,0.0026607,0.0026536,1,0.8942242,0.9037484,0.8950607,0.9056636,0.57186,
0.85538,0.86511,0.85936,0.86612,0.0036074,0.003122,0.0032355,0.0022075,1,0.8589874,0.868232,0.8625955,0.8683275,0.61751,
0.82036,0.82951,0.8244,0.83323,0.0035242,0.0032691,0.0031534,0.0032172,1,0.8238842,0.8327791,0.8275534,0.8364472,0.64482,
0.78695,0.7978,0.79143,0.79944,0.0048561,0.0046258,0.0039582,0.0030998,1,0.7918061,0.8024258,0.7953882,0.8025398,0.63689,
0.7552,0.76406,0.75678,0.76698,0.0046064,0.003547,0.0045001,0.0033816,1,0.7598064,0.767607,0.7612801,0.7703616,0.55503,
0.72228,0.73188,0.72958,0.73509,0.0056886,0.004822,0.0051735,0.004955,1,0.7279686,0.736702,0.7347535,0.740045,0.62427,
0.69237,0.70344,0.69866,0.70629,0.0067153,0.0058681,0.0059126,0.0055421,1,0.6990853,0.7093081,0.7045726,0.7118321,0.56321,
0.66507,0.67504,0.66999,0.67836,0.0065488,0.0056393,0.0060933,0.0054717,1,0.6716188,0.6806793,0.6760833,0.6838317,0.59868,
0.63607,0.64435,0.64137,0.64777,0.0070761,0.005721,0.0068159,0.0048141,1,0.6431461,0.650071,0.6481859,0.6525841,0.56808,
0.60768,0.61677,0.61555,0.62081,0.0073536,0.0077806,0.0072101,0.0068337,1,0.6150336,0.6245506,0.6227601,0.6276437,0.66165,
0.5825,0.59065,0.5885,0.59405,0.0088798,0.0076335,0.0083105,0.007139,1,0.5913798,0.5982835,0.5968105,0.601189,0.61663,
0.55806,0.56709,0.56505,0.57338,0.010045,0.0091863,0.008836,0.0081253,1,0.568105,0.5762763,0.573886,0.5815053,0.61701,
0.53314,0.54219,0.53978,0.54666,0.011127,0.010069,0.010347,0.0094169,1,0.544267,0.552259,0.550127,0.5560769,0.60901,
0.51312,0.52054,0.51854,0.52244,0.01146,0.010527,0.011316,0.01038,1,0.52458,0.531067,0.529856,0.53282,0.64778,
0.48987,0.49798,0.49592,0.50251,0.01196,0.011344,0.011727,0.010356,1,0.50183,0.509324,0.507647,0.512866,0.65086,
0.46919,0.47791,0.47452,0.48247,0.015012,0.013518,0.012893,0.012235,1,0.484202,0.491428,0.487413,0.494705,0.62888,
0.44796,0.45635,0.45394,0.46094,0.014069,0.013011,0.013008,0.012986,1,0.462029,0.469361,0.466948,0.473926,0.63551,
0.43115,0.43858,0.43674,0.44156,0.013986,0.01342,0.014125,0.012963,1,0.445136,0.452,0.450865,0.454523,0.57888,
0.41065,0.41673,0.41463,0.41973,0.016233,0.01373,0.014962,0.013409,1,0.426883,0.43046,0.429592,0.433139,0.60905,
0.3926,0.4005,0.39727,0.403,0.01701,0.015757,0.01575,0.01456,1,0.40961,0.416257,0.41302,0.41756,0.61062,
0.37616,0.38067,0.37938,0.38604,0.016761,0.016509,0.015833,0.015405,1,0.392921,0.397179,0.395213,0.401445,0.5969,
0.35935,0.36394,0.36401,0.37013,0.020285,0.017948,0.018772,0.01712,1,0.379635,0.381888,0.382782,0.38725,0.60758,
0.34303,0.34988,0.34766,0.35605,0.020534,0.019026,0.018937,0.018176,1,0.363564,0.368906,0.366597,0.374226,0.62485,
0.32973,0.33244,0.33333,0.33633,0.022255,0.020089,0.021138,0.019045,1,0.351985,0.352529,0.354468,0.355375,0.5923,
0.31316,0.31772,0.31674,0.32103,0.022338,0.020596,0.021187,0.018998,1,0.335498,0.338316,0.337927,0.340028,0.64874,
0.30207,0.30633,0.30294,0.31008,0.023531,0.022492,0.022714,0.021206,1,0.325601,0.328822,0.325654,0.331286,0.6275,
0.28825,0.29431,0.28998,0.29676,0.026223,0.024486,0.024964,0.024493,1,0.314473,0.318796,0.314944,0.321253,0.65122,
0.27342,0.27846,0.27671,0.28254,0.028276,0.025303,0.025736,0.02454,1,0.301696,0.303763,0.302446,0.30708,0.71694,
0.26134,0.26605,0.26433,0.26992,0.028915,0.026562,0.026689,0.025339,1,0.290255,0.292612,0.291019,0.295259,0.72952,
0.24815,0.25304,0.25343,0.25866,0.029109,0.027395,0.028101,0.026325,1,0.277259,0.280435,0.281531,0.284985,0.78693,
0.23778,0.2422,0.24121,0.24468,0.031828,0.028818,0.029317,0.027828,1,0.269608,0.271018,0.270527,0.272508,0.78339,
0.22847,0.23324,0.23184,0.23642,0.034381,0.031662,0.031994,0.030012,1,0.262851,0.264902,0.263834,0.266432,0.7626,
