pixel#,intensity1,intensity2,iii,aaa,absorption1,absorption2
12,0.65552439,0.005398378,0.660922767,0.868199691,0.120318977,0.747880714
13,0.628321522,0.003250332,0.631571854,0.921618231,0.135697559,0.785920671
14,0.604985809,0.004776575,0.609762384,0.81312521,0.133835164,0.679290045
15,0.583326418,0.006641983,0.589968401,0.758370358,0.136421095,0.621949263
16,0.55750112,0.006528928,0.564030048,0.734253439,0.155371125,0.578882314
17,0.536024298,0.006331082,0.54235538,0.753291352,0.13616877,0.617122582
18,0.516788103,0.006952884,0.523740987,0.800051563,0.160777755,0.639273808
19,0.496174337,0.007829061,0.504003398,0.585176437,0.169447264,0.415729173
20,0.477884184,0.008394336,0.48627852,0.773796788,0.194878711,0.578918078
21,0.461386533,0.008931347,0.47031788,0.84321864,0.180753426,0.662465214
22,0.442349505,0.010514118,0.452863622,0.747461639,0.21944421,0.528017429
23,0.423959768,0.010061898,0.434021666,0.774592894,0.239923242,0.534669651
24,0.408540937,0.010485854,0.419026791,0.884467443,0.250308496,0.634158947
25,0.392176063,0.012238207,0.40441427,0.685714595,0.275341532,0.410373064
26,0.377919039,0.012322998,0.390242037,0.771718397,0.30401606,0.467702337
27,0.363313472,0.01308612,0.376399592,0.710064348,0.300903238,0.40916111
28,0.348209988,0.014160142,0.362370131,0.834968429,0.353306698,0.48166173
29,0.336293174,0.015827704,0.352120878,0.804738421,0.335298127,0.469440294
30,0.322002954,0.016082078,0.338085032,0.717152917,0.366297261,0.350855656
31,0.30834343,0.015629858,0.323973288,0.710743272,0.423439235,0.287304037
32,0.29735606,0.017834431,0.315190491,0.77134692,0.44668096,0.324665961
33,0.286053344,0.018795399,0.304848742,0.891322015,0.497886382,0.393435633
34,0.273920765,0.019191091,0.293111856,0.806094332,0.510231489,0.295862843
35,0.264742494,0.021084763,0.285827257,0.729088439,0.511196644,0.217891795
36,0.252609915,0.021904412,0.274514327,0.806614899,0.549458537,0.257156362
37,0.245074771,0.023119754,0.268194524,0.839150098,0.568098352,0.271051746
38,0.234103998,0.025041689,0.259145687,0.914566813,0.591340803,0.32322601
39,0.230535593,0.026483141,0.257018733,0.617391014,0.527287025,0.090103989
40,0.215083567,0.026991888,0.242075455,0.953988583,0.693568454,0.260420128
41,0.207100297,0.027698482,0.234798779,0.928890444,0.689805539,0.239084905
42,0.197739457,0.030355275,0.228094732,0.875659486,0.721162704,0.154496782
43,0.189042506,0.031061869,0.220104375,0.985066578,0.763374053,0.221692525
44,0.182387014,0.033718663,0.216105677,0.956480804,0.75429189,0.202188915
45,0.17485187,0.034368729,0.209220599,0.971168189,0.79703976,0.174128428
46,0.168744087,0.038495238,0.207239325,1.034023689,0.831895451,0.202128238
47,0.161673665,0.038043017,0.199716683,0.985859568,0.807659592,0.178199976
48,0.153706992,0.040417173,0.194124165,0.967025199,0.860237849,0.10678735
49,0.148694627,0.041943416,0.190638043,1.015716998,0.862328668,0.15338833
50,0.143001776,0.047370057,0.190371833,1.023287934,0.895775045,0.12751289
51,0.138703092,0.048726718,0.18742981,1.005705939,0.930049885,0.075656055
52,0.131566281,0.0488963,0.180462581,1.027353167,0.925376497,0.10197667
53,0.12598961,0.051863995,0.177853605,1.0607841,0.925826887,0.134957213
54,0.120811273,0.053616348,0.174427621,1.027562166,0.939092151,0.088470015
55,0.116844534,0.055396964,0.172241498,1.034199785,0.945256049,0.088943736
56,0.110371612,0.058421187,0.168792799,1.002392616,0.933708358,0.068684257
57,0.107433902,0.063028179,0.17046208,1.004264208,0.933445266,0.070818942
58,0.102272161,0.064667477,0.166939638,1.051453287,0.97033795,0.081115337
59,0.098023269,0.068370029,0.166393298,1.077107386,0.983743734,0.093363652
60,0.094338683,0.072072581,0.166411265,1.112362383,1,0.112362383
61,0.089957013,0.07484243,0.164799443,1.056327067,0.983104826,0.073222241
62,0.086587774,0.077838388,0.164426162,1.028749884,0.976496649,0.052253235
63,0.08313555,0.081060456,0.164196006,1.00707536,0.980029721,0.027045639
64,0.079998672,0.085582657,0.16558133,0.972451821,0.944407321,0.0280445
65,0.075633599,0.087278483,0.162912082,1.033683881,0.956244201,0.07743968
66,0.073027834,0.09199853,0.165026364,0.977373882,0.936618292,0.040755589
67,0.068148247,0.096266358,0.164414604,1.012714851,0.982148727,0.030566125
68,0.066372342,0.102088692,0.168461034,1.053680123,0.968972836,0.084707286
69,0.061940881,0.103332297,0.165273178,1.08442079,0.982562146,0.101858644
70,0.059750046,0.109324214,0.169074259,1.044470167,0.971764229,0.072705939
71,0.057542613,0.112489754,0.170032368,1.006479927,0.950029774,0.056450153
72,0.055019834,0.117294593,0.172314427,0.930346001,0.930346001,0
