intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13
10047,0.3339,9066,9204,9497,9900,8997,9074,9377,8675,8062,7820,6778,6404,6500
10365,0.3656,9232,9346,9797,10102,9182,9265,9593,8871,8243,8064,6950,6531,6736
10723,0.3745,9552,9642,10027,10351,9526,9548,9882,9082,8575,8327,7186,6699,6951
11145,0.0715,9918,9953,10367,10764,9816,9922,10197,9426,8744,8603,7422,6950,7171
11457,0.0715,10205,10190,10602,10974,10034,10150,10417,9664,8986,8804,7647,7165,7350
11754,0.0715,10509,10466,10959,11258,10363,10458,10825,9949,9385,9206,7941,7520,7666
12188,0.0715,10832,10851,11269,11606,10696,10852,11133,10222,9621,9472,8208,7719,7945
12552,0.0715,11146,11171,11556,11919,10944,11212,11488,10617,10008,9811,8443,7971,8247
13019,0.0715,11618,11596,11996,12412,11420,11671,11883,11015,10392,10158,8847,8278,8572
13557,0.0715,11988,11890,12444,12789,11762,11946,12246,11416,10780,10573,9143,8617,8879
13916,0.0715,12319,12248,12686,13010,12059,12241,12663,11649,11059,10817,9427,8857,9153
14376,0.0715,12749,12585,13106,13432,12453,12665,13038,11982,11474,11199,9731,9247,9518
14859,0.0715,13170,12989,13481,13825,12779,13013,13387,12423,11801,11533,10083,9557,9846
15360,0.0715,13663,13466,13933,14233,13250,13487,13856,12815,12179,11990,10414,9912,10216
15926,0.0715,14062,13945,14353,14741,13719,13912,14307,13273,12664,12432,10758,10228,10522
16525,0.0715,14532,14365,14823,15178,14103,14378,14754,13737,13095,12824,11195,10630,11011
17102,0.0715,15062,14887,15298,15718,14583,14860,15280,14276,13714,13408,11574,11087,11467
17639,0.0715,15672,15407,15789,16200,15136,15400,15810,14763,14190,13883,12056,11491,11934
18374,0.0715,16212,15988,16320,16762,15740,15913,16315,15278,14664,14431,12558,11947,12392
18936,0.0715,16789,16494,16835,17329,16178,16363,16876,15793,15217,14976,12977,12458,12857
19605,0.0715,17409,17014,17440,17860,16805,16974,17380,16397,15869,15455,13458,12935,13317
20333,0.0715,18015,17703,17953,18585,17432,17638,18124,17049,16570,16231,14006,13554,13996
21100,0.0715,18773,18258,18604,19084,18073,18160,18562,17576,17099,16890,14407,13980,14486
21842,0.0715,19365,18995,19143,19719,18620,18818,19272,18240,17758,17482,14988,14575,15114
22651,0.0715,20013,19636,19699,20334,19290,19368,19872,18952,18519,18119,15533,15107,15738
23406,0.0715,20781,20343,20411,21078,19923,19982,20549,19650,19117,18848,16100,15702,16384
24263,0.0715,21459,21138,21147,21686,20744,20674,21236,20431,19927,19674,16826,16452,16990
25174,0.0715,22254,21924,21824,22605,21433,21402,21902,21105,20779,20497,17389,17131,17715
25998,0.0715,23038,22690,22602,23287,22141,22139,22646,21926,21632,21280,18195,17854,18496
26958,0.0715,23824,23486,23373,24097,23093,22868,23426,22738,22509,22126,18864,18569,19268
27954,0.0715,24796,24413,24199,24942,23817,23590,24256,23676,23428,23000,19614,19390,20115
28996,0.0715,25711,25261,25088,25740,24706,24483,25135,24434,24390,23993,20481,20152,20849
30017,0.0715,26596,26229,25970,26707,25616,25436,26031,25487,25324,24947,21226,21128,21701
31219,0.0715,27629,27279,26797,27684,26618,26200,26988,26550,26435,26031,22092,22052,22641
32349,0.0715,28590,28397,27805,28592,27512,27197,27926,27503,27404,27044,23034,22980,23605
33395,0.0715,29542,29442,28828,29542,28534,28193,28828,28638,28543,28102,24025,23861,24571
34536,0.0715,30577,30511,29790,30650,29557,29090,29808,29606,29605,29171,24936,24988,25654
35904,0.0715,31695,31720,30901,31698,30556,30139,30955,30790,30778,30369,26100,26021,26696
36917,0.0715,32760,32982,31911,32749,31660,31299,31997,31926,31969,31536,27117,27110,27847
1540,0.6233,,,,,,,,,,,,,
1573,0.2331,,,,,,,,,,,,,
1584,0.3282,,,,,,,,,,,,,
1625,0.1073,,,,,,,,,,,,,
1626,0.1738,,,,,,,,,,,,,
1630,0.275,,,,,,,,,,,,,
1670,0.106,,,,,,,,,,,,,
1694,0.238,,,,,,,,,,,,,
1709,0.1257,,,,,,,,,,,,,
1736,0.0333,,,,,,,,,,,,,
1753,0.1485,,,,,,,,,,,,,
1786,0.1463,,,,,,,,,,,,,
1771,0.1889,,,,,,,,,,,,,
1847,0.0283,,,,,,,,,,,,,
1864,0.9924,,,,,,,,,,,,,
1887,0.9067,,,,,,,,,,,,,
1902,0.9629,,,,,,,,,,,,,
1946,0.9912,,,,,,,,,,,,,
1985,0.5944,,,,,,,,,,,,,
2015,0.864,,,,,,,,,,,,,
2023,1,,,,,,,,,,,,,
2115,0.7536,,,,,,,,,,,,,
2134,0.754,,,,,,,,,,,,,
2150,0.917,,,,,,,,,,,,,
2226,0.518,,,,,,,,,,,,,
2243,0.6045,,,,,,,,,,,,,
2291,0.4928,,,,,,,,,,,,,
2341,0.6054,,,,,,,,,,,,,
2375,0.5726,,,,,,,,,,,,,
2432,0.5595,,,,,,,,,,,,,
2511,0.4365,,,,,,,,,,,,,
2549,0.4899,,,,,,,,,,,,,
2560,0.5996,,,,,,,,,,,,,
2673,0.4156,,,,,,,,,,,,,
2708,0.268,,,,,,,,,,,,,
2756,0.3237,,,,,,,,,,,,,
2816,0.3356,,,,,,,,,,,,,
2827,0.4148,,,,,,,,,,,,,
3020,0,,,,,,,,,,,,,
3001,0.2795,,,,,,,,,,,,,
3062,0.7828,,,,,,,,,,,,,
3153,0.6075,,,,,,,,,,,,,
3188,0.7257,,,,,,,,,,,,,
3267,0.676,,,,,,,,,,,,,
3353,0.6098,,,,,,,,,,,,,
3385,0.6522,,,,,,,,,,,,,
3491,0.5937,,,,,,,,,,,,,
3589,0.4438,,,,,,,,,,,,,
3657,0.5213,,,,,,,,,,,,,
3739,0.459,,,,,,,,,,,,,
3860,0.3469,,,,,,,,,,,,,
3956,0.3849,,,,,,,,,,,,,
4011,0.4361,,,,,,,,,,,,,
4112,0.2178,,,,,,,,,,,,,
4218,0.2056,,,,,,,,,,,,,
4301,0.6432,,,,,,,,,,,,,
4413,0.6359,,,,,,,,,,,,,
4518,0.6457,,,,,,,,,,,,,
4616,0.6596,,,,,,,,,,,,,
4706,0.6878,,,,,,,,,,,,,
4848,0.5942,,,,,,,,,,,,,
4992,0.5387,,,,,,,,,,,,,
5119,0.4745,,,,,,,,,,,,,
5235,0.4646,,,,,,,,,,,,,
5327,0.5561,,,,,,,,,,,,,
5498,0.4673,,,,,,,,,,,,,
5659,0.434,,,,,,,,,,,,,
5758,0.5363,,,,,,,,,,,,,
5894,0.5611,,,,,,,,,,,,,
6083,0.4874,,,,,,,,,,,,,
6205,0.4411,,,,,,,,,,,,,
6431,0.31,,,,,,,,,,,,,
6542,0.4528,,,,,,,,,,,,,
6721,0.4542,,,,,,,,,,,,,
6947,0.3919,,,,,,,,,,,,,
7067,0.5287,,,,,,,,,,,,,
7342,0.3245,,,,,,,,,,,,,
7508,0.3703,,,,,,,,,,,,,
7716,0.4018,,,,,,,,,,,,,
7929,0.3817,,,,,,,,,,,,,
8116,0.4231,,,,,,,,,,,,,
8417,0.3217,,,,,,,,,,,,,
8576,0.4095,,,,,,,,,,,,,
8870,0.3932,,,,,,,,,,,,,
9124,0.3401,,,,,,,,,,,,,
9336,0.4439,,,,,,,,,,,,,
9645,0.386,,,,,,,,,,,,,
9908,0.3893,,,,,,,,,,,,,
10275,0.3114,,,,,,,,,,,,,
10621,0.2822,,,,,,,,,,,,,
10889,0.3452,,,,,,,,,,,,,
11240,0.3566,,,,,,,,,,,,,
11569,0.3429,,,,,,,,,,,,,
11943,0.3603,,,,,,,,,,,,,
12317,0.3675,,,,,,,,,,,,,
12670,0.4065,,,,,,,,,,,,,
13099,0.3773,,,,,,,,,,,,,
13685,0.224,,,,,,,,,,,,,
14144,0.2317,,,,,,,,,,,,,
14495,0.3346,,,,,,,,,,,,,
14951,0.3708,,,,,,,,,,,,,
15373,0.447,,,,,,,,,,,,,
15896,0.4519,,,,,,,,,,,,,
16499,0.4085,,,,,,,,,,,,,
16999,0.4738,,,,,,,,,,,,,
17628,0.4758,,,,,,,,,,,,,
18278,0.4467,,,,,,,,,,,,,
18844,0.5179,,,,,,,,,,,,,
19474,0.5806,,,,,,,,,,,,,
20188,0.5694,,,,,,,,,,,,,
20967,0.5677,,,,,,,,,,,,,
21576,0.303,,,,,,,,,,,,,
22365,0.3304,,,,,,,,,,,,,
23048,0.4555,,,,,,,,,,,,,
23857,0.5245,,,,,,,,,,,,,
24798,0.33,,,,,,,,,,,,,
25656,0.4261,,,,,,,,,,,,,
26464,0.5717,,,,,,,,,,,,,
27449,0.4055,,,,,,,,,,,,,
28476,0.4901,,,,,,,,,,,,,
29329,0.4872,,,,,,,,,,,,,
30415,0.5802,,,,,,,,,,,,,
31570,0.6795,,,,,,,,,,,,,
32700,0.3807,,,,,,,,,,,,,
33797,0.3342,,,,,,,,,,,,,
34997,0.5185,,,,,,,,,,,,,
36218,0.3638,,,,,,,,,,,,,
37528,0.5362,,,,,,,,,,,,,
1546,0.1823,,,,,,,,,,,,,
1561,0.0997,,,,,,,,,,,,,
1614,0,,,,,,,,,,,,,
1557,0.4951,,,,,,,,,,,,,
1589,0.5479,,,,,,,,,,,,,
1603,0.304,,,,,,,,,,,,,
1633,0.4579,,,,,,,,,,,,,
1685,0.1158,,,,,,,,,,,,,
1626,0.678,,,,,,,,,,,,,
1699,0.029,,,,,,,,,,,,,
1665,0.3598,,,,,,,,,,,,,
1717,0.2636,,,,,,,,,,,,,
1717,0.3052,,,,,,,,,,,,,
1716,0.3951,,,,,,,,,,,,,
1739,0.2488,,,,,,,,,,,,,
1746,0.5529,,,,,,,,,,,,,
1788,0.3459,,,,,,,,,,,,,
1765,0.4751,,,,,,,,,,,,,
1804,0.4788,,,,,,,,,,,,,
1808,0.4101,,,,,,,,,,,,,
1850,0.4842,,,,,,,,,,,,,
1832,0.5499,,,,,,,,,,,,,
1899,0.409,,,,,,,,,,,,,
1889,0.7214,,,,,,,,,,,,,
1930,0.5149,,,,,,,,,,,,,
1961,0.4744,,,,,,,,,,,,,
1963,0.4581,,,,,,,,,,,,,
2008,0.5655,,,,,,,,,,,,,
2042,0.4053,,,,,,,,,,,,,
2104,0.2654,,,,,,,,,,,,,
2068,0.5679,,,,,,,,,,,,,
2086,0.5364,,,,,,,,,,,,,
2084,0.631,,,,,,,,,,,,,
2146,0.7754,,,,,,,,,,,,,
2159,0.6088,,,,,,,,,,,,,
2170,0.6933,,,,,,,,,,,,,
2228,0.591,,,,,,,,,,,,,
2277,0.5969,,,,,,,,,,,,,
2335,0.5063,,,,,,,,,,,,,
2333,0.6814,,,,,,,,,,,,,
2391,0.6027,,,,,,,,,,,,,
2353,0.7836,,,,,,,,,,,,,
2401,0.7638,,,,,,,,,,,,,
2428,0.7964,,,,,,,,,,,,,
2462,0.8681,,,,,,,,,,,,,
2525,0.7292,,,,,,,,,,,,,
2568,0.8118,,,,,,,,,,,,,
2571,0.9437,,,,,,,,,,,,,
2656,0.8849,,,,,,,,,,,,,
2660,0.8737,,,,,,,,,,,,,
2741,0.8719,,,,,,,,,,,,,
2795,0.8172,,,,,,,,,,,,,
2821,0.9467,,,,,,,,,,,,,
2917,0.6874,,,,,,,,,,,,,
2914,1,,,,,,,,,,,,,
3002,0.8262,,,,,,,,,,,,,
3058,0.9345,,,,,,,,,,,,,
3121,0.7766,,,,,,,,,,,,,
3163,0.8354,,,,,,,,,,,,,
3283,0.6979,,,,,,,,,,,,,
3309,0.8048,,,,,,,,,,,,,
3452,0.6973,,,,,,,,,,,,,
3467,0.7915,,,,,,,,,,,,,
3539,0.8444,,,,,,,,,,,,,
3602,0.9168,,,,,,,,,,,,,
3715,0.7876,,,,,,,,,,,,,
3753,0.7974,,,,,,,,,,,,,
3868,0.8497,,,,,,,,,,,,,
3945,0.8833,,,,,,,,,,,,,
4075,0.7609,,,,,,,,,,,,,
4155,0.8219,,,,,,,,,,,,,
4251,0.8078,,,,,,,,,,,,,
4357,0.7845,,,,,,,,,,,,,
4483,0.7465,,,,,,,,,,,,,
4608,0.7664,,,,,,,,,,,,,
4713,0.733,,,,,,,,,,,,,
4876,0.7372,,,,,,,,,,,,,
5034,0.5747,,,,,,,,,,,,,
5156,0.5959,,,,,,,,,,,,,
5285,0.5976,,,,,,,,,,,,,
5429,0.5831,,,,,,,,,,,,,
5637,0.6074,,,,,,,,,,,,,
5782,0.6168,,,,,,,,,,,,,
6003,0.5324,,,,,,,,,,,,,
6223,0.4452,,,,,,,,,,,,,
6381,0.4934,,,,,,,,,,,,,
6634,0.734,,,,,,,,,,,,,
6836,0.7507,,,,,,,,,,,,,
7142,0.5632,,,,,,,,,,,,,
7463,0.3592,,,,,,,,,,,,,
7631,0.5121,,,,,,,,,,,,,
7958,0.3582,,,,,,,,,,,,,
8314,0.4702,,,,,,,,,,,,,
8563,0.4729,,,,,,,,,,,,,
8885,0.3853,,,,,,,,,,,,,
9222,0.8897,,,,,,,,,,,,,
9620,0.7568,,,,,,,,,,,,,
10050,0.6311,,,,,,,,,,,,,
10575,0.361,,,,,,,,,,,,,
10901,0.4049,,,,,,,,,,,,,
11298,0.4967,,,,,,,,,,,,,
11752,0.4395,,,,,,,,,,,,,
12252,0.6498,,,,,,,,,,,,,
12820,0.5109,,,,,,,,,,,,,
13368,0.4069,,,,,,,,,,,,,
13868,0.3529,,,,,,,,,,,,,
14561,0.6538,,,,,,,,,,,,,
15308,0.4581,,,,,,,,,,,,,
15895,0.4386,,,,,,,,,,,,,
16530,0.3819,,,,,,,,,,,,,
17409,0.5133,,,,,,,,,,,,,
18018,0.5446,,,,,,,,,,,,,
18727,0.9369,,,,,,,,,,,,,
19631,0.7479,,,,,,,,,,,,,
20414,0.761,,,,,,,,,,,,,
21266,0.7078,,,,,,,,,,,,,
22200,0.682,,,,,,,,,,,,,
23181,0.5997,,,,,,,,,,,,,
24092,0.6671,,,,,,,,,,,,,
25211,0.5318,,,,,,,,,,,,,
26161,0.6299,,,,,,,,,,,,,
27300,0.6089,,,,,,,,,,,,,
28476,0.6095,,,,,,,,,,,,,
29576,0.7316,,,,,,,,,,,,,
30773,0.7855,,,,,,,,,,,,,
32109,0.8144,,,,,,,,,,,,,
33510,0.8797,,,,,,,,,,,,,
34747,0.5708,,,,,,,,,,,,,
