690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,d690,d750,d800,d850,ai690,si690
0.086588,0.084468,0.085007,0.085567,0.077838,0.078072,0.078972,0.075173,1,-0.037083,-0.030448,-0.029875,-0.030612,0.61597,
0.083136,0.080743,0.081527,0.081872,0.08106,0.082584,0.081651,0.078772,1,-0.037679,-0.032479,-0.029802,-0.029951,0.61556,
0.079999,0.07669,0.079455,0.077955,0.085583,0.085258,0.085787,0.083531,1,-0.032155,-0.029788,-0.028574,-0.028331,0.60443,
0.075634,0.07303,0.075092,0.074379,0.087278,0.087647,0.088568,0.084835,1,-0.036654,-0.031198,-0.028739,-0.029285,0.67384,
0.073028,0.07065,0.072291,0.070923,0.091999,0.092443,0.09418,0.089956,1,-0.029886,-0.027407,-0.025665,-0.027317,0.64582,
0.068148,0.066958,0.06842,0.068181,0.096266,0.09627,0.096977,0.092758,1,-0.033495,-0.029641,-0.027338,-0.026716,0.76925,
0.066372,0.064529,0.065754,0.064077,0.10209,0.1008,0.10147,0.095536,1,-0.030194,-0.028201,-0.026985,-0.029036,0.7015,
0.061941,0.060705,0.061221,0.061591,0.10333,0.10432,0.10539,0.10085,1,-0.0326,-0.026193,-0.027509,-0.025199,0.81854,
0.05975,0.058342,0.058946,0.058884,0.10932,0.1086,0.11039,0.10416,1,-0.029505,-0.026846,-0.024699,-0.024951,0.79117,
0.057543,0.055355,0.056553,0.055802,0.11249,0.11276,0.11441,0.10918,1,-0.029922,-0.027725,-0.026313,-0.026584,0.7707,
0.05502,0.05286,0.054872,0.053809,0.11729,0.11768,0.11929,0.11387,1,-0.031212,-0.027372,-0.025164,-0.025517,0.77932,
0.051518,0.050497,0.051476,0.051527,0.12148,0.12306,0.12409,0.11776,1,-0.033509,-0.026261,-0.024652,-0.025321,0.87047,
0.049775,0.048692,0.049201,0.048973,0.12803,0.1281,0.12968,0.12431,1,-0.029997,-0.025573,-0.025512,-0.02301,0.83407,
0.046539,0.045508,0.046315,0.046351,0.13145,0.13305,0.13473,0.12716,1,-0.030159,-0.025353,-0.022531,-0.023805,0.92446,
0.045194,0.0439,0.045194,0.044205,0.13716,0.13882,0.13945,0.13162,1,-0.028469,-0.023612,-0.022217,-0.024526,0.86681,
0.043153,0.041717,0.042325,0.043047,0.1446,0.1439,0.14525,0.14027,1,-0.028992,-0.025965,-0.024334,-0.021362,0.87282,
0.04068,0.039567,0.040661,0.039999,0.15028,0.151,0.15096,0.14341,1,-0.026447,-0.022789,-0.021776,-0.022068,0.92374,
0.039319,0.037582,0.039116,0.038756,0.15534,0.15589,0.15696,0.1503,1,-0.027159,-0.022609,-0.022544,-0.022004,0.8823,
0.036481,0.035169,0.036672,0.035402,0.16076,0.16261,0.16337,0.15634,1,-0.027434,-0.023133,-0.020365,-0.021805,0.98343,
0.036331,0.034267,0.03533,0.034669,0.16865,0.1699,0.16996,0.16423,1,-0.02305,-0.020909,-0.020484,-0.019395,0.83753,
0.033028,0.031788,0.032801,0.032592,0.17377,0.17593,0.17688,0.17044,1,-0.024796,-0.021431,-0.021208,-0.019867,1,
0.032232,0.031116,0.031782,0.031162,0.18072,0.1828,0.18461,0.17655,1,-0.023067,-0.018946,-0.018248,-0.019028,0.92289,
0.030638,0.030361,0.030967,0.030583,0.19013,0.19159,0.19192,0.18438,1,-0.020439,-0.016223,-0.014668,-0.016392,0.93093,
0.029626,0.028473,0.029507,0.02934,0.19728,0.20056,0.19992,0.19216,1,-0.020446,-0.016998,-0.013492,-0.018029,0.88367,
0.027834,0.027275,0.027826,0.027211,0.20358,0.20668,0.20818,0.19919,1,-0.022011,-0.016824,-0.014856,-0.018481,0.92387,
0.026506,0.025224,0.025585,0.026121,0.2104,0.21458,0.2151,0.20837,1,-0.021482,-0.018185,-0.014072,-0.013406,0.92011,
0.02639,0.024453,0.025399,0.025134,0.2215,0.22399,0.22369,0.2159,1,-0.014804,-0.014207,-0.012664,-0.012389,0.78632,
0.023917,0.023616,0.023344,0.023346,0.23137,0.23393,0.23434,0.22617,1,-0.015904,-0.013679,-0.011958,-0.011916,0.92065,
0.023634,0.022385,0.023412,0.022937,0.24098,0.24401,0.24239,0.23537,1,-0.013978,-0.013525,-0.01004,-0.012675,0.80978,
