690,750,800,850,ua,690i,750i,800i,850i,uaa,690n,750n,800n,850n,690ni,750ni,800ni,850ni
6876,6660,6616,6611,0.5767,4407,6767,6736,4849,0.4525,8385,10401,10305,9106,7110,8782,8839,7601
6643,6369,6450,6337,0.5667,4523,6883,6936,5002,0.3742,8357,10198,10072,8825,7265,8783,8990,7636
6415,6181,6228,6162,0.64,4618,7061,7135,5091,0.4865,8031,9858,9849,8764,7520,9055,9226,7980
6218,5996,6023,5919,0.6125,4745,7308,7426,5263,0.4143,8009,9592,9590,8512,7579,9221,9371,8140
5942,5789,5813,5776,0.7416,4914,7555,7609,5397,0.3817,7628,9462,9339,8317,7772,9497,9664,8237
5837,5643,5658,5537,0.673,5122,7828,7876,5514,0.2698,7616,9129,8993,8045,7975,9686,9946,8462
5589,5429,5410,5410,0.7955,5185,8058,8126,5753,0.4303,7424,9022,8859,7991,8043,9934,10079,8665
5450,5278,5269,5244,0.7686,5390,8307,8414,5883,0.3291,7226,8684,8752,7711,8245,10116,10339,8964
5326,5105,5137,5072,0.7487,5511,8565,8660,6100,0.3948,7126,8634,8504,7563,8531,10415,10653,9085
5153,4932,5017,4934,0.759,5660,8838,8927,6273,0.3799,6886,8366,8393,7370,8721,10706,10871,9354
4956,4802,4831,4814,0.8547,5822,9174,9224,6448,0.4073,6882,8300,8202,7157,8882,10831,11116,9606
4828,4669,4674,4641,0.8183,6031,9453,9531,6696,0.3232,6679,7961,8039,7131,8929,11119,11276,9693
4670,4512,4541,4524,0.9132,6189,9786,9866,6851,0.407,6583,7876,7877,6972,9318,11452,11641,10031
4578,4403,4464,4387,0.8548,6380,10120,10133,7025,0.3867,6398,7721,7600,6717,9455,11669,11880,10144
4433,4248,4273,4297,0.8623,6621,10402,10453,7361,0.2974,6389,7562,7553,8736,9763,12005,12276,10548
4308,4141,4199,4142,0.9162,6846,10851,10814,7515,0.3023,6135,7376,7343,6542,9877,12349,12456,10799
4209,4003,4091,4052,0.8745,7008,11127,11151,7783,0.3449,6092,7389,7044,6332,10313,12633,12954,11149
4072,3890,3981,3889,0.9805,7234,11563,11563,8067,0.3806,5946,7064,6928,6186,10455,12819,13354,11428
4021,3793,3860,3804,0.8305,7471,11957,11910,8352,0.3215,5851,6993,6897,6087,10680,13202,13613,11727
3873,3693,3762,3733,1,7703,12369,12369,8660,0.3909,5712,6702,6792,5868,10952,13691,13829,12038
3768,3595,3645,3592,0.9212,7892,12723,12768,8856,0.3943,5567,6763,6616,5950,11173,14062,14331,12330
3687,3564,3612,3573,0.9307,8240,13264,13214,9195,0.3127,5460,6469,6559,5731,11535,14315,14710,12703
3623,3446,3523,3497,0.8828,8490,13798,13683,9514,0.3336,5396,6425,6346,5688,11973,14729,15198,13001
3534,3392,3443,3391,0.9255,8732,14183,14189,9824,0.3977,5206,6246,6185,5509,12132,15224,15608,13421
3460,3273,3317,3333,0.9227,8979,14662,14603,10210,0.4533,5172,6140,6153,5425,12458,15687,16010,13785
3414,3187,3267,3236,0.7851,9333,15186,15071,10483,0.3647,5077,5981,6056,5288,12784,15990,16318,14144
3288,3159,3169,3154,0.9254,9705,15804,15722,10931,0.3376,4945,5823,5889,5252,13163,16517,16974,14428
