ir690,ir750,ir800,ir850,ia,ia690,ia750,ia800,ia8500,tir690_ctr,tir690_left,tir690_right,iir690,iir750,iir800,iir850,iia,iia690,iia750,iia800,iia8500,tii690_ctr,tii690_left,tii690_right
2696,2549,2575,2548,0.73717,,,,,2696,2695,3344,13916,23158,22886,15903,0.58746,,,,,13916,14486,10901
2648,2484,2530,2505,0.63141,,,,,2648,2642,3305,14376,23863,23678,16408,0.58746,,,,,14376,14892,11298
2614,2474,2494,2468,0.65525,,,,,2614,2674,3233,14859,24743,24499,16963,0.58746,,,,,14859,15388,11752
2555,2402,2493,2422,0.64826,,,,,2555,2617,3141,15360,25671,25319,17657,0.58746,,,,,15360,15879,12252
2533,2316,2485,2422,0.58897,,,,,2533,2549,3105,15926,26610,26185,18247,0.58746,,,,,15926,16441,12820
2491,2311,2364,2363,0.56852,,,,,2491,2549,3004,16525,27440,27265,18956,0.58746,,,,,16525,17005,13368
2474,2340,2347,2318,0.56609,,,,,2474,2518,2940,17102,28446,28199,19684,0.58746,,,,,17102,17641,13868
2413,2275,2323,2293,0.50645,,,,,2413,2481,2895,17639,29622,29197,20470,0.58746,,,,,17639,18251,14561
2411,2244,2283,2271,0.36721,,,,,2411,2428,2793,18374,30708,30265,21175,0.58746,,,,,18374,18908,15308
2364,2233,2235,2249,0.47557,,,,,2364,2416,2759,18936,31805,31352,21957,0.58746,,,,,18936,19503,15895
2301,2173,2237,2172,0.49122,,,,,2301,2371,2730,19605,32974,32539,22710,0.58746,,,,,19605,20084,16530
2294,2138,2211,2178,0.47842,,,,,2294,2350,2644,20333,34197,33777,23619,0.58746,,,,,20333,20937,17409
2308,2119,2204,2161,0.27847,,,,,2308,2336,2636,21100,35406,34934,24465,0.58746,,,,,21100,21644,18018
2215,2085,2176,2125,0.37815,,,,,2215,2273,2569,21842,36742,36339,25319,0.58746,,,,,21842,22336,18727
2208,2095,2139,2096,0.42646,,,,,2208,2226,2506,22651,38022,37464,26172,0.58746,,,,,22651,23056,19631
2175,2028,2091,2058,0.36745,,,,,2175,2227,2420,23406,39412,38860,27242,0.58746,,,,,23406,23938,20414
2169,2011,2083,2031,0.20937,,,,,2169,2234,2378,24263,40849,40326,28179,0.58746,,,,,24263,24702,21266
2135,2013,2024,2002,0.29249,,,,,2135,2180,2355,25174,42415,41578,29315,0.58746,,,,,25174,25646,22200
2113,1950,2021,1990,0.22742,,,,,2113,2144,2309,25998,44027,43101,30414,0.58746,,,,,25998,26482,23181
2083,1949,2020,1997,0.2642,,,,,2083,2133,2236,26958,45420,44640,31501,0.58746,,,,,26958,27455,24092
2064,1888,1967,1925,0.18744,,,,,2064,2096,2225,27954,47173,46407,32641,0.58746,,,,,27954,28364,25211
2046,1898,1947,1899,0.15423,,,,,2046,2096,2196,28996,48940,48037,33807,0.58746,,,,,28996,29312,26161
2013,1938,1946,1889,0.10477,,,,,2013,2044,2115,30017,50694,49741,35169,0.58746,,,,,30017,30379,27300
2006,1880,1924,1855,0.096422,,,,,2006,2061,2071,31219,52694,51493,36476,0.58746,,,,,31219,31529,28476
1932,1831,1898,1873,0.14098,,,,,1932,2004,2051,32349,54291,53382,37800,0.58746,,,,,32349,32723,29576
1964,1852,1876,1848,0.014977,,,,,1964,2002,2047,33395,56148,55246,39056,0.58746,,,,,33395,33796,30773
1922,1791,1856,1785,0.050789,,,,,1922,1985,1972,34536,57839,57170,40265,0.58746,,,,,34536,34974,32109
1924,1813,1823,1791,0,,,,,1924,1976,1953,35904,59755,59045,41712,0.58746,,,,,35904,36257,33510
1864,1737,1811,1812,0.14438,,,,,1864,1910,1902,36917,61664,60900,42983,0.58746,,,,,36917,37576,34747
60084,60776,60080,60604,0.74396,,,,,,,,1540,1883,1972,1621,1,,,,,,,
57757,58673,57868,58630,0.74396,,,,,,,,1573,1950,2015,1614,0.64816,,,,,,,
55771,56927,55815,56744,0.74396,,,,,,,,1584,2015,2063,1633,0.75167,,,,,,,
53691,54925,53778,54867,0.74396,,,,,,,,1625,1981,2092,1692,0.55678,,,,,,,
51637,52780,51854,52699,0.74396,,,,,,,,1626,2030,2125,1671,0.63395,,,,,,,
49609,50688,49827,50775,0.74396,,,,,,,,1630,2046,2127,1721,0.74416,,,,,,,
47660,48811,47901,48783,0.74396,,,,,,,,1670,2121,2168,1708,0.59824,,,,,,,
45848,46855,45918,46910,0.74396,,,,,,,,1694,2088,2234,1753,0.73851,,,,,,,
43911,44934,44312,45013,0.74396,,,,,,,,1709,2142,2251,1796,0.64656,,,,,,,
42163,43247,42503,43312,0.74396,,,,,,,,1736,2196,2286,1811,0.57321,,,,,,,
40600,41596,40858,41695,0.74396,,,,,,,,1753,2205,2320,1831,0.69866,,,,,,,
38929,39801,39207,39913,0.74396,,,,,,,,1786,2224,2378,1817,0.71202,,,,,,,
37254,38150,37680,38305,0.74396,,,,,,,,1771,2325,2377,1878,0.76839,,,,,,,
35812,36631,36127,36755,0.74396,,,,,,,,1847,2337,2465,1912,0.63029,,,,,,,
34367,35217,34738,35516,0.74396,,,,,,,,1864,2407,2472,1929,0.55898,,,,,,,
32903,33733,33252,33931,0.74396,,,,,,,,1887,2445,2548,1968,0.50692,,,,,,,
31743,32460,32019,32512,0.74396,,,,,,,,1902,2476,2610,2012,0.56286,,,,,,,
30418,31156,30729,31368,0.74396,,,,,,,,1946,2552,2661,2037,0.59777,,,,,,,
29145,29902,29413,30120,0.74396,,,,,,,,1985,2614,2661,2046,0.30771,,,,,,,
27976,28695,28280,28920,0.74396,,,,,,,,2015,2647,2732,2142,0.52806,,,,,,,
27010,27658,27290,27793,0.74396,,,,,,,,2023,2683,2811,2152,0.64583,,,,,,,
25830,26381,26015,26522,0.75602,,,,,,,,2115,2713,2873,2182,0.47139,,,,,,,
24772,25415,24996,25531,0.75525,,,,,,,,2134,2828,2912,2222,0.48593,,,,,,,
23842,24271,23980,24560,0.74545,,,,,,,,2150,2899,2942,2283,0.62554,,,,,,,
22814,23234,23035,23575,0.75008,,,,,,,,2226,2936,3070,2305,0.33259,,,,,,,
21874,22413,22092,22756,0.75863,,,,,,,,2243,3010,3088,2358,0.4143,,,,,,,
21087,21371,21244,21584,0.73776,,,,,,,,2291,3061,3208,2381,0.34259,,,,,,,
20171,20550,20326,20733,0.76948,,,,,,,,2341,3139,3258,2426,0.44516,,,,,,,
19518,19870,19514,20081,0.73573,,,,,,,,2375,3246,3342,2511,0.43513,,,,,,,
18675,19121,18720,19259,0.74821,,,,,,,,2432,3328,3439,2611,0.28369,,,,,,,
17818,18192,17953,18429,0.78538,,,,,,,,2511,3383,3491,2618,0.20616,,,,,,,
17131,17475,17248,17703,0.79135,,,,,,,,2549,3475,3564,2667,0.26166,,,,,,,
16369,16712,16618,17046,0.82366,,,,,,,,2560,3530,3654,2713,0.3597,,,,,,,
15781,16088,15922,16240,0.82019,,,,,,,,2673,3632,3743,2792,0.23658,,,,,,,
15183,15503,15320,15698,0.80662,,,,,,,,2708,3749,3849,2828,0.1404,,,,,,,
14571,14831,14645,15046,0.82785,,,,,,,,2756,3782,3921,2901,0.19883,,,,,,,
14042,14286,14151,14521,0.83128,,,,,,,,2816,3980,4068,2972,0.22418,,,,,,,
13496,13686,13574,13962,0.83928,,,,,,,,2827,4029,4156,3018,0.30101,,,,,,,
13220,13333,13173,13623,0.76788,,,,,,,,3020,4189,4291,3172,0,,,,,,,
12367,12618,12539,12817,0.90737,,,,,,,,3001,4194,4386,3180,0.23187,,,,,,,
11961,12156,12062,12307,0.89133,,,,,,,,3062,4332,4445,3244,0.21096,,,,,,,
11466,11601,11645,11834,0.90785,,,,,,,,3153,4426,4546,3311,0.10608,,,,,,,
11011,11163,11224,11464,0.93458,,,,,,,,3188,4503,4658,3392,0.20333,,,,,,,
10680,10726,10802,10943,0.91456,,,,,,,,3267,4691,4821,3479,0.18525,,,,,,,
10241,10382,10401,10603,0.94222,,,,,,,,3353,4748,4915,3528,0.15586,,,,,,,
9824,9979,9951,10164,0.96289,,,,,,,,3385,4894,5062,3585,0.20182,,,,,,,
9584,9631,9681,9797,0.92992,,,,,,,,3491,5009,5165,3713,0.17821,,,,,,,
9144,9259,9289,9452,0.96713,,,,,,,,3589,5131,5316,3801,0.091068,,,,,,,
8885,8954,8955,9146,0.95864,,,,,,,,3657,5283,5456,3908,0.16247,,,,,,,
8529,8620,8643,8843,0.97885,,,,,,,,3739,5441,5595,3978,0.13668,,,,,,,
8199,8327,8404,8557,1,,,,,,,,3860,5624,5798,4092,0.076104,,,,,,,
7993,8015,8056,8176,0.98604,,,,,,,,3956,5698,5876,4173,0.12094,,,,,,,
7750,7713,7834,7952,0.97701,,,,,,,,4011,5905,6073,4284,0.17542,,,,,,,
7466,7527,7575,7667,0.97977,,,,,,,,4112,6041,6190,4421,0.12223,,,,,,,
7248,7215,7295,7470,0.97634,,,,,,,,4218,6187,6389,4540,0.13303,,,,,,,
7022,6990,7102,7220,0.9573,,,,,,,,4301,6409,6523,4633,0.11585,,,,,,,
6832,6761,6882,6959,0.94862,,,,,,,,4413,6599,6677,4739,0.12941,,,,,,,
6590,6566,6624,6750,0.97322,,,,,,,,4518,6676,6897,4866,0.15447,,,,,,,
6386,6327,6460,6535,0.97705,,,,,,,,4616,6926,7083,4979,0.18264,,,,,,,
6182,6210,6303,6343,0.98357,,,,,,,,4706,7093,7312,5135,0.22061,,,,,,,
6020,5993,6091,6124,0.96089,,,,,,,,4848,7253,7523,5251,0.17835,,,,,,,
5865,5830,5902,5965,0.94758,,,,,,,,4992,7449,7732,5349,0.16149,,,,,,,
5675,5676,5750,5864,0.94342,,,,,,,,5119,7742,7895,5566,0.13898,,,,,,,
5557,5498,5543,5658,0.9052,,,,,,,,5235,7933,8131,5665,0.15307,,,,,,,
5410,5353,5415,5458,0.9087,,,,,,,,5327,8102,8363,5789,0.23529,,,,,,,
5282,5179,5286,5297,0.88502,,,,,,,,5498,8348,8597,5987,0.1974,,,,,,,
5094,5061,5133,5153,0.91805,,,,,,,,5659,8660,8842,6093,0.19697,,,,,,,
4998,4894,4986,4996,0.90027,,,,,,,,5758,8874,9070,6345,0.28789,,,,,,,
4862,4756,4844,4895,0.90583,,,,,,,,5894,9099,9271,6468,0.32734,,,,,,,
4747,4638,4740,4763,0.89049,,,,,,,,6083,9373,9570,6619,0.30107,,,,,,,
