690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,ai690
0.43115,0.43858,0.43674,0.44156,0.013986,0.01342,0.014125,0.012963,1,0.57888
0.41065,0.41673,0.41463,0.41973,0.016233,0.01373,0.014962,0.013409,1,0.60905
0.3926,0.4005,0.39727,0.403,0.01701,0.015757,0.01575,0.01456,1,0.61062
0.37616,0.38067,0.37938,0.38604,0.016761,0.016509,0.015833,0.015405,1,0.5969
0.35935,0.36394,0.36401,0.37013,0.020285,0.017948,0.018772,0.01712,1,0.60758
0.34303,0.34988,0.34766,0.35605,0.020534,0.019026,0.018937,0.018176,1,0.62485
0.32973,0.33244,0.33333,0.33633,0.022255,0.020089,0.021138,0.019045,1,0.5923
0.31316,0.31772,0.31674,0.32103,0.022338,0.020596,0.021187,0.018998,1,0.64874
0.30207,0.30633,0.30294,0.31008,0.023531,0.022492,0.022714,0.021206,1,0.6275
0.28825,0.29431,0.28998,0.29676,0.026223,0.024486,0.024964,0.024493,1,0.65122
0.27342,0.27846,0.27671,0.28254,0.028276,0.025303,0.025736,0.02454,1,0.71694
0.26134,0.26605,0.26433,0.26992,0.028915,0.026562,0.026689,0.025339,1,0.72952
0.24815,0.25304,0.25343,0.25866,0.029109,0.027395,0.028101,0.026325,1,0.78693
0.23778,0.2422,0.24121,0.24468,0.031828,0.028818,0.029317,0.027828,1,0.78339
0.22847,0.23324,0.23184,0.23642,0.034381,0.031662,0.031994,0.030012,1,0.7626
0.21755,0.22147,0.21986,0.22494,0.035103,0.031842,0.032815,0.03121,1,0.80106
0.20814,0.21192,0.21106,0.2157,0.036268,0.034784,0.034934,0.032454,1,0.80919
0.1989,0.20189,0.2013,0.20633,0.036823,0.035732,0.036527,0.033746,1,0.82506
0.1943,0.19606,0.19456,0.20071,0.042429,0.038494,0.038892,0.037574,1,0.86749
0.179,0.18332,0.18304,0.18637,0.040902,0.037988,0.039861,0.036916,1,0.81629
0.17219,0.17565,0.17502,0.17785,0.042873,0.040407,0.040994,0.038654,1,0.7923
0.16412,0.16668,0.1683,0.17024,0.046119,0.042368,0.04308,0.040838,1,0.82268
0.15594,0.15891,0.16072,0.1636,0.046536,0.0433,0.044591,0.04227,1,0.87008
0.15021,0.15146,0.15343,0.15469,0.048672,0.04634,0.047235,0.044266,1,0.83932
0.14266,0.14563,0.14654,0.1489,0.051059,0.047272,0.048779,0.045417,1,0.8882
