intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
23406,0.0715,20302,21178,21983,21509,20620,19962,20420,18906,18094
24263,0.0715,21013,21835,22847,22326,21420,20725,21141,19537,18713
25174,0.0715,21756,22649,23591,23234,22170,21517,21834,20306,19525
25998,0.0715,22465,23368,24447,23934,22976,22218,22802,20956,20270
26958,0.0715,23294,24140,25306,24722,23799,23058,23556,21882,21068
27954,0.0715,24140,24997,26285,25654,24686,23972,24453,22709,21830
28996,0.0715,25006,25842,27185,26683,25658,24706,25403,23456,22665
30017,0.0715,25840,26769,28188,27601,26440,25622,26360,24401,23497
31219,0.0715,26899,27629,29384,28510,27488,26565,27367,25382,24426
32349,0.0715,27744,28497,30439,29578,28466,27520,28322,26227,25260
33395,0.0715,28763,29565,31440,30577,29579,28519,29422,27294,26225
34536,0.0715,29674,30385,32614,31712,30572,29511,30524,28290,27134
35904,0.0715,30766,31508,33787,32788,31657,30528,31674,29369,28131
36917,0.0715,31914,32584,34916,33992,32714,31665,32762,30552,29096
1540,0.6233,,,,,,,,,
1573,0.2331,,,,,,,,,
1584,0.3282,,,,,,,,,
1625,0.1073,,,,,,,,,
1626,0.1738,,,,,,,,,
1630,0.275,,,,,,,,,
1670,0.106,,,,,,,,,
1694,0.238,,,,,,,,,
1709,0.1257,,,,,,,,,
1736,0.0333,,,,,,,,,
1753,0.1485,,,,,,,,,
1786,0.1463,,,,,,,,,
1771,0.1889,,,,,,,,,
1847,0.0283,,,,,,,,,
1864,0.9924,,,,,,,,,
1887,0.9067,,,,,,,,,
1902,0.9629,,,,,,,,,
1946,0.9912,,,,,,,,,
1985,0.5944,,,,,,,,,
2015,0.864,,,,,,,,,
2023,1,,,,,,,,,
2115,0.7536,,,,,,,,,
2134,0.754,,,,,,,,,
2150,0.917,,,,,,,,,
2226,0.518,,,,,,,,,
2243,0.6045,,,,,,,,,
2291,0.4928,,,,,,,,,
2341,0.6054,,,,,,,,,
2375,0.5726,,,,,,,,,
2432,0.5595,,,,,,,,,
2511,0.4365,,,,,,,,,
2549,0.4899,,,,,,,,,
2560,0.5996,,,,,,,,,
2673,0.4156,,,,,,,,,
