ir690,ia,ir6902,ia2,tir690_ctr,tir690_ctr2,tir690_left,tir690_right,iir690,iia,iir6902,iia2,tii690_ctr,tii690_ctr2,tii690_left,tii690_right
2738,0.71541,,,5942,1.21E-05,5150,7813,4914,0.50807,8.13E-06,0.0046115,4914,8.13E-06,5619,3753
2696,0.73717,,,5837,1.17E-05,4947,7635,5122,0.40457,8.32E-06,0.0046825,5122,8.32E-06,5808,3868
2648,0.63141,,,5589,1.13E-05,4816,7413,5185,0.56186,8.54E-06,0.0047405,5185,8.54E-06,5923,3945
2614,0.65525,,,5450,1.10E-05,4681,7228,5390,0.46863,8.95E-06,0.0046834,5390,8.95E-06,6111,4075
2555,0.64826,,,5326,1.06E-05,4605,7026,5511,0.53528,9.16E-06,0.0047631,5511,9.16E-06,6282,4155
2533,0.58897,,,5153,1.03E-05,4516,6836,5660,0.52483,9.46E-06,0.0047877,5660,9.46E-06,6409,4251
2491,0.56852,,,4956,1.00E-05,4408,6653,5822,0.55496,9.79E-06,0.0048061,5822,9.79E-06,6535,4357
2474,0.56609,,,4828,9.72E-06,4283,6495,6031,0.47838,1.01E-05,0.0048142,6031,1.01E-05,6730,4483
2413,0.50645,,,4670,9.42E-06,4236,6347,6189,0.56265,1.04E-05,0.0048663,6189,1.04E-05,6925,4608
2411,0.36721,,,4578,9.16E-06,4068,6171,6380,0.54737,1.08E-05,0.0048793,6380,1.08E-05,7136,4713
2364,0.47557,,,4433,8.78E-06,4058,5997,6621,0.46594,1.12E-05,0.0049212,6621,1.12E-05,7340,4876
2301,0.49122,,,4308,8.54E-06,3953,5813,6846,0.47485,1.18E-05,0.0048381,6846,1.18E-05,7469,5034
2294,0.47842,,,4209,8.30E-06,3866,5680,7008,0.52006,1.21E-05,0.0048945,7008,1.21E-05,7723,5156
2308,0.27847,,,4072,8.02E-06,3772,5514,7234,0.55873,1.25E-05,0.0049371,7234,1.25E-05,7906,5285
2215,0.37815,,,4021,7.84E-06,3695,5401,7471,0.50654,1.29E-05,0.0049682,7471,1.29E-05,8160,5429
2208,0.42646,,,3873,7.58E-06,3643,5264,7703,0.57765,1.35E-05,0.004941,7703,1.35E-05,8351,5637
2175,0.36745,,,3768,7.28E-06,3576,5088,7892,0.58566,1.39E-05,0.0049913,7892,1.39E-05,8617,5782
2169,0.20937,,,3687,7.07E-06,3473,4977,8240,0.5121,1.45E-05,0.0049719,8240,1.45E-05,8855,6003
2135,0.29249,,,3623,6.93E-06,3473,4897,8490,0.53703,1.52E-05,0.0049509,8490,1.52E-05,9091,6223
2113,0.22742,,,3534,6.60E-06,3341,4723,8732,0.60357,1.56E-05,0.0050336,8732,1.56E-05,9399,6381
2083,0.2642,,,3460,6.39E-06,3276,4588,8979,0.66203,1.64E-05,0.0049818,8979,1.64E-05,9658,6634
2064,0.18744,,,3414,6.23E-06,3242,4518,9333,0.58209,1.69E-05,0.0050396,9333,1.69E-05,9908,6836
2046,0.15423,,,3288,6.08E-06,3214,4415,9705,0.56129,1.78E-05,0.0049509,9705,1.78E-05,10261,7142
2013,0.10477,,,3273,6.04E-06,3200,4366,10047,0.5631,1.88E-05,0.0048499,10047,1.88E-05,10618,7463
2006,0.096422,,,3167,5.65E-06,3129,4191,10365,0.59906,1.92E-05,0.0050103,10365,1.92E-05,10914,7631
1932,0.14098,,,3120,5.54E-06,3058,4114,10723,0.61325,2.01E-05,0.0049474,10723,2.01E-05,11250,7958
1964,0.014977,,,3069,5.28E-06,3011,3971,1540,1,2.12E-05,0.0048901,11145,2.12E-05,11626,8314
1922,0.050789,,,2957,5.16E-06,2929,3895,1573,0.64816,2.19E-05,0.0049422,11457,2.19E-05,11911,8563
1924,0,,,2940,5.02E-06,2902,3803,1584,0.75167,2.29E-05,0.0049312,11754,2.29E-05,12343,8885
1864,0.14438,,,2883,4.86E-06,2868,3710,1625,0.55678,2.38E-05,0.0049332,12188,2.38E-05,12712,9222
25830,0.75602,,,2805,4.69E-06,2832,3617,1626,0.63395,2.50E-05,0.0048956,12552,2.50E-05,13115,9620
24772,0.75525,,,2825,4.55E-06,2835,3555,1630,0.74416,2.62E-05,0.0048633,13019,2.62E-05,13636,10050
23842,0.74545,,,2738,4.49E-06,2778,3493,1670,0.59824,2.77E-05,0.0047348,13557,2.77E-05,14023,10575
22814,0.75008,,,2696,4.21E-06,2695,3344,1694,0.73851,2.86E-05,0.0048176,13916,2.86E-05,14486,10901
21874,0.75863,,,2648,4.17E-06,2642,3305,1709,0.64656,2.98E-05,0.0048318,14376,2.98E-05,14892,11298
21087,0.73776,,,2614,4.01E-06,2674,3233,1736,0.57321,3.11E-05,0.0048489,14859,3.11E-05,15388,11752
20171,0.76948,,,2555,3.85E-06,2617,3141,1753,0.69866,3.25E-05,0.0048327,15360,3.25E-05,15879,12252
19518,0.73573,,,2533,3.76E-06,2549,3105,1786,0.71202,3.41E-05,0.0047993,15926,3.41E-05,16441,12820
18675,0.74821,,,2491,3.58E-06,2549,3004,1771,0.76839,3.57E-05,0.0047891,16525,3.57E-05,17005,13368
17818,0.78538,,,2474,3.51E-06,2518,2940,1847,0.63029,3.72E-05,0.0048123,17102,3.72E-05,17641,13868
17131,0.79135,,,2413,3.45E-06,2481,2895,1864,0.55898,3.92E-05,0.0047355,17639,3.92E-05,18251,14561
16369,0.82366,,,2411,3.23E-06,2428,2793,1887,0.50692,4.13E-05,0.0046731,18374,4.13E-05,18908,15308
15781,0.82019,,,2364,3.16E-06,2416,2759,1902,0.56286,4.30E-05,0.0047195,18936,4.30E-05,19503,15895
15183,0.80662,,,2301,3.12E-06,2371,2730,1946,0.59777,4.48E-05,0.0047446,19605,4.48E-05,20084,16530
14571,0.82785,,,2294,2.96E-06,2350,2644,1985,0.30771,4.73E-05,0.0046608,20333,4.73E-05,20937,17409
14042,0.83128,,,2308,2.98E-06,2336,2636,2015,0.52806,4.91E-05,0.0047395,21100,4.91E-05,21644,18018
13496,0.83928,,,2215,2.85E-06,2273,2569,2023,0.64583,5.12E-05,0.0047927,21842,5.12E-05,22336,18727
13220,0.76788,,,2208,2.80E-06,2226,2506,2115,0.47139,,,22651,5.39E-05,23056,19631
12367,0.90737,,,2175,2.60E-06,2227,2420,2134,0.48593,,,23406,5.60E-05,23938,20414
11961,0.89133,,,2169,2.57E-06,2234,2378,2150,0.62554,,,24263,5.86E-05,24702,21266
11466,0.90785,,,2135,2.44E-06,2180,2355,2226,0.33259,,,25174,6.11E-05,25646,22200
11011,0.93458,,,2113,2.39E-06,2144,2309,2243,0.4143,,,25998,6.40E-05,26482,23181
10680,0.91456,,,2083,2.19E-06,2133,2236,2291,0.34259,,,26958,6.65E-05,27455,24092
10241,0.94222,,,2064,2.27E-06,2096,2225,2341,0.44516,,,27954,6.99E-05,28364,25211
9824,0.96289,,,2046,2.18E-06,2096,2196,2375,0.43513,,,28996,7.25E-05,29312,26161
9584,0.92992,,,2013,2.05E-06,2044,2115,2432,0.28369,,,30017,7.58E-05,30379,27300
9144,0.96713,,,2006,1.97E-06,2061,2071,2511,0.20616,,,31219,7.92E-05,31529,28476
