PI1,O2Hb1,TSI1,TSIFT1,PI2,O2Hb2,TSI2,TSIFT2
0.928571429,0.082418141,0.519253232,0.96232322,0.432753888,0.256426327,0.48417084,0.956708831
0.928571429,0.090224874,0.515821724,0.96162272,0.460201281,0.286032865,0.475981057,0.944281797
0.928571429,0.09619503,0.523505754,0.961600734,0.478499543,0.316882882,0.473280842,0.931351379
0.928571429,0.104192042,0.531717784,0.961592891,0.542543458,0.338209934,0.473917462,0.925926593
0.928571429,0.113857126,0.543073887,0.96033484,0.542543458,0.357573166,0.474336682,0.91968266
0.928571429,0.122044418,0.550142298,0.959051674,0.615736505,0.379636603,0.470499537,0.907297605
0.928571429,0.129656927,0.55908186,0.957181088,0.661482159,0.397723915,0.471035757,0.897664791
0.857142857,0.138452277,0.570123678,0.955109479,0.716376944,0.39925033,0.475008918,0.896578393
0.857142857,0.147679618,0.576703884,0.950971016,0.78042086,0.406239767,0.475539001,0.89269413
0.857142857,0.158306699,0.57992726,0.949036057,0.807868253,0.416464755,0.480648081,0.886279254
0.857142857,0.152503818,0.591426842,0.952398654,0.853613907,0.42183786,0.483661981,0.88375371
0.857142857,0.118494327,0.603528436,0.961459391,0.853613907,0.420873133,0.487506069,0.884375133
0.857142857,0.081389504,0.586961645,0.968921214,0.835315645,0.429695997,0.493184771,0.880349658
0.857142857,0.050597602,0.555174909,0.974368039,0.881061299,0.444363726,0.498627254,0.873384321
0.857142857,0.031620473,0.527923597,0.977375693,0.899359561,0.447911431,0.509205583,0.872924415
0.857142857,0.014911914,0.507690036,0.980804268,0.881061299,0.463217601,0.518583098,0.86787552
0.928571429,0.005997676,0.490855377,0.983986306,0.899359561,0.480120833,0.528003573,0.861948089
0.928571429,0,0.482631057,0.986555766,0.899359561,0.493581371,0.539810981,0.858237627
0.928571429,0.002424672,0.479146049,0.987702303,0.881061299,0.504916565,0.543226189,0.854347573
1,0.008583301,0.477146258,0.986998694,0.862763038,0.514426361,0.54767501,0.849627522
1,0.017050428,0.479371954,0.98594955,0.899359561,0.511643301,0.553907839,0.849800611
1,0.031677083,0.490882596,0.984195192,0.881061299,0.504014463,0.552124326,0.851900262
0.928571429,0.052711639,0.495151283,0.979511715,0.899359561,0.498926215,0.547044924,0.851581586
0.785714286,0.068587682,0.502863295,0.975536561,0.908508692,0.489707382,0.534935,0.851772076
0.785714286,0.081038034,0.519673288,0.972043572,0.908508692,0.482619997,0.529145731,0.8523283
0.671428571,0.091003818,0.531360118,0.968536441,0.908508692,0.479468264,0.525526195,0.85290557
0.685714286,0.10156435,0.54107797,0.964620966,0.908508692,0.487568868,0.527166946,0.848153603
0.642857143,0.109300593,0.547782096,0.960620697,1,0.493510723,0.529442213,0.844527193
0.642857143,0.11640881,0.551284026,0.957633424,0.908508692,0.497980766,0.537816101,0.842511527
0.621428571,0.134482029,0.553278617,0.95258399,1,0.510426166,0.546206087,0.838248477
0.657142857,0.144303216,0.558024732,0.950086786,1,0.518679317,0.557463491,0.835992359
0.692857143,0.15275128,0.565009591,0.947319433,1,0.520942117,0.568908624,0.83509065
