intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
16525,0.0715,13071,15592,14234,14733,13100,13578,13451,12493,13287,13659
17102,0.0715,13628,16339,14776,15335,13721,14214,14075,12947,13861,14248
17639,0.0715,14364,16988,15546,15932,14283,14790,14616,13544,14494,14928
18374,0.0715,14960,17737,16208,16643,14904,15386,15257,14167,15119,15519
18936,0.0715,15699,18381,16860,17376,15530,16020,15941,14740,15748,16156
19605,0.0715,16388,19121,17631,18051,16199,16605,16653,15323,16376,16867
20333,0.0715,17175,19865,18487,18891,16848,17367,17395,16127,17211,17751
21100,0.0715,17959,20612,19136,19635,17615,18045,18044,16691,17815,18411
21842,0.0715,18820,21346,19960,20371,18367,18714,18741,17501,18601,19175
22651,0.0715,19669,22219,20834,21180,19229,19507,19472,18094,19436,20095
23406,0.0715,20509,23158,21819,22049,20053,20243,20293,18824,20149,20860
24263,0.0715,21530,24039,22678,23045,21026,21162,21217,19702,21107,21967
25174,0.0715,22667,25067,23736,23881,22046,21925,22040,20576,22010,22742
25998,0.0715,23688,26036,24790,24958,22982,22842,22943,21365,22893,23897
26958,0.0715,24761,27163,25917,26104,23984,23914,23813,22262,23799,24881
27954,0.0715,25969,28355,27025,27198,25196,24764,24817,23286,24868,26017
28996,0.0715,27201,29385,28162,28192,26330,25833,25828,24115,26036,27155
30017,0.0715,28530,30643,29439,29487,27716,26837,26804,25114,27020,28322
31219,0.0715,29853,31892,30803,30697,29101,28093,28053,26320,28187,29562
32349,0.0715,31232,33165,31969,31905,30391,29179,29078,27297,29437,30840
33395,0.0715,32739,34423,33366,33260,31773,30250,30034,28355,30548,32145
34536,0.0715,34202,35765,34758,34582,33316,31535,31263,29592,31871,33427
35904,0.0715,35699,37078,36351,35879,34796,32850,32454,30699,33158,34843
36917,0.0715,37226,38665,37667,37270,36424,34265,33613,31848,34596,36288
1540,0.6233,,,,,,,,,,
1573,0.2331,,,,,,,,,,
1584,0.3282,,,,,,,,,,
