intensity,750,800,850,ua,left,right,ctr
6.49E-05,,,,0.00031153,,,
6.22E-05,,,,0.00031896,,,
5.97E-05,,,,0.00032884,,,
5.71E-05,,,,0.0003478,,,
5.50E-05,,,,0.00034551,,,
5.26E-05,,,,0.00036751,,,
5.05E-05,,,,0.00038063,,,
4.83E-05,,,,0.00040305,,,
4.65E-05,,,,0.00040337,,,
4.44E-05,,,,0.00043311,,,
4.25E-05,,,,0.00045267,,,
4.08E-05,,,,0.00046651,,,
3.91E-05,,,,0.00048857,,,
3.74E-05,,,,0.00051268,,,
3.60E-05,,,,0.00051872,,,
3.43E-05,,,,0.00055629,,,
3.31E-05,,,,0.00055367,,,
3.17E-05,,,,0.00057896,,,
3.01E-05,,,,0.00061934,,,
2.89E-05,,,,0.00064022,,,
2.75E-05,,,,0.0006774,,,
2.64E-05,,,,0.00069186,,,
2.55E-05,,,,0.00069961,,,
2.43E-05,,,,0.00072918,,,
2.34E-05,,,,0.00074719,,,
2.24E-05,,,,0.00076789,,,
2.19E-05,,,,0.00073718,,,
2.03E-05,,,,0.00084253,,,
1.96E-05,,,,0.00084696,,,
1.88E-05,,,,0.00087245,,,
1.79E-05,,,,0.00090452,,,
1.73E-05,,,,0.00090549,,,
1.65E-05,,,,0.00093783,,,
1.58E-05,,,,0.00096541,,,
1.54E-05,,,,0.0009569,,,
1.46E-05,,,,0.00099519,,,
1.41E-05,,,,0.0010026,,,
1.35E-05,,,,0.0010292,,,
1.29E-05,,,,0.0010563,,,
1.25E-05,,,,0.0010593,,,
1.21E-05,,,,0.0010655,,,
1.16E-05,,,,0.0010795,,,
1.12E-05,,,,0.0010891,,,
1.09E-05,,,,0.0010877,,,
1.05E-05,,,,0.0010933,,,
1.00E-05,,,,0.0011215,,,
9.65E-06,,,,0.0011354,,,
9.29E-06,,,,0.0011509,,,
9.02E-06,,,,0.001146,,,
8.74E-06,,,,0.0011474,,,
8.44E-06,,,,0.0011549,,,
8.24E-06,,,,0.0011386,,,
7.94E-06,,,,0.0011511,,,
7.73E-06,,,,0.0011445,,,
7.37E-06,,,,0.0011774,,,
7.16E-06,,,,0.0011745,,,
6.90E-06,,,,0.0011879,,,
6.70E-06,,,,0.0011865,,,
6.53E-06,,,,0.0011784,,,
6.35E-06,,,,0.0011716,,,
6.07E-06,,,,0.0012036,,,
6.00E-06,,,,0.0011668,,,
5.74E-06,,,,0.0011939,,,
5.63E-06,,,,0.0011752,,,
5.46E-06,,,,0.0011761,,,
5.38E-06,,,,0.0011505,,,
5.17E-06,,,,0.0011704,,,
5.02E-06,,,,0.0011685,,,
4.89E-06,,,,0.001167,,,
4.72E-06,,,,0.0011773,,,
4.67E-06,,,,0.0011453,,,
4.62E-06,,,,0.0011132,,,
4.47E-06,,,,0.0011234,,,
4.25E-06,,,,0.0011601,,,
4.18E-06,,,,0.0011416,,,
4.09E-06,,,,0.0011279,,,
4.00E-06,,,,0.0011219,,,
3.87E-06,,,,0.0011308,,,
3.84E-06,,,,0.0010963,,,
3.72E-06,,,,0.0011039,,,
3.66E-06,,,,0.0010858,,,
3.55E-06,,,,0.001093,,,
3.47E-06,,,,0.0010825,,,
3.41E-06,,,,0.0010705,,,
3.29E-06,,,,0.0010826,,,
3.26E-06,,,,0.0010569,,,
3.24E-06,,,,0.0010255,,,
3.05E-06,,,,0.0010758,,,
3.03E-06,,,,0.0010462,,,
2.96E-06,,,,0.0010437,,,
2.95E-06,,,,0.0010122,,,
2.90E-06,,,,0.00099636,,,
2.75E-06,,,,0.0010349,,,
2.68E-06,,,,0.0010365,,,
2.69E-06,,,,0.00099344,,,
2.64E-06,,,,0.00098523,,,
2.57E-06,,,,0.00099092,,,
2.51E-06,,,,0.0009863,,,
2.50E-06,,,,0.00095672,,,
2.43E-06,,,,0.00096108,,,
2.38E-06,,,,0.00095674,,,
2.31E-06,,,,0.00096614,,,
2.25E-06,,,,0.00096866,,,
2.16E-06,,,,0.00098909,,,
2.13E-06,,,,0.00097354,,,
2.07E-06,,,,0.000978,,,
2.19E-06,,,,0.00087753,,,
2.03E-06,,,,0.00094006,,,
1.97E-06,,,,0.00095208,,,
1.94E-06,,,,0.00093832,,,
1.92E-06,,,,0.00091953,,,
1.87E-06,,,,0.00092367,,,
1.85E-06,,,,0.00090697,,,
1.82E-06,,,,0.00090443,,,
1.72E-06,,,,0.000937,,,
1.74E-06,,,,0.0008978,,,
0.00011253,,,,0.00070082,,,
0.00011185,,,,0.00066686,,,
0.00010331,,,,0.00078686,,,
0.0001002,,,,0.00071092,,,
9.63E-05,,,,0.0007581,,,
9.30E-05,,,,0.00071279,,,
8.98E-05,,,,0.00080986,,,
8.66E-05,,,,0.00077442,,,
8.34E-05,,,,0.00074998,,,
8.04E-05,,,,0.00072881,,,
7.77E-05,,,,0.00075915,,,
7.48E-05,,,,0.00074554,,,
7.22E-05,,,,0.00072359,,,
6.96E-05,,,,0.00070674,,,
6.73E-05,,,,0.00068161,,,
6.47E-05,,,,0.00068571,,,
6.24E-05,,,,0.00067211,,,
6.04E-05,,,,0.00065115,,,
5.81E-05,,,,0.00065193,,,
5.60E-05,,,,0.00065038,,,
5.41E-05,,,,0.00064197,,,
5.21E-05,,,,0.00064592,,,
5.03E-05,,,,0.00063769,,,
4.85E-05,,,,0.00063831,,,
4.67E-05,,,,0.00064603,,,
4.53E-05,,,,0.00062888,,,
4.37E-05,,,,0.00063162,,,
4.19E-05,,,,0.00065687,,,
4.06E-05,,,,0.00064524,,,
3.95E-05,,,,0.00062528,,,
3.77E-05,,,,0.00066601,,,
3.67E-05,,,,0.00064492,,,
3.55E-05,,,,0.0006446,,,
3.40E-05,,,,0.00067381,,,
3.31E-05,,,,0.0006568,,,
3.21E-05,,,,0.00065043,,,
3.10E-05,,,,0.00065876,,,
3.00E-05,,,,0.00065709,,,
2.97E-05,,,,0.00059581,,,
2.80E-05,,,,0.00067077,,,
2.71E-05,,,,0.00067759,,,
2.62E-05,,,,0.00068427,,,
2.55E-05,,,,0.00067622,,,
2.45E-05,,,,0.00069404,,,
2.38E-05,,,,0.00068634,,,
2.30E-05,,,,0.00069735,,,
2.24E-05,,,,0.00069575,,,
2.15E-05,,,,0.00072247,,,
2.10E-05,,,,0.00069997,,,
2.05E-05,,,,0.00069004,,,
1.97E-05,,,,0.00070925,,,
1.92E-05,,,,0.00070693,,,
1.84E-05,,,,0.00072897,,,
1.80E-05,,,,0.00071692,,,
1.74E-05,,,,0.00072787,,,
1.69E-05,,,,0.00073008,,,
1.63E-05,,,,0.00074725,,,
1.60E-05,,,,0.00072328,,,
1.55E-05,,,,0.00073818,,,
1.50E-05,,,,0.00073537,,,
1.45E-05,,,,0.00065946,,,
1.40E-05,,,,0.00067643,,,
1.38E-05,,,,0.00065488,,,
1.32E-05,,,,0.00067895,,,
