
Experiment data,16-07-2019,11:10:39

Collected Light Intensity
Intensity:,234,216,192,255,255,214,192,255,
Integration time: ,12381
Wavelength,i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient
 ,15041,15250,14841,12555,6832,7685,7455,6646,5323,
 ,14670,14842,14420,12326,6942,7761,7536,6640,5243,
 ,14352,14467,13991,11962,7025,7870,7656,6749,5283,
 ,14028,14153,13778,11724,6993,8035,7754,6829,5264,
 ,13686,13839,13438,11501,7082,8059,7825,6853,5247,
 ,13335,13485,13026,11258,7175,8199,7922,6894,5289,
 ,13116,13164,12770,11049,7248,8341,8023,6967,5292,
 ,12836,12952,12513,10772,7318,8473,8169,7026,5325,
 ,12623,12744,12239,10695,7455,8601,8258,7105,5316,
 ,12326,12474,11964,10453,7499,8725,8366,7196,5351,
 ,12110,12293,11759,10261,7592,8823,8473,7293,5293,
 ,11885,12092,11589,10078,7688,8956,8569,7394,5387,
 ,11771,11930,11342,9978,7759,9089,8773,7452,5338,
 ,11471,11613,11163,9809,7861,9178,8860,7565,5384,
 ,11299,11486,10965,9593,7823,9319,8946,7646,5382,
 ,11143,11311,10825,9473,8050,9503,9101,7781,5389,
 ,10935,11118,10655,9342,8146,9615,9328,7815,5347,
 ,10798,11020,10456,9270,8220,9819,9363,7990,5420,
 ,10705,10739,10421,9082,8280,9922,9524,8031,5371,
 ,10530,10542,10224,8960,8411,10037,9643,8083,5389,
 ,10339,10365,10009,8833,8532,10181,9883,8254,5429,
 ,10182,10265,9864,8680,8596,10374,10012,8317,5387,
 ,10081,10108,9696,8582,8672,10574,10094,8397,5426,
 ,9912,9962,9599,8473,8825,10755,10351,8572,5401,
 ,9777,9843,9414,8348,8958,10913,10505,8662,5396,
 ,9614,9701,9328,8272,9065,11133,10747,8795,5360,
 ,9546,9544,9220,8104,9167,11320,10846,8954,5363,
 ,9417,9337,9061,8048,9336,11480,11081,9082,5359,
 ,9252,9255,8899,7989,9437,11679,11206,9209,5406,
 ,9087,9149,8821,7870,9545,11900,11503,9317,5364,
 ,9046,9025,8754,7750,9702,12184,11647,9428,5381,
 ,8903,8898,8631,7696,9822,12402,11907,9643,5376,
 ,8794,8795,8504,7618,9972,12652,11998,9765,5356,
 ,8702,8686,8375,7557,10134,12849,12381,9891,5338,
 ,8613,8582,8289,7441,10305,13090,12617,10202,5359,
 ,8483,8469,8192,7392,10417,13375,12802,10329,5321,
