ir,ia,iir,iia,,ir-690-r-test,iir-690-r-test,ir-750-c-test,iir-750-c-test,ir-800-l-test,iir-800-l-test,,i-lookup-750c,ii-lookup-750c,i-lookup-800l,ii-lookup-800l,i-lookup-690r,ii-lookup-690r
30465,0.24336,1589,0.30905,,,,,,,,,,,,,,
29310,0.24336,1654,0.28587,,,,,,,,,,,,,,
28327,0.24336,1706,0.28111,,,,,,,,,,,,,,
27320,0.24336,1735,0.30533,,,,,,,,,,,,,,
26270,0.24336,1763,0.33193,,,,,,,,,,,,,,
25307,0.24336,1767,0.38821,,,,,,,,,,,,,,
24476,0.24336,1863,0.33814,,,,,,,,,,,,,,
23521,0.24336,1851,0.41451,,,,,,,,,,,,,,
22661,0.24336,1901,0.42081,,,,,,,,,,,,,,
21893,0.24336,1932,0.45043,,,,,,,,,,,,,,
21116,0.24336,2044,0.39192,,,,,,,,,,,,,,
20463,0.24795,2064,0.43634,,,,,,,,,,,,,,
19727,0.246,2155,0.40681,,,,,,,,,,,,,,
19043,0.23643,2142,0.48852,,,,,,,,,,,,,,
18470,0.19635,2206,0.49057,,,,,,,,,,,,,,
1.78E+04,0.21033,2279,0.48563,,,,,,,,,,,,,,
1.73E+04,0.16863,2330,0.50523,,,,,,,,,,,,,,
1.66E+04,0.17342,2382,0.52557,,,,,,,,,,,,,,
1.62E+04,0.13628,2477,0.50579,,,,,,,,,,,,,,
1.55E+04,0.16503,2493,0.56473,,,,,,,,,,,,,,
1.49E+04,0.18704,2589,0.54852,,,,,,,,,,,,,,
1.45E+04,0.14838,2651,0.56705,,,,,,,,,,,,,,
1.41E+04,0.12541,2738,0.56472,,,,,,,,,,,,,,
1.37E+04,0.085963,2809,0.57938,,,,,,,,,,,,,,
1.32E+04,0.10167,2881,0.59532,,,,,,,,,,,,,,
1.28E+04,0.078563,2960,0.60736,,,,,,,,,,,,,,
1.23E+04,0.1012,3039,0.62175,,,,,,,,,,,,,,
1.19E+04,0.11689,3083,0.66813,,,,,,,,,,,,,,
1.16E+04,0.089355,3167,0.68255,,,,,,,,,,,,,,
1.12E+04,0.10355,3291,0.6666,,,,,,,,,,,,,,
1.09E+04,0.045808,3347,0.70901,,,,,,,,,,,,,,
1.05E+04,0.059352,3469,0.70069,,,,,,,,,,,,,,
1.02E+04,0.050866,3531,0.74266,,,,,,,,,,,,,,
9.83E+03,0.085377,3688,0.71353,,,,,,,,,,,,,,
9.59E+03,0.044222,3757,0.75478,,,,,,,,,,,,,,
9.33E+03,0.020884,3884,0.75515,,,,,,,,,,,,,,
8.95E+03,0.071739,3953,0.80118,,,,,,,,,,,,,,
8.74E+03,0.03059,4128,0.77318,,,,,,,,,,,,,,
8.52E+03,0,4254,0.78418,,,,,,,,,,,,,,
8.18E+03,0.048009,4361,0.8114,,,,,,,,,,,,,,
7.99E+03,0.013806,4501,0.81915,,,,,,,,,,,,,,
7.65E+03,0.075317,4593,0.86228,,,,,,,,,,,,,,
7.49E+03,0.022821,4806,0.82901,,,,,,,,,,,,,,
7.20E+03,0.069806,4930,0.85753,,,,,,,,,,,,,,
7.05E+03,0.02377,5084,0.8704,,,,,,,,,,,,,,
6.79E+03,0.057836,5209,0.90473,,,,,,,,,,,,,,
6.66E+03,0.0020636,5418,0.89147,,,,,,,,,,,,,,
6.42E+03,0.034846,5513,0.95043,,,,,,,,,,,,,,
6.16E+03,0.085363,5758,0.92446,,,,,,,,,,,,,,
6.09E+03,0.0025923,5920,0.95126,,,,,,,,,,,,,,
5.83E+03,0.061269,6175,0.93018,,,,,,,,,,,,,,
5.64E+03,0.080137,6363,0.95092,,,,,,,,,,,,,,
5.49E+03,0.062841,6677,0.90971,,,,,,,,,,,,,,
5.29E+03,0.10152,6815,0.96508,,,,,,,,,,,,,,
5.12E+03,0.11714,7033,0.98326,,,,,,,,,,,,,,
4.98E+03,0.10853,7295,0.98413,,,,,,,,,,,,,,
4.76E+03,0.17287,7573,0.9826,,,,,,,,,,,,,,
4.70E+03,0.10225,7889,0.96887,,,,,,,,,,,,,,
4.55E+03,0.12203,8161,0.98136,,,,,,,,,,,,,,
4.39E+03,0.14591,8539,0.95209,,,,,,,,,,,,,,
4.29E+03,0.12401,8755,0.99979,,,,,,,,,,,,,,
4.12E+03,0.16781,9104,0.99509,,,,,,,,,,,,,,
4.00E+03,0.17835,9524,0.96763,,,,,,,,,,,,,,
3.88E+03,0.18182,9813,1,,,,,,,,,,,,,,
3.74E+03,0.21363,10208,0.99579,,,,,,,,,,,,,,
3.57E+03,0.28313,10684,0.96766,,,,,,,,,,,,,,
3.50E+03,0.24869,11050,0.98802,,,,,,,,,,,,,,
3.32E+03,0.35062,11561,0.96223,,,,,,,,,,,,,,
3.31E+03,0.2538,12045,0.95411,,,,,,,,,,,,,,
3.25E+03,0.20786,12572,0.93904,,,,,,,,,,,,,,
3.02E+03,0.38561,13029,0.95475,,,,,,,,,,,,,,
2.99E+03,0.31579,13629,0.9316,,,,,,,,,,,,,,
2.89E+03,0.33861,14202,0.92555,,,,,,,,,,,,,,
2.82E+03,0.33108,14823,0.91318,,,,,,,,,,,,,,
2.72E+03,0.3594,15408,0.91971,,,,,,,,,,,,,,
2.64E+03,0.36288,16143,0.89179,,,,,,,,,,,,,,
2.59E+03,0.33268,16893,0.86966,,,,,,,,,,,,,,
2.44E+03,0.45635,17740,0.83192,,,,,,,,,,,,,,
2.40E+03,0.40787,18425,0.84574,,,,,,,,,,,,,,
2.36E+03,0.37062,19228,0.83852,,,,,,,,,,,,,,
2.29E+03,0.37724,20076,0.8299,,,,,,,,,,,,,,
2.19E+03,0.44535,20969,0.8205,,,,,,,,,,,,,,
2.06E+03,0.55771,21864,0.82057,,,,,,,,,,,,,,
2051,0.48062,22801,0.82111,,,,,,,,,,,,,,
1944,0.57343,23896,0.79801,,,,,,,,,,,,,,
1930,0.50267,24958,0.79319,,,,,,,,,,,,,,
1898,0.4665,26119,0.77935,,,,,,,,,,,,,,
1787,0.58124,27261,0.78068,,,,,,,,,,,,,,
1707,0.6457,28454,0.78338,,,,,,,,,,,,,,
1690,0.58647,29722,0.78359,,,,,,,,,,,,,,
1609,0.6619,31174,0.76288,,,,,,,,,,,,,,
1618,0.5512,32463,0.77731,,,,,,,,,,,,,,
1555,0.59441,33964,0.77731,,,,,,,,,,,,,,
1534,0.5504,35403,0.77731,,,,,,,,,,,,,,
1462,0.6212,36813,0.77731,,,,,,,,,,,,,,
1427,0.61292,38525,0.77731,,,,,,,,,,,,,,
1314,0.79754,40159,0.77731,,,,,,,,,,,,,,
1276,0.80544,41863,0.77731,,,,,,,,,,,,,,
1222,0.85944,43682,0.77731,,,,,,,,,,,,,,
1247,0.7052,45510,0.77731,,,,,,,,,,,,,,
1143,0.90205,47434,0.77731,,,,,,,,,,,,,,
1147,0.80328,49233,0.77731,,,,,,,,,,,,,,
1084,0.89962,51292,0.77731,,,,,,,,,,,,,,
1039,0.95012,53355,0.77731,,,,,,,,,,,,,,
1092,0.7069,55499,0.77731,,,,,,,,,,,,,,
1021,0.83544,57629,0.77731,,,,,,,,,,,,,,
944,1,59865,0.77731,,,,,,,,,,,,,,
937,0.93901,62683,0.77731,,,,,,,,,,,,,,
61699,0.10227,850,0.5429,,,,,,,,,,,,,,
59314,0.10227,915,0.39537,,,,,,,,,,,,,,
5.73E+04,0.10227,917,0.47719,,,,,,,,,,,,,,
5.56E+04,0.10227,958,0.42533,,,,,,,,,,,,,,
5.34E+04,0.10227,950,0.54389,,,,,,,,,,,,,,
5.14E+04,0.10227,1018,0.40828,,,,,,,,,,,,,,
4.95E+04,0.10227,1014,0.51367,,,,,,,,,,,,,,
4.76E+04,0.10227,1034,0.5425,,,,,,,,,,,,,,
4.58E+04,0.10227,1050,0.58621,,,,,,,,,,,,,,
4.40E+04,0.10227,1096,0.53671,,,,,,,,,,,,,,
4.24E+04,0.10227,1078,0.69194,,,,,,,,,,,,,,
4.07E+04,0.10227,1140,0.59704,,,,,,,,,,,,,,
3.90E+04,0.10227,1132,0.72245,,,,,,,,,,,,,,
3.75E+04,0.10227,1164,0.72617,,,,,,,,,,,,,,
3.62E+04,0.10227,1218,0.66766,,,,,,,,,,,,,,
3.47E+04,0.10227,1214,0.78414,,,,,,,,,,,,,,
3.34E+04,0.10227,1268,0.73208,,,,,,,,,,,,,,
3.22E+04,0.10227,1311,0.71696,,,,,,,,,,,,,,
3.09E+04,0.10227,1368,0.66808,,,,,,,,,,,,,,
2.97E+04,0.10227,1398,0.69603,,,,,,,,,,,,,,
2.87E+04,0.10227,1411,0.77135,,,,,,,,,,,,,,
2.76E+04,0.10227,1457,0.76195,,,,,,,,,,,,,,
2.65E+04,0.10227,1506,0.74892,,,,,,,,,,,,,,
2.55E+04,0.10227,1561,0.72534,,,,,,,,,,,,,,
2.45E+04,0.10227,1573,0.81067,,,,,,,,,,,,,,
2.36E+04,0.10227,1599,0.86389,,,,,,,,,,,,,,
2.27E+04,0.10227,1653,0.85182,,,,,,,,,,,,,,
2.19E+04,0.10227,1705,0.84881,,,,,,,,,,,,,,
2.11E+04,0.10227,1762,0.83844,,,,,,,,,,,,,,
2.03E+04,0.10227,1853,0.75804,,,,,,,,,,,,,,
1.94E+04,0.086188,1800,1,,,,,,,,,,,,,,
1.87E+04,0.066718,1940,0.81835,,,,,,,,,,,,,,
1.80E+04,0.088624,1949,0.92577,,,,,,,,,,,,,,
1.73E+04,0.094516,2032,0.88042,,,,,,,,,,,,,,
1.68E+04,0.039054,2116,0.83994,,,,,,,,,,,,,,
1.61E+04,0.075338,2188,0.82905,,,,,,,,,,,,,,
1.55E+04,0.05421,2257,0.82864,,,,,,,,,,,,,,
1.49E+04,0.087722,2380,0.73459,,,,,,,,,,,,,,
1.45E+04,0,2479,0.69268,,,,,,,,,,,,,,
1.37E+04,0.14815,2462,0.85688,,,,,,,,,,,,,,
1.32E+04,0.14804,2582,0.78571,,,,,,,,,,,,,,
1.26E+04,0.19989,2696,0.73348,,,,,,,,,,,,,,
1.22E+04,0.16752,2752,0.78135,,,,,,,,,,,,,,
1.17E+04,0.20126,2891,0.70206,,,,,,,,,,,,,,
1.13E+04,0.20485,2935,0.77585,,,,,,,,,,,,,,
1.09E+04,0.20014,3115,0.64985,,,,,,,,,,,,,,
1.05E+04,0.19311,3237,0.61886,,,,,,,,,,,,,,
1.01E+04,0.23196,3293,0.6853,,,,,,,,,,,,,,
9.68E+03,0.24536,3435,0.63739,,,,,,,,,,,,,,
9.34E+03,0.24886,3566,0.6116,,,,,,,,,,,,,,
9.01E+03,0.25033,3725,0.55698,,,,,,,,,,,,,,
8.64E+03,0.28711,3834,0.57166,,,,,,,,,,,,,,
8.28E+03,0.3262,3955,0.57653,,,,,,,,,,,,,,
7.99E+03,0.33341,4134,0.51883,,,,,,,,,,,,,,
7.71E+03,0.33422,4220,0.57508,,,,,,,,,,,,,,
7.41E+03,0.35922,4436,0.48998,,,,,,,,,,,,,,
7.18E+03,0.34826,4580,0.49224,,,,,,,,,,,,,,
6.84E+03,0.41492,4755,0.46772,,,,,,,,,,,,,,
6.61E+03,0.41598,4918,0.46226,,,,,,,,,,,,,,
6.35E+03,0.44213,5138,0.40693,,,,,,,,,,,,,,
6.12E+03,0.45705,5292,0.42315,,,,,,,,,,,,,,
5.91E+03,0.4611,5522,0.37405,,,,,,,,,,,,,,
5.69E+03,0.48654,5792,0.29839,,,,,,,,,,,,,,
5.44E+03,0.53783,5952,0.32764,,,,,,,,,,,,,,
5.22E+03,0.57668,6095,0.37659,,,,,,,,,,,,,,
5.07E+03,0.54997,6382,0.30984,,,,,,,,,,,,,,
4.85E+03,0.60603,6611,0.29978,,,,,,,,,,,,,,
4.70E+03,0.59401,6882,0.26397,,,,,,,,,,,,,,
4.46E+03,0.67578,7093,0.28206,,,,,,,,,,,,,,
4.32E+03,0.67267,7349,0.27264,,,,,,,,,,,,,,
4.14E+03,0.71758,7598,0.27561,,,,,,,,,,,,,,
3.99E+03,0.73655,7892,0.25362,,,,,,,,,,,,,,
3.84E+03,0.75289,8214,0.22071,,,,,,,,,,,,,,
3.73E+03,0.73447,8516,0.20999,,,,,,,,,,,,,,
3.54E+03,0.82616,8812,0.21104,,,,,,,,,,,,,,
3.44E+03,0.80406,9157,0.18855,,,,,,,,,,,,,,
3.31E+03,0.83307,9461,0.20005,,,,,,,,,,,,,,
3.18E+03,0.86649,9886,0.1463,,,,,,,,,,,,,,
3.06E+03,0.89302,10179,0.18005,,,,,,,,,,,,,,
2.91E+03,0.9653,10581,0.15825,,,,,,,,,,,,,,
2.85E+03,0.90624,11017,0.12705,,,,,,,,,,,,,,
2.70E+03,1,11378,0.1462,,,,,,,,,,,,,,
2.66E+03,0.92619,11789,0.14676,,,,,,,,,,,,,,
2.62E+03,0.86351,12315,0.097177,,,,,,,,,,,,,,
2.50E+03,0.91693,12852,0.053924,,,,,,,,,,,,,,
2.43E+03,0.90655,13218,0.10437,,,,,,,,,,,,,,
2.30E+03,0.99238,13691,0.11139,,,,,,,,,,,,,,
2.26E+03,0.94548,14254,0.08605,,,,,,,,,,,,,,
2204,0.90897,14849,0.057488,,,,,,,,,,,,,,
2129,0.92052,15452,0.036929,,,,,,,,,,,,,,
2038,0.96839,15974,0.061986,,,,,,,,,,,,,,
1987,0.94336,16508,0.091544,,,,,,,,,,,,,,
1941,0.91162,17279,0.034156,,,,,,,,,,,,,,
1868,0.93867,17804,0,,,,,,,,,,,,,,
1849,0.85747,18550,0,,,,,,,,,,,,,,
1775,0.89464,19143,0,,,,,,,,,,,,,,
1712,0.91383,19846,0,,,,,,,,,,,,,,
1661,0.91089,20717,0,,,,,,,,,,,,,,
1.62E+03,0.88873,21491,0,,,,,,,,,,,,,,
1.57E+03,0.88839,22180,0,,,,,,,,,,,,,,
1.55E+03,0.83226,22926,0,,,,,,,,,,,,,,
1.51E+03,0.81178,23778,0,,,,,,,,,,,,,,
1.45E+03,0.84839,24718,0,,,,,,,,,,,,,,
1.36E+03,0.96446,25655,0,,,,,,,,,,,,,,
1.36E+03,0.86053,26488,0,,,,,,,,,,,,,,
1.36E+03,0.75163,27466,0,,,,,,,,,,,,,,
1.34E+03,0.71211,28682,0,,,,,,,,,,,,,,
1.32E+03,0.65397,29782,0,,,,,,,,,,,,,,
1.27E+03,0.68475,30840,0,,,,,,,,,,,,,,
1.22E+03,0.70408,32025,0,,,,,,,,,,,,,,
1.16E+03,0.78257,33220,0,,,,,,,,,,,,,,
1.16E+03,0.67482,34451,0,,,,,,,,,,,,,,
1.15E+03,0.62658,35804,0,,,,,,,,,,,,,,
1.11E+03,0.63837,37037,0,,,,,,,,,,,,,,
1.06E+03,0.69049,38445,0,,,,,,,,,,,,,,
1.07E+03,0.56631,39909,0,,,,,,,,,,,,,,
1.04E+03,0.55884,41445,0,,,,,,,,,,,,,,
9.91E+02,0.62974,43068,0,,,,,,,,,,,,,,
9.75E+02,0.59015,44446,0,,,,,,,,,,,,,,
9.27E+02,0.65848,46212,0,,,,,,,,,,,,,,
9.35E+02,0.54241,47977,0,,,,,,,,,,,,,,
9.94E+02,0.27126,49750,0,,,,,,,,,,,,,,
9.16E+02,0.43235,51730,0,,,,,,,,,,,,,,
8.98E+02,0.4077,53358,0,,,,,,,,,,,,,,
8.99E+02,0.3218,55195,0,,,,,,,,,,,,,,
8.41E+02,0.43634,56889,0,,,,,,,,,,,,,,
8.50E+02,0.32374,58792,0,,,,,,,,,,,,,,
7.65E+02,0.55079,60692,0,,,,,,,,,,,,,,
5.98E+04,0.12328,868,1,,,,,,,,,,,,,,
5.77E+04,0.12328,977,0.73279,,,,,,,,,,,,,,
5.59E+04,0.12328,1029,0.65996,,,,,,,,,,,,,,
5.40E+04,0.12328,1008,0.79816,,,,,,,,,,,,,,
5.18E+04,0.12328,1059,0.73198,,,,,,,,,,,,,,
4.97E+04,0.12328,1068,0.78683,,,,,,,,,,,,,,
4.78E+04,0.12328,1151,0.64454,,,,,,,,,,,,,,
4.59E+04,0.12328,1085,0.90387,,,,,,,,,,,,,,
4.40E+04,0.12328,1163,0.77539,,,,,,,,,,,,,,
4.23E+04,0.12328,1227,0.69523,,,,,,,,,,,,,,
4.06E+04,0.12328,1213,0.81398,,,,,,,,,,,,,,
3.88E+04,0.12328,1218,0.8871,,,,,,,,,,,,,,
3.72E+04,0.12328,1344,0.66614,,,,,,,,,,,,,,
3.56E+04,0.12328,1335,0.77243,,,,,,,,,,,,,,
3.42E+04,0.12328,1430,0.64314,,,,,,,,,,,,,,
3.28E+04,0.14298,1484,0.61279,,,,,,,,,,,,,,
3.15E+04,0.11409,1512,0.64026,,,,,,,,,,,,,,
3.02E+04,0.11571,1562,0.62434,,,,,,,,,,,,,,
2.90E+04,0.095336,1695,0.45277,,,,,,,,,,,,,,
2.77E+04,0.11483,1664,0.59843,,,,,,,,,,,,,,
2.67E+04,0.088691,1689,0.6398,,,,,,,,,,,,,,
2.54E+04,0.14665,1708,0.69452,,,,,,,,,,,,,,
2.44E+04,0.12415,1832,0.55593,,,,,,,,,,,,,,
2.33E+04,0.18085,1878,0.56582,,,,,,,,,,,,,,
2.23E+04,0.19723,1966,0.50661,,,,,,,,,,,,,,
2.14E+04,0.17717,2032,0.48946,,,,,,,,,,,,,,
2.04E+04,0.23718,2097,0.47747,,,,,,,,,,,,,,
1.95E+04,0.25849,2128,0.52221,,,,,,,,,,,,,,
1.89E+04,0.22324,2244,0.43771,,,,,,,,,,,,,,
1.82E+04,0.21304,2366,0.35353,,,,,,,,,,,,,,
1.72E+04,0.30029,2416,0.37732,,,,,,,,,,,,,,
1.65E+04,0.32588,2493,0.366,,,,,,,,,,,,,,
1.57E+04,0.37956,2544,0.3932,,,,,,,,,,,,,,
1.51E+04,0.39412,2631,0.37458,,,,,,,,,,,,,,
1.46E+04,0.37268,2805,0.25037,,,,,,,,,,,,,,
1.39E+04,0.43579,2816,0.33509,,,,,,,,,,,,,,
1.33E+04,0.45308,2996,0.21708,,,,,,,,,,,,,,
1.27E+04,0.4958,3054,0.24909,,,,,,,,,,,,,,
1.24E+04,0.42965,3223,0.1589,,,,,,,,,,,,,,
1.16E+04,0.57742,3192,0.29498,,,,,,,,,,,,,,
1.12E+04,0.58676,3340,0.23467,,,,,,,,,,,,,,
1.06E+04,0.64947,3460,0.21055,,,,,,,,,,,,,,
1.02E+04,0.68554,3517,0.25611,,,,,,,,,,,,,,
9.74E+03,0.7224,3703,0.17243,,,,,,,,,,,,,,
9.39E+03,0.7127,3760,0.22296,,,,,,,,,,,,,,
9.01E+03,0.73968,3921,0.1746,,,,,,,,,,,,,,
8.64E+03,0.76322,4018,0.19208,,,,,,,,,,,,,,
8.30E+03,0.78043,4171,0.16093,,,,,,,,,,,,,,
7.96E+03,0.80344,4293,0.16251,,,,,,,,,,,,,,
7.65E+03,0.82372,4468,0.12153,,,,,,,,,,,,,,
7.36E+03,0.83311,4655,0.076418,,,,,,,,,,,,,,
7.01E+03,0.89599,4694,0.15899,,,,,,,,,,,,,,
6.71E+03,0.93415,4903,0.10394,,,,,,,,,,,,,,
6.56E+03,0.86526,5069,0.089525,,,,,,,,,,,,,,
6.23E+03,0.94272,5201,0.10586,,,,,,,,,,,,,,
6.04E+03,0.91799,5455,0.033965,,,,,,,,,,,,,,
5.79E+03,0.94491,5630,0.027059,,,,,,,,,,,,,,
5.58E+03,0.94816,5694,0.10411,,,,,,,,,,,,,,
5.34E+03,0.99311,5939,0.054737,,,,,,,,,,,,,,
5.22E+03,0.92613,6105,0.066243,,,,,,,,,,,,,,
5.02E+03,0.94881,6277,0.077625,,,,,,,,,,,,,,
4.85E+03,0.94141,6469,0.079733,,,,,,,,,,,,,,
4.72E+03,0.90354,6785,0.0065928,,,,,,,,,,,,,,
4.55E+03,0.9106,6985,0.013865,,,,,,,,,,,,,,
4.39E+03,0.92038,7134,0.056893,,,,,,,,,,,,,,
4.22E+03,0.93951,7387,0.040269,,,,,,,,,,,,,,
4.09E+03,0.92043,7690,0,,,,,,,,,,,,,,
3.90E+03,0.98078,7881,0.03053,,,,,,,,,,,,,,
3.75E+03,1,8096,0.051545,,,,,,,,,,,,,,
3.64E+03,0.98628,8372,0.043018,,,,,,,,,,,,,,
3.55E+03,0.94359,8688,0.018503,,,,,,,,,,,,,,
3.44E+03,0.92834,8970,0.018373,,,,,,,,,,,,,,
3.31E+03,0.94469,9236,0.032002,,,,,,,,,,,,,,
3.18E+03,0.97323,9527,0.038006,,,,,,,,,,,,,,
3.07E+03,0.97797,9800,0.058527,,,,,,,,,,,,,,
3.00E+03,0.94091,10127,0.057641,,,,,,,,,,,,,,
2.95E+03,0.87462,10501,0.04029,,,,,,,,,,,,,,
2.85E+03,0.86845,10843,0.044796,,,,,,,,,,,,,,
2.72E+03,0.93411,11148,0.072449,,,,,,,,,,,,,,
2.65E+03,0.89418,11527,0.072049,,,,,,,,,,,,,,
2.62E+03,0.82025,11894,0.083597,,,,,,,,,,,,,,
2.51E+03,0.85384,12284,0.09147,,,,,,,,,,,,,,
2.42E+03,0.86446,12711,0.090209,,,,,,,,,,,,,,
2.33E+03,0.8873,13163,0.085708,,,,,,,,,,,,,,
2.36E+03,0.71296,13785,0.02019,,,,,,,,,,,,,,
2.25E+03,0.77204,14052,0.105,,,,,,,,,,,,,,
2.14E+03,0.83814,14517,0.11738,,,,,,,,,,,,,,
2.15E+03,0.712,15100,0.091913,,,,,,,,,,,,,,
2.11E+03,0.65285,15641,0.091336,,,,,,,,,,,,,,
2.03E+03,0.67936,16257,0.071751,,,,,,,,,,,,,,
1.95E+03,0.71353,16750,0.10523,,,,,,,,,,,,,,
1.88E+03,0.72647,17297,0.12726,,,,,,,,,,,,,,
1.88E+03,0.61821,17905,0.13637,,,,,,,,,,,,,,
1.79E+03,0.67693,18420,0.18598,,,,,,,,,,,,,,
1.75E+03,0.65662,19052,0.20424,,,,,,,,,,,,,,
1.71E+03,0.61657,19898,0.16171,,,,,,,,,,,,,,
1.65E+03,0.63569,20485,0.2137,,,,,,,,,,,,,,
1.65E+03,0.54589,21392,0.174,,,,,,,,,,,,,,
1.63E+03,0.48154,22257,0.15315,,,,,,,,,,,,,,
1.56E+03,0.51511,22702,0.15315,,,,,,,,,,,,,,
1.49E+03,0.58148,23605,0.15315,,,,,,,,,,,,,,
1.47E+03,0.5117,24278,0.15315,,,,,,,,,,,,,,
1.44E+03,0.48958,25281,0.15315,,,,,,,,,,,,,,
1.36E+03,0.58456,26296,0.15315,,,,,,,,,,,,,,
1.38E+03,0.43622,27096,0.15315,,,,,,,,,,,,,,
1.32E+03,0.4745,28153,0.15315,,,,,,,,,,,,,,
1.37E+03,0.27645,29479,0.15315,,,,,,,,,,,,,,
1.33E+03,0.27367,30519,0.15315,,,,,,,,,,,,,,
1.25E+03,0.36924,31513,0.15315,,,,,,,,,,,,,,
1.26E+03,0.24978,32752,0.15315,,,,,,,,,,,,,,
1.26E+03,0.17686,34028,0.15315,,,,,,,,,,,,,,
1.20E+03,0.22046,35179,0.15315,,,,,,,,,,,,,,
1.18E+03,0.19264,36459,0.15315,,,,,,,,,,,,,,
1.15E+03,0.18712,37765,0.15315,,,,,,,,,,,,,,
1.09E+03,0.25612,39097,0.15315,,,,,,,,,,,,,,
1.07E+03,0.2186,40506,0.15315,,,,,,,,,,,,,,
1.05E+03,0.2158,41888,0.15315,,,,,,,,,,,,,,
1.02E+03,0.2013,43513,0.15315,,,,,,,,,,,,,,
1.04E+03,0.07432,45098,0.15315,,,,,,,,,,,,,,
1.00E+03,0.089787,46644,0.15315,,,,,,,,,,,,,,
9.40E+02,0.19676,48372,0.15315,,,,,,,,,,,,,,
9.64E+02,0.048887,50323,0.15315,,,,,,,,,,,,,,
9.08E+02,0.13789,52196,0.15315,,,,,,,,,,,,,,
8.85E+02,0.13233,53942,0.15315,,,,,,,,,,,,,,
9.04E+02,0,55704,0.15315,,,,,,,,,,,,,,
8.18E+02,0.1966,57478,0.15315,,,,,,,,,,,,,,
8.09E+02,0.15172,59458,0.15315,,,,,,,,,,,,,,
8.16E+02,0.05541,62046,0.15315,,,,,,,,,,,,,,
1.67E-01,0.00012704,969,0,,,,,,,,,,,,,,
1.67E-01,0.00012213,981,0.028873,,,,,,,,,,,,,,
1.67E-01,0.00011798,962,0.12438,,,,,,,,,,,,,,
1.67E-01,0.00011447,1008,0.083294,,,,,,,,,,,,,,
1.67E-01,0.00010992,987,0.18474,,,,,,,,,,,,,,
1.67E-01,0.00010574,1074,0.063476,,,,,,,,,,,,,,
1.67E-01,0.00010185,1005,0.26439,,,,,,,,,,,,,,
1.67E-01,9.80E-05,1055,0.21876,,,,,,,,,,,,,,
1.67E-01,9.44E-05,1069,0.25063,,,,,,,,,,,,,,
1.67E-01,9.07E-05,1183,0.08922,,,,,,,,,,,,,,
0.16677,8.73E-05,1172,0.16991,,,,,,,,,,,,,,
0.16677,8.39E-05,1174,0.22804,,,,,,,,,,,,,,
0.16677,8.03E-05,1213,0.21736,,,,,,,,,,,,,,
0.16677,7.73E-05,1215,0.27752,,,,,,,,,,,,,,
0.16677,7.46E-05,1315,0.16111,,,,,,,,,,,,,,
0.16677,7.15E-05,1290,0.26976,,,,,,,,,,,,,,
0.16677,6.87E-05,1345,0.23852,,,,,,,,,,,,,,
0.16677,6.64E-05,1383,0.23965,,,,,,,,,,,,,,
0.16677,6.36E-05,1393,0.28995,,,,,,,,,,,,,,
0.16677,6.12E-05,1474,0.22349,,,,,,,,,,,,,,
0.16677,5.91E-05,1453,0.32674,,,,,,,,,,,,,,
0.16677,5.69E-05,1523,0.28254,,,,,,,,,,,,,,
0.16677,5.46E-05,1517,0.36326,,,,,,,,,,,,,,
0.16677,5.25E-05,1557,0.37111,,,,,,,,,,,,,,
0.16677,5.04E-05,1562,0.43695,,,,,,,,,,,,,,
0.16677,4.86E-05,1670,0.34222,,,,,,,,,,,,,,
0.16677,4.67E-05,1742,0.30963,,,,,,,,,,,,,,
0.16677,4.50E-05,1714,0.42665,,,,,,,,,,,,,,
0.1707,4.35E-05,1771,0.41896,,,,,,,,,,,,,,
0.14979,4.18E-05,1824,0.41985,,,,,,,,,,,,,,
0.15627,4.00E-05,1870,0.43312,,,,,,,,,,,,,,
0.14049,3.86E-05,1922,0.44011,,,,,,,,,,,,,,
0.14295,3.70E-05,1968,0.45764,,,,,,,,,,,,,,
0.17562,3.56E-05,1978,0.52665,,,,,,,,,,,,,,
0.10937,3.45E-05,2099,0.44727,,,,,,,,,,,,,,
0.11104,3.30E-05,2142,0.47539,,,,,,,,,,,,,,
0.070961,3.19E-05,2155,0.54436,,,,,,,,,,,,,,
0.058369,3.06E-05,2231,0.53366,,,,,,,,,,,,,,
0,2.99E-05,2332,0.49564,,,,,,,,,,,,,,
0.13159,2.81E-05,2338,0.57757,,,,,,,,,,,,,,
0.10449,2.71E-05,2391,0.60354,,,,,,,,,,,,,,
0.11019,2.59E-05,2486,0.58132,,,,,,,,,,,,,,
0.1142,2.51E-05,2581,0.56343,,,,,,,,,,,,,,
0.081873,2.41E-05,2578,0.66194,,,,,,,,,,,,,,
0.087348,2.32E-05,2647,0.67875,,,,,,,,,,,,,,
0.099413,2.24E-05,2763,0.64534,,,,,,,,,,,,,,
0.05751,2.16E-05,2868,0.62914,,,,,,,,,,,,,,
0.07331,2.07E-05,2910,0.68426,,,,,,,,,,,,,,
0.069728,1.99E-05,2985,0.70631,,,,,,,,,,,,,,
0.061601,1.92E-05,3106,0.6833,,,,,,,,,,,,,,
0.076201,1.86E-05,3142,0.75161,,,,,,,,,,,,,,
4.16E-02,1.78E-05,3243,0.75575,,,,,,,,,,,,,,
7.30E-02,1.71E-05,3318,0.78948,,,,,,,,,,,,,,
7.08E-03,1.64E-05,3467,0.75364,,,,,,,,,,,,,,
