intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,S10,S11,S12,S13
2738,0.728,3541,2796,2276,2243,2679,2487,2390,2178,2064,2047,1960,2198,2489
2696,0.7529,3446,2764,2238,2190,2555,2430,2276,2108,2013,2002,1922,2133,2369
2648,0.6415,3349,2696,2179,2151,2524,2365,2252,2015,1951,1942,1874,2068,2322
2614,0.6685,3305,2644,2156,2131,2510,2311,2197,1968,1877,1911,1781,2055,2322
2555,0.6626,3189,2595,2153,2109,2435,2253,2166,1925,1889,1862,1804,1999,2199
2533,0.6007,3164,2511,2092,2040,2419,2219,2150,1943,1815,1820,1798,1954,2193
2491,0.5804,3051,2472,2026,2008,2377,2165,2066,1862,1759,1790,1694,1886,2121
2474,0.5792,3068,2448,1986,2022,2321,2131,2056,1901,1732,1736,1674,1875,2094
2413,0.5169,2961,2429,2009,1973,2313,2135,2016,1836,1739,1709,1651,1860,2082
2411,0.3694,2911,2394,1983,1982,2278,2114,1965,1784,1656,1699,1634,1796,2011
2364,0.4867,2837,2317,1943,1925,2302,2055,1903,1755,1678,1634,1585,1780,1982
2301,0.5049,2755,2275,1925,1918,2246,2060,1934,1723,1611,1598,1549,1732,1990
2294,0.4926,2696,2269,1910,1893,2238,1995,1866,1687,1564,1571,1516,1729,1908
2308,0.28,2702,2253,1872,1876,2186,1971,1806,1676,1580,1557,1515,1686,1836
2215,0.388,2613,2234,1841,1855,2188,1936,1772,1608,1510,1524,1479,1637,1814
2208,0.441,2570,2179,1767,1824,2148,1873,1716,1598,1482,1498,1409,1639,1765
2175,0.3791,2493,2140,1799,1823,2104,1885,1732,1550,1499,1456,1418,1616,1794
2169,0.2113,2468,2135,1809,1820,2104,1837,1709,1540,1438,1453,1384,1538,1788
2135,0.3015,2403,2074,1732,1762,2056,1851,1698,1541,1407,1418,1362,1546,1710
2113,0.2331,2396,2051,1716,1708,2072,1813,1640,1492,1361,1379,1322,1478,1682
2083,0.2736,2340,2058,1724,1709,2037,1755,1635,1480,1377,1363,1292,1462,1644
2064,0.1927,2341,2005,1695,1700,2023,1737,1599,1441,1381,1338,1321,1463,1642
2046,0.1583,2213,2003,1657,1711,2024,1751,1532,1436,1309,1316,1273,1459,1619
