ir,ia,iir,iia,,r_p13_p0_s9,ir_p13_p0_s9,r_p13_p1_s9,ir_p13_p1_s9
8.89E-06,0.67499,1.47E-05,0.24299,,,,,
8.52E-06,0.71951,1.52E-05,0.2464,,,,,
8.21E-06,0.73842,1.58E-05,0.22354,,,,,
7.91E-06,0.75472,1.64E-05,0.18918,,,,,
7.68E-06,0.73669,1.70E-05,0.17821,,,,,
7.28E-06,0.82738,1.76E-05,0.17962,,,,,
7.08E-06,0.80571,1.83E-05,0.15626,,,,,
6.81E-06,0.8345,1.89E-05,0.16869,,,,,
6.54E-06,0.86765,1.98E-05,0.11241,,,,,
6.29E-06,0.89398,2.04E-05,0.14829,,,,,
5.99E-06,0.96549,2.12E-05,0.12568,,,,,
5.87E-06,0.90729,2.20E-05,0.093158,,,,,
5.56E-06,1,2.28E-05,0.11369,,,,,
5.48E-06,0.92722,2.36E-05,0.11463,,,,,
5.38E-06,0.86542,2.46E-05,0.062771,,,,,
5.15E-06,0.91829,2.57E-05,0.017583,,,,,
5.00E-06,0.90813,2.64E-05,0.0711,,,,,
4.74E-06,0.99301,2.74E-05,0.078883,,,,,
4.64E-06,0.94677,2.85E-05,0.052581,,,,,
4.54E-06,0.9108,2.97E-05,0.022895,,,,,
4.38E-06,0.92229,3.09E-05,0.0016463,,,,,
4.20E-06,0.96966,3.20E-05,0.028459,,,,,
4.09E-06,0.94501,3.30E-05,0.060023,,,,,
4.00E-06,0.91373,3.46E-05,0,,,,,
3.85E-06,0.94052,3.56E-05,0.05716,,,,,
3.81E-06,0.86038,3.71E-05,0.033502,,,,,
3.65E-06,0.89716,3.83E-05,0.084407,,,,,
3.53E-06,0.91618,3.97E-05,0.10275,,,,,
3.42E-06,0.91333,4.14E-05,0.068985,,,,,
3.34E-06,0.89149,4.30E-05,0.086415,,,,,
3.23E-06,0.89121,4.44E-05,0.14807,,,,,
3.19E-06,0.8358,4.59E-05,0.054139,,,,,
3.11E-06,0.81561,4.76E-05,0.080555,,,,,
2.98E-06,0.85183,4.94E-05,0.090781,,,,,
2.80E-06,0.78652,5.13E-05,0.11685,,,,,
2.80E-06,0.8639,5.30E-05,0.079219,,,,,
2.80E-06,0.75634,5.49E-05,0.11939,,,,,
2.75E-06,0.71733,5.74E-05,0.10083,,,,,
2.71E-06,0.65991,5.96E-05,0.13525,,,,,
2.61E-06,0.69035,6.17E-05,0.083421,,,,,
2.52E-06,0.70948,6.41E-05,0.12385,,,,,
2.39E-06,0.78707,6.64E-05,0.17849,,,,,
2.40E-06,0.68062,6.89E-05,0.084492,,,,,
2.36E-06,0.63298,7.16E-05,0.12859,,,,,
2.29E-06,0.64465,7.41E-05,0.066557,,,,,
2.18E-06,0.69617,7.69E-05,0.13055,,,,,
2.21E-06,0.57347,7.98E-05,0.12078,,,,,
2.15E-06,0.56611,8.29E-05,0.19064,,,,,
2.04E-06,0.63618,8.61E-05,0.13991,,,,,
2.01E-06,0.59708,8.89E-05,0.1647,,,,,
1.91E-06,0.66462,9.24E-05,0.079506,,,,,
1.93E-06,0.54992,9.60E-05,0.13302,,,,,
2.05E-06,0.58101,9.95E-05,0.08637,,,,,
1.89E-06,0.7008,1.03E-04,0.095803,,,,,
1.85E-06,0.67449,1.07E-04,0.078852,,,,,
1.85E-06,0.58422,1.10E-04,0.11759,,,,,
1.73E-06,0.70328,1.14E-04,0.1245,,,,,
1.75E-06,0.58514,1.18E-04,0.11086,,,,,
1.58E-06,0.82168,1.21E-04,0.11788,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
