O2Hb,HHB,THb,HB_diff,TSI
-0.1112439,0.3024518,0.1911079,-0.4136957,94.6980362
0.0124261,0.3015764,0.3139026,-0.2891503,94.6707764
0.2696171,0.338856,0.6083731,-0.0692389,94.4478455
0.2618313,0.3500825,0.6118138,-0.0882512,94.532547
0.2194607,0.3224539,0.5418146,-0.1029932,94.609108
0.1862526,0.3171032,0.5032558,-0.1308506,94.5990219
0.1035764,0.3121027,0.4155791,-0.2085263,94.6013184
0.0364718,0.2846491,0.3210208,-0.2481773,94.692337
-0.0384186,0.268422,0.2299034,-0.3068406,94.7444534
-0.0384186,0.268422,0.2299034,-0.3068406,94.6994095
0.2512921,0.2943,0.5454921,-0.0430078,94.5766602
0.3502282,0.2935997,0.6437278,0.0566285,94.5101852
0.2929744,0.3051763,0.5980508,-0.012202,94.5766602
0.267552,0.2885991,0.5560512,-0.0210471,94.6016006
0.2096099,0.2834235,0.4929334,-0.0738137,94.6168137
0.1347195,0.2671965,0.401816,-0.132477,94.7448425
0.0683032,0.2564952,0.3246984,-0.188192,94.7146683
0.0259326,0.2288665,0.2546991,-0.2029339,94.669548
0.2986951,0.243693,0.5422881,0.0550021,94.522995
0.4237419,0.2763222,0.699964,0.1474197,94.5557632
0.382748,0.282198,0.664846,0.1005499,94.6168137
0.3735855,0.25992,0.6334055,0.1136655,94.5632248
0.3241175,0.2602702,0.5842876,0.0638473,94.6395493
0.2577012,0.2495688,0.50717,0.0081323,94.7001343
0.1997591,0.2443933,0.4440523,-0.0446342,94.7663803
0.1990707,0.227641,0.4266117,-0.0285703,94.7001343
0.4315276,0.2650956,0.6965232,0.166432,94.6474228
0.5389378,0.2699211,0.8087589,0.2690167,94.5862656
0.4894698,0.2702712,0.759641,0.2191986,94.5931091
0.4725215,0.2592197,0.7316413,0.2133018,94.5931091
0.4308393,0.2483433,0.6790826,0.182496,94.6542664
0.3806829,0.2319412,0.6125241,0.1487417,94.6474228
0.3227408,0.2267656,0.5494063,0.0959752,94.6759338
0.4216768,0.2260653,0.6476421,0.1956115,94.6913834
0.6619195,0.2522934,0.9141129,0.4096261,94.5614243
0.7029134,0.2464175,0.949231,0.4564959,94.5529938
0.6697053,0.2410669,0.9106722,0.4286384,94.6084442
0.6605428,0.2187888,0.8792317,0.441754,94.6152344
0.5778667,0.2137883,0.791555,0.3640783,94.6258316
0.5029762,0.1975613,0.7004375,0.305415,94.607811
0.4111376,0.1702827,0.5813203,0.2408549,94.5933228
0.5771783,0.197036,0.7741144,0.3801422,94.6775055
0.7764271,0.22914,1.0054672,0.5472871,94.6008453
0.7764271,0.22914,1.0054672,0.5472871,94.6474228
0.7510048,0.2125628,0.9634676,0.538442,94.7371292
0.7177966,0.2072122,0.9249088,0.5105845,94.7427292
0.6598545,0.2020366,0.861791,0.4578179,94.7818146
0.6181722,0.1911602,0.8092324,0.427012,94.7973099
0.5595417,0.1692323,0.728674,0.3903094,94.8507996
0.6669519,0.1740577,0.8409096,0.4928941,94.7371292
0.9156687,0.2058116,1.1213803,0.7098572,94.7371292
0.957351,0.216688,1.173939,0.740663,94.7155228
0.9241428,0.2113373,1.1353801,0.7128055,94.7155228
0.8994088,0.2115124,1.1108212,0.6878964,94.7973099
0.8655123,0.1894094,1.0548217,0.6761029,94.8127594
0.815356,0.1730073,0.9882632,0.6423486,94.803299
0.7574138,0.1678317,0.9251455,0.5895821,94.8725662
0.7899336,0.1564301,0.9462637,0.6335035,94.767868
1.0464362,0.1769574,1.2232935,0.8694788,94.7129974
1.1375865,0.1874836,1.3249701,0.9501029,94.728569
