O2Hb1,HHB1,TSI1,TSIFT1,O2Hb2,HHB2,TSI2,TSIFT2
0.5382642,0.1390954,72.9808807,99.9565964,-2.2349706,-0.5439063,73.8458023,99.7974167
1.804127,0.2840262,72.8336639,99.9495697,-0.9453012,-0.2918278,74.0020828,99.7911911
1.235744,0.188635,72.8897705,99.9529343,0.6608339,-0.0035167,74.0241318,99.7804642
0.5855799,0.1057755,72.8924179,99.9554901,0.7943133,0.0151341,73.8766479,99.7662811
0.0667038,0.0093155,72.9056854,99.9585876,0.4433821,-0.0418869,73.8824539,99.7618637
-0.5684189,-0.0954011,72.8732071,99.9611969,0.0084785,-0.1186274,73.8882675,99.7652893
-1.0872949,-0.1918611,72.8785095,99.9637833,-0.6266442,-0.223344,73.8598404,99.7715912
-1.53724,-0.2467445,72.8891525,99.9649506,-1.0960133,-0.3208727,73.8197021,99.7787933
-1.7202263,-0.2643265,72.9350586,99.9658661,-1.5804238,-0.3965444,73.9145355,99.7866211
0.5166489,0.0641989,72.9380035,99.9572754,-2.0820673,-0.4826103,73.8370819,99.7926788
1.784703,0.2413809,72.7906876,99.9495163,-2.4674637,-0.5604195,73.8428955,99.8005981
1.166813,0.1470584,72.844162,99.9510422,-1.0098495,-0.268902,74.0388794,99.7920914
0.5489231,0.052736,72.8520584,99.9558029,0.1936561,-0.0687942,73.9078293,99.7840958
0.0150056,-0.0218669,72.8626175,99.9578629,-0.006563,-0.0967703,73.805275,99.7732239
-0.6373498,-0.1369776,72.8732071,99.9612122,-0.2067821,-0.1247464,73.8511353,99.7693481
-1.1712673,-0.2115806,72.9270248,99.9631119,-0.6416857,-0.2014869,73.8627472,99.7739944
-1.5889382,-0.2779269,72.9377441,99.9649658,-1.2768084,-0.3062035,73.8773041,99.7781448
-1.9721435,-0.323485,72.9431152,99.9667435,-1.6966705,-0.404801,73.7910233,99.7855682
-0.0689668,-0.0415864,72.9513626,99.958252,-2.1315742,-0.4815415,73.7996902,99.7945404
1.5672512,0.2030106,72.8415375,99.949913,-2.6827242,-0.5665385,73.8141785,99.799881
1.1990873,0.1355955,72.8467941,99.9513855,-2.3640673,-0.4980547,73.8773041,99.8005676
0.5144576,0.0319477,72.9003754,99.9558029,-0.3230287,-0.133003,73.9564133,99.7895126
-0.0022271,-0.0322611,72.9540405,99.9578934,0.312094,-0.0282865,73.759407,99.7756348
-0.6373498,-0.1369776,72.9216766,99.9612045,-0.0388372,-0.0853074,73.776619,99.7646332
-1.1389931,-0.2230435,72.9323807,99.963768,-0.256289,-0.1236777,73.7794952,99.7656097
-1.5889382,-0.2779269,72.9404297,99.964653,-0.8268633,-0.2513201,73.7074585,99.7711334
-2.0238419,-0.3546674,72.899826,99.9661255,-1.4275205,-0.3352484,73.7160416,99.7775497
-0.4543635,-0.1193957,72.9567184,99.9616013,-1.862424,-0.4119888,73.7217712,99.7863846
1.3002924,0.1657092,72.9406738,99.951767,-2.349026,-0.5199117,73.6869812,99.7926025
1.1151148,0.115876,72.8546982,99.9516983,-2.8829434,-0.5945147,73.7447739,99.8012924
0.3809783,0.013297,72.9513626,99.9554291,-1.4080964,-0.292603,73.8940887,99.7921677
-0.0539254,-0.0634435,72.9136734,99.9581985,0.3960664,-0.008567,73.759407,99.7777023
-0.6718153,-0.1577659,72.9270248,99.9611969,0.4950803,-0.0107045,73.606781,99.7602386
