pixel#,intensity1,depth1,reflection1,absorption1,intensity2,depth2,reflection2,absorption2,D,iii,aaa
122,0.002937711,72.34573729,4.78E-05,0.177096439,0.805771459,28.08328734,0.000316888,0.084745221,1.6924,0.80870917,0.26184166
123,0.002489585,72.73062816,4.73E-05,0.168730945,0.83917922,27.69839647,0.000325754,0.084745221,1.6924,0.841668805,0.253476166
124,0.001775904,73.11551903,4.68E-05,0.220280855,0.871993443,27.3135056,0.000334996,0.084745221,1.6924,0.873769347,0.305026076
125,0.001975071,73.5004099,4.63E-05,0.07778786,0.900992058,26.92861474,0.000344637,0.084745221,1.6924,0.902967129,0.162533081
126,0.001327779,73.88530077,4.58E-05,0.119680321,0.933325796,26.54372387,0.000354701,0.084745221,1.6924,0.934653575,0.204425542
127,0.001145209,74.27019164,4.53E-05,0.062235247,0.971623188,26.158833,0.000365212,0.084745221,1.6924,0.972768397,0.146980468
128,0,74.65508251,4.49E-05,0.228168119,1,25.77394213,0.000376197,0.084745221,1.6924,1,0.31291334
1,1,27.61921006,0.000327624,0.137762483,0.000113055,79.99996259,3.91E-05,1,1.5758,1.000113055,1.137762483
2,0.962623027,28.03165693,0.000318057,0.137762483,0.001102287,79.58751572,3.95E-05,0.734068118,1.5758,0.963725314,0.871830601
3,0.929163001,28.4441038,0.000308902,0.137762483,0,79.17506885,3.99E-05,0.808972619,1.5758,0.929163001,0.946735102
4,0.894590961,28.85655067,0.000300138,0.137762483,0.001837144,78.76262198,4.03E-05,0.658286193,1.5758,0.896428105,0.796048676
5,0.859471212,29.26899754,0.000291741,0.137762483,0.000819649,78.35017511,4.07E-05,0.71374851,1.5758,0.860290861,0.851510993
6,0.828533966,29.68144441,0.000283692,0.137762483,0.002430683,77.93772824,4.12E-05,0.793345243,1.5758,0.830964649,0.931107726
7,0.796916234,30.09389128,0.000275971,0.137762483,0.001667562,77.52528137,4.16E-05,0.680111257,1.5758,0.798583796,0.81787374
8,0.768103434,30.50633815,0.000268561,0.137762483,0.002798112,77.1128345,4.20E-05,0.782183736,1.5758,0.770901546,0.919946219
9,0.737564522,30.91878503,0.000261446,0.140172821,0.00180888,76.70038763,4.25E-05,0.709753279,1.5758,0.739373402,0.8499261
10,0.71104214,31.3312319,0.000254609,0.131177937,0.003674288,76.28794076,4.30E-05,0.650916869,1.5758,0.714716428,0.782094806
11,0.683274966,31.74367877,0.000248038,0.112375236,0.004069981,75.87549388,4.34E-05,0.741628493,1.5758,0.687344947,0.854003729
12,0.65552439,32.15612564,0.000241717,0.120318977,0.005398378,75.46304701,4.39E-05,0.747880714,1.5758,0.660922768,0.868199691
13,0.628321522,32.56857251,0.000235635,0.135697559,0.003250332,75.05060014,4.44E-05,0.785920671,1.5758,0.631571854,0.92161823
14,0.604985809,32.98101938,0.00022978,0.133835164,0.004776575,74.63815327,4.49E-05,0.679290045,1.5758,0.609762384,0.813125209
15,0.583326418,33.39346625,0.00022414,0.136421095,0.006641983,74.2257064,4.54E-05,0.621949263,1.5758,0.589968401,0.758370358
16,0.55750112,33.80591312,0.000218705,0.155371125,0.006528928,73.81325953,4.59E-05,0.578882314,1.5758,0.564030048,0.734253439
17,0.536024298,34.21835999,0.000213466,0.13616877,0.006331082,73.40081266,4.64E-05,0.617122582,1.5758,0.54235538,0.753291352
18,0.516788103,34.63080686,0.000208413,0.160777755,0.006952884,72.98836579,4.69E-05,0.639273808,1.5758,0.523740987,0.800051563
19,0.496174337,35.04325373,0.000203537,0.169447264,0.007829061,72.57591892,4.75E-05,0.415729173,1.5758,0.504003398,0.585176437
20,0.477884184,35.4557006,0.00019883,0.194878711,0.008394336,72.16347205,4.80E-05,0.578918078,1.5758,0.48627852,0.773796789
21,0.461386533,35.86814747,0.000194284,0.180753426,0.008931347,71.75102518,4.86E-05,0.662465214,1.5758,0.47031788,0.84321864
22,0.442349505,36.28059434,0.000189893,0.21944421,0.010514118,71.33857831,4.91E-05,0.528017429,1.5758,0.452863623,0.747461639
23,0.423959768,36.69304121,0.000185649,0.239923242,0.010061898,70.92613144,4.97E-05,0.534669651,1.5758,0.434021666,0.774592893
24,0.408540937,37.10548808,0.000181545,0.250308496,0.010485854,70.51368457,5.03E-05,0.634158947,1.5758,0.419026791,0.884467443
25,0.392176063,37.51793495,0.000177576,0.275341532,0.012238207,70.1012377,5.09E-05,0.410373064,1.5758,0.40441427,0.685714596
26,0.377919039,37.93038182,0.000173736,0.30401606,0.012322998,69.68879083,5.15E-05,0.467702337,1.5758,0.390242037,0.771718397
27,0.363313472,38.34282869,0.000170019,0.300903238,0.01308612,69.27634396,5.21E-05,0.40916111,1.5758,0.376399592,0.710064348
28,0.348209988,38.75527556,0.00016642,0.353306698,0.014160142,68.86389709,5.27E-05,0.48166173,1.5758,0.36237013,0.834968428
29,0.336293174,39.16772243,0.000162934,0.335298127,0.015827704,68.45145022,5.34E-05,0.469440294,1.5758,0.352120878,0.804738421
30,0.322002954,39.5801693,0.000159557,0.366297261,0.016082078,68.03900335,5.40E-05,0.350855656,1.5758,0.338085032,0.717152917
31,0.30834343,39.99261617,0.000156283,0.423439235,0.015629858,67.62655648,5.47E-05,0.287304037,1.5758,0.323973288,0.710743272
32,0.29735606,40.40506304,0.000153109,0.44668096,0.017834431,67.21410961,5.53E-05,0.324665961,1.5758,0.315190491,0.771346921
33,0.286053344,40.81750991,0.000150031,0.497886382,0.018795399,66.80166274,5.60E-05,0.393435633,1.5758,0.304848743,0.891322015
34,0.273920765,41.22995678,0.000147045,0.510231489,0.019191091,66.38921587,5.67E-05,0.295862843,1.5758,0.293111856,0.806094332
35,0.264742494,41.64240365,0.000144147,0.511196644,0.021084763,65.976769,5.74E-05,0.217891795,1.5758,0.285827257,0.729088439
36,0.252609915,42.05485052,0.000141334,0.549458537,0.021904412,65.56432213,5.82E-05,0.257156362,1.5758,0.274514327,0.806614899
37,0.245074771,42.46729739,0.000138602,0.568098352,0.023119754,65.15187526,5.89E-05,0.271051746,1.5758,0.268194525,0.839150098
38,0.234103998,42.87974426,0.000135949,0.591340803,0.025041689,64.73942839,5.96E-05,0.32322601,1.5758,0.259145687,0.914566813
39,0.230535593,43.29219113,0.000133371,0.527287025,0.026483141,64.32698152,6.04E-05,0.090103989,1.5758,0.257018734,0.617391014
40,0.215083567,43.704638,0.000130866,0.693568454,0.026991888,63.91453465,6.12E-05,0.260420128,1.5758,0.242075455,0.953988582
41,0.207100297,44.11708487,0.000128431,0.689805539,0.027698482,63.50208778,6.20E-05,0.239084905,1.5758,0.234798779,0.928890444
42,0.197739457,44.52953174,0.000126063,0.721162704,0.030355275,63.08964091,6.28E-05,0.154496782,1.5758,0.228094732,0.875659486
43,0.189042506,44.94197861,0.00012376,0.763374053,0.031061869,62.67719404,6.36E-05,0.221692525,1.5758,0.220104375,0.985066578
44,0.182387014,45.35442548,0.00012152,0.75429189,0.033718663,62.26474717,6.45E-05,0.202188915,1.5758,0.216105677,0.956480805
45,0.17485187,45.76687235,0.00011934,0.79703976,0.034368729,61.8523003,6.53E-05,0.174128428,1.5758,0.209220599,0.971168188
46,0.168744087,46.17931923,0.000117218,0.831895451,0.038495238,61.43985343,6.62E-05,0.202128238,1.5758,0.207239325,1.034023689
47,0.161673665,46.5917661,0.000115152,0.807659592,0.038043017,61.02740656,6.71E-05,0.178199976,1.5758,0.199716682,0.985859568
48,0.153706992,47.00421297,0.00011314,0.860237849,0.040417173,60.61495968,6.80E-05,0.10678735,1.5758,0.194124165,0.967025199
49,0.148694627,47.41665984,0.000111181,0.862328668,0.041943416,60.20251281,6.90E-05,0.15338833,1.5758,0.190638043,1.015716998
50,0.143001776,47.82910671,0.000109272,0.895775045,0.047370057,59.79006594,6.99E-05,0.12751289,1.5758,0.190371833,1.023287935
51,0.138703092,48.24155358,0.000107412,0.930049885,0.048726718,59.37761907,7.09E-05,0.075656055,1.5758,0.18742981,1.00570594
52,0.131566281,48.65400045,0.000105598,0.925376497,0.0488963,58.9651722,7.19E-05,0.10197667,1.5758,0.180462581,1.027353167
53,0.12598961,49.06644732,0.000103831,0.925826887,0.051863995,58.55272533,7.29E-05,0.134957213,1.5758,0.177853605,1.0607841
54,0.120811273,49.47889419,0.000102107,0.939092151,0.053616348,58.14027846,7.40E-05,0.088470015,1.5758,0.174427621,1.027562166
55,0.116844534,49.89134106,0.000100426,0.945256049,0.055396964,57.72783159,7.50E-05,0.088943736,1.5758,0.172241498,1.034199785
56,0.110371612,50.30378793,9.88E-05,0.933708358,0.058421187,57.31538472,7.61E-05,0.068684257,1.5758,0.168792799,1.002392615
57,0.107433902,50.7162348,9.72E-05,0.933445266,0.063028179,56.90293785,7.72E-05,0.070818942,1.5758,0.170462081,1.004264208
58,0.102272161,51.12868167,9.56E-05,0.97033795,0.064667477,56.49049098,7.83E-05,0.081115337,1.5758,0.166939638,1.051453287
59,0.098023269,51.54112854,9.41E-05,0.983743734,0.068370029,56.07804411,7.95E-05,0.093363652,1.5758,0.166393298,1.077107386
60,0.094338683,51.95357541,9.26E-05,1,0.072072581,55.66559724,8.07E-05,0.112362383,1.5758,0.166411264,1.112362383
61,0.089957013,52.36602228,9.12E-05,0.983104826,0.07484243,55.25315037,8.19E-05,0.073222241,1.5758,0.164799443,1.056327067
62,0.086587774,52.77846915,8.97E-05,0.976496649,0.077838388,54.8407035,8.31E-05,0.052253235,1.5758,0.164426162,1.028749884
63,0.08313555,53.19091602,8.84E-05,0.980029721,0.081060456,54.42825663,8.44E-05,0.027045639,1.5758,0.164196006,1.00707536
64,0.079998672,53.60336289,8.70E-05,0.944407321,0.085582657,54.01580976,8.57E-05,0.0280445,1.5758,0.165581329,0.972451821
65,0.075633599,54.01580976,8.57E-05,0.956244201,0.087278483,53.60336289,8.70E-05,0.07743968,1.5758,0.162912082,1.033683881
66,0.073027834,54.42825663,8.44E-05,0.936618292,0.09199853,53.19091602,8.84E-05,0.040755589,1.5758,0.165026364,0.977373881
67,0.068148247,54.8407035,8.31E-05,0.982148727,0.096266358,52.77846915,8.97E-05,0.030566125,1.5758,0.164414605,1.012714852
68,0.066372342,55.25315037,8.19E-05,0.968972836,0.102088692,52.36602228,9.12E-05,0.084707286,1.5758,0.168461034,1.053680122
69,0.061940881,55.66559724,8.07E-05,0.982562146,0.103332297,51.95357541,9.26E-05,0.101858644,1.5758,0.165273178,1.08442079
70,0.059750046,56.07804411,7.95E-05,0.971764229,0.109324214,51.54112854,9.41E-05,0.072705939,1.5758,0.16907426,1.044470168
71,0.057542613,56.49049098,7.83E-05,0.950029774,0.112489754,51.12868167,9.56E-05,0.056450153,1.5758,0.170032367,1.006479927
72,0.055019834,56.90293785,7.72E-05,0.930346001,0.117294593,50.7162348,9.72E-05,0,1.5758,0.172314427,0.930346001
73,0.051517817,57.31538472,7.61E-05,0.975132825,0.121477629,50.30378793,9.88E-05,0.072963645,1.5758,0.172995446,1.04809647
74,0.049775107,57.72783159,7.50E-05,0.905755168,0.128034821,49.89134106,0.000100426,0.079042133,1.5758,0.177809928,0.984797301
75,0.046538647,58.14027846,7.40E-05,0.94274451,0.131454736,49.47889419,0.000102107,0.055388596,1.5758,0.177993383,0.998133106
76,0.045194271,58.55272533,7.29E-05,0.903265681,0.137164015,49.06644732,0.000103831,0.124076322,1.5758,0.182358286,1.027342003
