intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
8490,0.3336,8047,11039,8707,6571,5874,5456,3261,2576,5557
8732,0.3977,8363,11307,8995,6680,5939,5528,3305,2635,5643
8979,0.4533,8523,11522,9120,6845,6043,5559,3362,2654,5802
9333,0.3647,8758,11803,9358,6959,6239,5690,3460,2731,5945
9705,0.3376,9030,12171,9556,7205,6423,5771,3526,2788,6124
10047,0.3339,9368,12524,9910,7424,6593,5923,3594,2807,6389
10365,0.3656,9583,12716,10163,7553,6763,6018,3664,2799,6484
10723,0.3745,9880,13040,10358,7692,6822,6128,3709,2924,6713
11145,0.0715,10208,13419,10637,7947,7067,6382,3858,2992,6902
11457,0.0715,10478,13709,10886,8138,7250,6349,3951,3112,7054
11754,0.0715,10873,14085,11238,8382,7375,6662,4038,3104,7293
12188,0.0715,11135,14452,11506,8558,7622,6738,4156,3221,7568
12552,0.0715,11550,14877,11799,8813,7829,6866,4245,3267,7784
13019,0.0715,12073,15347,12220,9127,8169,7136,4435,3373,8115
13557,0.0715,12463,15761,12716,9400,8387,7320,4513,3505,8421
13916,0.0715,12790,16061,12945,9664,8588,7477,4676,3525,8669
14376,0.0715,13251,16543,13355,9952,8900,7620,4785,3664,8954
14859,0.0715,13722,16949,13667,10248,9160,7914,4966,3770,9210
15360,0.0715,14197,17430,14191,10568,9451,8245,5202,3865,9615
15926,0.0715,14779,17969,14590,10928,9760,8456,5361,4043,10047
16525,0.0715,15359,18502,15115,11339,10114,8751,5544,4152,10375
17102,0.0715,15878,19056,15605,11647,10520,9093,5799,4295,10870
17639,0.0715,16542,19691,16148,12107,10909,9476,6059,4471,11330
18374,0.0715,17245,20271,16778,12560,11390,9855,6274,4621,11762
18936,0.0715,17840,20937,17278,13043,11689,10203,6553,4839,12252
19605,0.0715,18543,21558,17873,13372,12185,10571,6814,5007,12765
20333,0.0715,19369,22300,18648,13999,12800,11037,7199,5247,13325
21100,0.0715,19991,22903,19121,14434,13182,11502,7517,5370,13932
21842,0.0715,20852,23597,19788,14934,13661,11978,7833,5582,14471
22651,0.0715,21589,24349,20546,15501,14199,12424,8289,5806,15154
23406,0.0715,22473,25102,21237,16081,14874,13017,8583,6083,15768
24263,0.0715,23384,26039,21940,16615,15446,13586,9096,6361,16494
25174,0.0715,24319,26918,22808,17323,16130,14201,9608,6641,17271
25998,0.0715,25269,27784,23610,17878,16740,14871,10098,7028,18059
26958,0.0715,26299,28740,24478,18581,17417,15515,10670,7261,18918
27954,0.0715,27419,29851,25359,19300,18241,16274,11300,7635,19787
28996,0.0715,28442,30816,26299,20178,18909,17025,11891,7996,20594
30017,0.0715,29660,31888,27391,20995,19863,17945,12609,8376,21681
31219,0.0715,31024,33172,28482,21804,20657,18788,13322,8840,22784
32349,0.0715,32211,34263,29590,22645,21511,19677,14096,9319,23759
33395,0.0715,33540,35553,30631,23537,22586,20612,14887,9769,24792
34536,0.0715,34934,36662,31708,24539,23550,21496,15682,10304,26027
35904,0.0715,36296,38114,32902,25437,24477,22628,16597,10893,27115
36917,0.0715,37825,39550,34125,26483,25670,23634,17586,11437,28405
1540,0.6233,,,,,,,,,
1573,0.2331,,,,,,,,,
1584,0.3282,,,,,,,,,
1625,0.1073,,,,,,,,,
1626,0.1738,,,,,,,,,
1630,0.275,,,,,,,,,
1670,0.106,,,,,,,,,
1694,0.238,,,,,,,,,
1709,0.1257,,,,,,,,,
1736,0.0333,,,,,,,,,
1753,0.1485,,,,,,,,,
1786,0.1463,,,,,,,,,
1771,0.1889,,,,,,,,,
1847,0.0283,,,,,,,,,
1864,0.9924,,,,,,,,,
1887,0.9067,,,,,,,,,
1902,0.9629,,,,,,,,,
1946,0.9912,,,,,,,,,
1985,0.5944,,,,,,,,,
2015,0.864,,,,,,,,,
2023,1,,,,,,,,,
2115,0.7536,,,,,,,,,
2134,0.754,,,,,,,,,
2150,0.917,,,,,,,,,
2226,0.518,,,,,,,,,
2243,0.6045,,,,,,,,,
2291,0.4928,,,,,,,,,
2341,0.6054,,,,,,,,,
2375,0.5726,,,,,,,,,
2432,0.5595,,,,,,,,,
2511,0.4365,,,,,,,,,
2549,0.4899,,,,,,,,,
2560,0.5996,,,,,,,,,
2673,0.4156,,,,,,,,,
2708,0.268,,,,,,,,,
2756,0.3237,,,,,,,,,
2816,0.3356,,,,,,,,,
2827,0.4148,,,,,,,,,
3020,0,,,,,,,,,
3001,0.2795,,,,,,,,,
3062,0.7828,,,,,,,,,
3153,0.6075,,,,,,,,,
3188,0.7257,,,,,,,,,
3267,0.676,,,,,,,,,
3353,0.6098,,,,,,,,,
3385,0.6522,,,,,,,,,
3491,0.5937,,,,,,,,,
3589,0.4438,,,,,,,,,
3657,0.5213,,,,,,,,,
3739,0.459,,,,,,,,,
3860,0.3469,,,,,,,,,
3956,0.3849,,,,,,,,,
4011,0.4361,,,,,,,,,
4112,0.2178,,,,,,,,,
4218,0.2056,,,,,,,,,
4301,0.6432,,,,,,,,,
4413,0.6359,,,,,,,,,
4518,0.6457,,,,,,,,,
4616,0.6596,,,,,,,,,
4706,0.6878,,,,,,,,,
4848,0.5942,,,,,,,,,
4992,0.5387,,,,,,,,,
5119,0.4745,,,,,,,,,
5235,0.4646,,,,,,,,,
5327,0.5561,,,,,,,,,
5498,0.4673,,,,,,,,,
5659,0.434,,,,,,,,,
5758,0.5363,,,,,,,,,
5894,0.5611,,,,,,,,,
6083,0.4874,,,,,,,,,
6205,0.4411,,,,,,,,,
6431,0.31,,,,,,,,,
6542,0.4528,,,,,,,,,
6721,0.4542,,,,,,,,,
6947,0.3919,,,,,,,,,
7067,0.5287,,,,,,,,,
7342,0.3245,,,,,,,,,
7508,0.3703,,,,,,,,,
7716,0.4018,,,,,,,,,
7929,0.3817,,,,,,,,,
8116,0.4231,,,,,,,,,
8417,0.3217,,,,,,,,,
8576,0.4095,,,,,,,,,
8870,0.3932,,,,,,,,,
9124,0.3401,,,,,,,,,
9336,0.4439,,,,,,,,,
9645,0.386,,,,,,,,,
9908,0.3893,,,,,,,,,
10275,0.3114,,,,,,,,,
10621,0.2822,,,,,,,,,
10889,0.3452,,,,,,,,,
11240,0.3566,,,,,,,,,
11569,0.3429,,,,,,,,,
11943,0.3603,,,,,,,,,
12317,0.3675,,,,,,,,,
12670,0.4065,,,,,,,,,
13099,0.3773,,,,,,,,,
13685,0.224,,,,,,,,,
14144,0.2317,,,,,,,,,
14495,0.3346,,,,,,,,,
14951,0.3708,,,,,,,,,
15373,0.447,,,,,,,,,
15896,0.4519,,,,,,,,,
16499,0.4085,,,,,,,,,
16999,0.4738,,,,,,,,,
17628,0.4758,,,,,,,,,
18278,0.4467,,,,,,,,,
18844,0.5179,,,,,,,,,
19474,0.5806,,,,,,,,,
20188,0.5694,,,,,,,,,
20967,0.5677,,,,,,,,,
21576,0.303,,,,,,,,,
22365,0.3304,,,,,,,,,
23048,0.4555,,,,,,,,,
23857,0.5245,,,,,,,,,
24798,0.33,,,,,,,,,
