690,750,800,850,ua,690n,750n,800n,850n,690i,750i,800i,850i,uaa,690ni,750ni,800ni,850ni
3069,2878,2978,2888,0.7581,4322,5170,5380,4872,11145,18216,17989,12565,0.0715,17100,21493,22586,19544
2957,2824,2874,2834,0.9017,4226,4946,5207,4871,11457,18760,18568,12917,0.0715,17362,22039,23437,20292
2940,2807,2841,2799,0.8044,4184,4866,5132,4702,11754,19508,19264,13390,0.0715,17937,22745,24037,21042
2883,2729,2744,2738,0.7865,4145,4751,5079,4686,12188,20097,19947,13881,0.0715,18375,23271,24811,21581
2805,2651,2725,2729,0.7958,4024,4706,4922,4599,12552,20785,20585,14265,0.0715,19086,23944,25411,22205
2825,2624,2660,2671,0.6717,3957,4566,4916,4438,13019,21680,21464,14988,0.0715,19553,24861,26178,22951
2738,2576,2673,2633,0.728,3901,4533,4839,4492,13557,22447,22205,15482,0.0715,20140,25565,27185,23613
2696,2549,2575,2548,0.7529,3799,4486,4717,4379,13916,23158,22886,15903,0.0715,20813,26435,27946,24451
2648,2484,2530,2505,0.6415,3789,4484,4664,4315,14376,23863,23678,16408,0.0715,21597,27187,28893,25211
2614,2474,2494,2468,0.6685,3680,4348,4577,4268,14859,24743,24499,16963,0.0715,22150,28172,29676,25904
2555,2402,2493,2422,0.6626,3716,4342,4495,4187,15360,25671,25319,17657,0.0715,22743,28903,30695,26776
2533,2316,2485,2422,0.6007,3564,4202,4417,4087,15926,26610,26185,18247,0.0715,23588,29617,31661,27560
2491,2311,2364,2363,0.5804,3557,4165,4404,4107,16525,27440,27265,18956,0.0715,24370,30636,32526,28377
2474,2340,2347,2318,0.5792,3566,4172,4283,3974,17102,28446,28199,19684,0.0715,25198,31650,33509,29345
2413,2275,2323,2293,0.5169,3568,4095,4317,3954,17639,29622,29197,20470,0.0715,25985,32782,34651,30283
2411,2244,2283,2271,0.3694,3458,3968,4203,3904,18374,30708,30265,21175,0.0715,26892,33677,35790,31116
2364,2233,2235,2249,0.4867,3427,3943,4136,3879,18936,31805,31352,21957,0.0715,27723,34967,36979,32350
2301,2173,2237,2172,0.5049,3381,3855,4040,3745,19605,32974,32539,22710,0.0715,28544,35781,38034,33351
2294,2138,2211,2178,0.4926,3344,3803,4007,3673,20333,34197,33777,23619,0.0715,29405,36969,39248,34321
2308,2119,2204,2161,0.28,3265,3748,3890,3653,21100,35406,34934,24465,0.0715,30466,37963,40590,35245
2215,2085,2176,2125,0.388,3391,3777,3986,3698,21842,36742,36339,25319,0.0715,31334,39134,41783,36374
2208,2095,2139,2096,0.441,3252,3747,3909,3568,22651,38022,37464,26172,0.0715,32290,40087,43212,37280
2175,2028,2091,2058,0.3791,3307,3590,3806,3525,23406,39412,38860,27242,0.0715,33463,41308,44570,38650
2169,2011,2083,2031,0.2113,3100,3576,3740,3501,24263,40849,40326,28179,0.0715,34326,42613,45845,39552
2135,2013,2024,2002,0.3015,3131,3528,3723,3449,25174,42415,41578,29315,0.0715,35302,43568,47091,40971
2113,1950,2021,1990,0.2331,3196,3442,3717,3428,25998,44027,43101,30414,0.0715,36576,44778,48804,42250
2083,1949,2020,1997,0.2736,3127,3456,3592,3388,26958,45420,44640,31501,0.0715,37363,46127,50236,43306
2064,1888,1967,1925,0.1927,3043,3443,3621,3252,27954,47173,46407,32641,0.0715,38375,47422,51844,45118
2046,1898,1947,1899,0.1583,3083,3372,3565,3269,28996,48940,48037,33807,0.0715,39514,48926,53635,46476
2013,1938,1946,1889,0.1066,2959,3299,3488,3292,30017,50694,49741,35169,0.0715,40314,50242,55076,47877
2006,1880,1924,1855,0.0988,2952,3334,3517,3272,31219,52694,51493,36476,0.0715,41353,51655,56755,49375
1932,1831,1898,1873,0.1476,2998,3275,3390,3216,32349,54291,53382,37800,0.0715,42290,53382,58049,51372
1964,1852,1876,1848,0.0139,2940,3295,3440,3136,33395,56148,55246,39056,0.0715,43111,54901,59677,53006
1922,1791,1856,1785,0.0533,2805,3187,3313,3079,34536,57839,57170,40265,0.0715,43981,56470,61112,54539
1924,1813,1823,1791,0,2861,3153,3312,3135,35904,59755,59045,41712,0.0715,44789,57779,62768,56302
1864,1737,1811,1812,0.1556,2812,3090,3222,3083,36917,61664,60900,42983,0.0715,46199,59856,64739,58694
