ir,ia,iir,iia,i-lookup-690r,ii-lookup-690r,ir-690-r-test,iir-690-r-test,ir-750-c-test,iir-750-c-test,ir-800-l-test,iir-800-l-test,,iknee-a-690-test,iiknee-a-690-test,iknee-n-690-test,iiknee-n-690-test,,iknee-a-750-test,iiknee-a-750-test,iknee-n-750-test,iiknee-n-750-test,,iknee-a-690-lookup,iiknee-a-690-lookup
4.11E+03,0.76895,2435,0.59466,0.14438,0.53244,9.51E+03,2.24E+03,9340,3566,7670,4622,,10401,5961,11658,5740,,,,,,,0.14438,0.92382
3.99E+03,0.75289,2516,0.58901,0.14438,0.59509,9.25E+03,2.29E+03,9013,3725,7435,4829,,10069,6161,11436,5850,,,,,,,0.14438,0.92382
3.85E+03,0.76046,2614,0.55825,0.14438,0.7649,8.82E+03,2.29E+03,8642,3834,7052,4872,,9854,6214,11106,5913,,,,,,,0.14438,0.92382
3.70E+03,0.79217,2687,0.57755,0.14438,0.69815,8.48E+03,2.40E+03,8283,3955,6832,5071,,9623,6356,10859,5951,,,,,,,0.14438,0.88427
3.55E+03,0.83578,2790,0.55005,0.14438,0.74177,8.17E+03,2.46E+03,7987,4134,6603,5218,,9334,6411,10577,6130,,,,,,,0.14438,0.95943
3.42E+03,0.85231,2923,0.48014,0.14438,0.78838,7.93E+03,2.52E+03,7712,4220,6309,5403,,9195,6559,10406,6246,,,,,,,0.14438,0.95943
3.36E+03,0.80132,3033,0.45583,0.14438,0.74094,7.54E+03,2.63E+03,7413,4436,6148,5569,,8871,6536,10079,6298,,,,,,,0.14438,0.92009
3.18E+03,0.89692,3154,0.42124,0.14438,0.58404,7.37E+03,2.79E+03,7176,4580,5913,5708,,8700,6809,9865,6503,,,,,,,0.14438,0.95655
3.10E+03,0.86035,3233,0.45641,0.14438,0.66019,7.05E+03,2.85E+03,6843,4755,5642,5915,,8473,6858,9461,6464,,,,,,,0.14438,0.97684
2.91E+03,1,3343,0.45011,0.14438,0.59255,6.80E+03,2.98E+03,6610,4918,5473,6096,,8253,7119,9346,6640,,,,,,,0.14438,0.97684
2.86E+03,0.92939,3471,0.42395,0.14438,0.5363,6.58E+03,3.11E+03,6354,5138,5315,6324,,8059,7196,9112,6749,,,,,,,0.14438,0.9008
2.74E+03,0.97732,3624,0.37035,0.14438,0.55262,6.31E+03,3.21E+03,6122,5292,5115,6547,,8015,7453,8982,6942,,,,,,,0.14438,0.90849
2.66E+03,0.97462,3725,0.39494,0.14438,0.56096,6.11E+03,3.32E+03,5912,5522,4922,6752,,7667,7468,8661,7061,,,,,,,0.14438,0.90849
2.62E+03,0.89932,3874,0.36124,0.14438,0.56213,5.90E+03,3.43E+03,5685,5792,4793,6938,,7492,7786,8385,7110,,,,,,,0.14438,1
