O2Hb1,HHB1,TSI1,TSIFT1,O2Hb2,HHB2,TSI2,TSIFT2
21.1359539,12.7484093,71.0352707,99.8734436,24.6241512,12.7646179,71.4221802,99.519989
20.8442421,12.7116423,71.0733871,99.8784256,24.3227272,12.7065277,71.3940125,99.5280762
20.6429272,12.6675406,71.0084991,99.8808746,24.1052761,12.6681576,71.4296799,99.5407715
20.4933109,12.6546221,71.0452423,99.8828888,23.8383179,12.6308565,71.4683914,99.5522156
21.4621334,12.8059654,71.1222,99.8703537,23.5616474,12.5722322,71.4402084,99.5649414
22.1801319,12.9142752,71.0196686,99.8543701,23.5961113,12.5930204,71.4995499,99.5677567
21.9799137,12.8862991,71.0562363,99.8565903,24.7414951,12.7889996,71.5666428,99.5553741
21.7290916,12.8432665,71.0239182,99.8607407,25.2334251,12.8537436,71.4117126,99.5240784
21.5116386,12.8048964,71.0281677,99.8653412,25.0493431,12.8200359,71.3865662,99.5090103
21.1951733,12.7686634,71.033844,99.8727036,24.9158649,12.8013849,71.4517899,99.5073242
20.9529686,12.7308273,71.0366898,99.8752899,24.6230564,12.7484922,71.3925247,99.5153351
20.7602711,12.6919231,71.0070877,99.8786011,24.3302479,12.6955996,71.4296799,99.527626
20.978817,12.746419,71.1323242,99.874588,24.0966606,12.662961,71.4653625,99.5395813
22.0800228,12.9002876,71.049118,99.8560333,23.8619747,12.6141968,71.469902,99.5505142
22.2727203,12.9391918,71.0154266,99.8496017,23.6025372,12.5659666,71.443222,99.5634537
21.9379272,12.87644,70.9845276,99.856987,23.5444145,12.5618382,71.5352631,99.5684662
21.7301865,12.8593922,71.0562363,99.8610992,24.6316738,12.7536888,71.5666428,99.5534897
21.4373798,12.8064995,71.0267487,99.8662109,25.1580696,12.839221,71.5093307,99.5316849
21.1531868,12.7588034,70.9971924,99.871727,25.0073566,12.8101759,71.4176941,99.5131149
20.9368305,12.7365589,71.0352707,99.8756485,24.8900146,12.7857933,71.4828568,99.512207
20.744133,12.6976547,71.0056686,99.8778763,24.6133442,12.727169,71.4221802,99.519989
21.4212418,12.8122311,71.0182571,99.866539,24.295784,12.6748114,71.4608307,99.5304794
22.4481869,12.9677029,71.0097885,99.8475723,24.0621948,12.6421728,71.4965057,99.5423965
22.4729404,12.9671679,70.9761124,99.8457184,23.8275089,12.5934076,71.5010681,99.5551758
22.1306248,12.9153442,71.0140152,99.8529053,23.5680714,12.5451784,71.4714203,99.564682
21.905653,12.8879023,71.0519638,99.8582458,23.4938107,12.5467815,71.5352631,99.5725708
21.5891876,12.8516703,71.0253296,99.8631668,24.4809608,12.7246447,71.6330185,99.5569611
21.3297482,12.8034401,70.9971924,99.8685074,24.9147682,12.7852592,71.5093307,99.5397644
