intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
3069,0.7581,1460,1056,1212,1480,1850,1938,2097,2318,2489,2749,2729,2977
2957,0.9017,1415,1055,1164,1425,1766,1896,2016,2222,2415,2649,2710,2900
2940,0.8044,1373,1037,1181,1389,1731,1865,1998,2263,2379,2575,2643,2836
2883,0.7865,1369,1045,1173,1415,1728,1754,1941,2183,2307,2543,2556,2782
2805,0.7958,1332,1019,1173,1444,1689,1787,1902,2097,2285,2471,2500,2727
2825,0.6717,1320,1005,1126,1374,1647,1751,1920,2088,2209,2424,2499,2676
2738,0.728,1332,1022,1151,1334,1645,1706,1834,2047,2207,2383,2437,2630
2696,0.7529,1244,1009,1134,1320,1617,1682,1721,1957,2143,2313,2385,2546
2648,0.6415,1301,969,1120,1274,1561,1674,1725,1954,2095,2272,2318,2495
2614,0.6685,1276,1001,1112,1307,1525,1605,1722,1935,2087,2235,2252,2453
2555,0.6626,1302,1014,1126,1268,1493,1575,1666,1899,1989,2127,2189,2405
2533,0.6007,1234,996,1104,1280,1467,1555,1658,1845,1964,2127,2174,2336
2491,0.5804,1232,975,1074,1205,1439,1526,1606,1791,1954,2056,2162,2289
2474,0.5792,1247,991,1066,1228,1431,1505,1591,1753,1900,2023,2088,2292
2413,0.5169,1241,969,1072,1199,1429,1556,1555,1751,1858,1994,2068,2252
2411,0.3694,1242,948,1076,1154,1423,1450,1566,1747,1860,1956,2047,2195
2364,0.4867,1189,958,1083,1187,1413,1454,1474,1721,1800,1908,2011,2140
2301,0.5049,1204,946,1081,1182,1342,1416,1487,1686,1728,1860,1955,2143
2294,0.4926,1210,966,1082,1170,1343,1368,1454,1659,1678,1766,1909,2116
2308,0.28,1164,904,1045,1154,1333,1365,1415,1594,1716,1796,1910,2068
2215,0.388,1154,961,1076,1123,1303,1383,1412,1613,1675,1751,1863,2021
2208,0.441,1163,937,1094,1118,1263,1335,1380,1559,1623,1691,1834,2016
2175,0.3791,1174,928,1006,1094,1279,1275,1369,1569,1607,1689,1794,1984
2169,0.2113,1149,951,1007,1104,1271,1278,1306,1586,1578,1653,1779,1953
2135,0.3015,1157,922,1040,1107,1253,1307,1260,1481,1579,1642,1774,1931
2113,0.2331,1125,875,1032,1048,1205,1277,1311,1475,1526,1602,1751,1930
2083,0.2736,1142,943,1036,1069,1201,1258,1237,1441,1488,1541,1697,1839
2064,0.1927,1106,930,1018,1096,1167,1196,1243,1448,1496,1521,1694,1833
2046,0.1583,1132,914,993,1077,1179,1207,1262,1431,1460,1525,1668,1729
2013,0.1066,1131,930,1023,1013,1146,1188,1231,1371,1466,1499,1670,1744
2006,0.0988,1081,945,1002,1037,1140,1183,1201,1355,1387,1468,1628,1763
1932,0.1476,1101,946,1019,1007,1130,1156,1135,1344,1402,1480,1602,1736
1964,0.0139,1083,914,983,1023,1124,1148,1147,1341,1373,1471,1561,1711
1922,0.0533,1027,914,1010,1004,1127,1125,1138,1299,1381,1401,1533,1701
1924,0,1074,937,1001,1032,1092,1135,1146,1309,1326,1348,1541,1638
1864,0.1556,1054,912,972,1018,1097,1130,1145,1261,1291,1373,1491,1609
60084,0.1023,,,,,,,,,,,,
57757,0.0788,,,,,,,,,,,,
55771,0.0437,,,,,,,,,,,,
53691,0.0235,,,,,,,,,,,,
51637,0.0113,,,,,,,,,,,,
49609,0.0067,,,,,,,,,,,,
47660,0.0032,,,,,,,,,,,,
45848,0,,,,,,,,,,,,
43911,0.0105,,,,,,,,,,,,
42163,0.0142,,,,,,,,,,,,
40600,0.012,,,,,,,,,,,,
38929,0.0259,,,,,,,,,,,,
37254,0.0442,,,,,,,,,,,,
35812,0.0521,,,,,,,,,,,,
34367,0.0627,,,,,,,,,,,,
32903,0.083,,,,,,,,,,,,
31743,0.0806,,,,,,,,,,,,
30418,0.1042,,,,,,,,,,,,
29145,0.1182,,,,,,,,,,,,
27976,0.1422,,,,,,,,,,,,
27010,0.1426,,,,,,,,,,,,
25830,0.1745,,,,,,,,,,,,
24772,0.1954,,,,,,,,,,,,
23842,0.2102,,,,,,,,,,,,
22814,0.2339,,,,,,,,,,,,
21874,0.2597,,,,,,,,,,,,
21087,0.2662,,,,,,,,,,,,
20171,0.3064,,,,,,,,,,,,
19518,0.3036,,,,,,,,,,,,
18675,0.3307,,,,,,,,,,,,
17818,0.374,,,,,,,,,,,,
17131,0.3964,,,,,,,,,,,,
16369,0.4362,,,,,,,,,,,,
15781,0.4517,,,,,,,,,,,,
15183,0.46,,,,,,,,,,,,
14571,0.4917,,,,,,,,,,,,
14042,0.511,,,,,,,,,,,,
13496,0.5332,,,,,,,,,,,,
13220,0.5003,,,,,,,,,,,,
12367,0.6131,,,,,,,,,,,,
11961,0.6179,,,,,,,,,,,,
11466,0.6452,,,,,,,,,,,,
11011,0.6796,,,,,,,,,,,,
10680,0.6806,,,,,,,,,,,,
10241,0.7153,,,,,,,,,,,,
9824,0.7448,,,,,,,,,,,,
9584,0.7357,,,,,,,,,,,,
9144,0.7767,,,,,,,,,,,,
8885,0.7847,,,,,,,,,,,,
8529,0.8131,,,,,,,,,,,,
8199,0.8422,,,,,,,,,,,,
7993,0.8455,,,,,,,,,,,,
7750,0.8521,,,,,,,,,,,,
7466,0.8671,,,,,,,,,,,,
7248,0.8773,,,,,,,,,,,,
7022,0.8759,,,,,,,,,,,,
6832,0.8818,,,,,,,,,,,,
6590,0.9121,,,,,,,,,,,,
6386,0.9269,,,,,,,,,,,,
6182,0.9436,,,,,,,,,,,,
6020,0.9383,,,,,,,,,,,,
5865,0.9398,,,,,,,,,,,,
5675,0.9479,,,,,,,,,,,,
5557,0.9304,,,,,,,,,,,,
5410,0.9438,,,,,,,,,,,,
5282,0.9367,,,,,,,,,,,,
5094,0.9719,,,,,,,,,,,,
4998,0.9689,,,,,,,,,,,,
4862,0.9833,,,,,,,,,,,,
4747,0.9817,,,,,,,,,,,,
4591,0.973,,,,,,,,,,,,
4477,0.9657,,,,,,,,,,,,
4358,1,,,,,,,,,,,,
4332,0.9606,,,,,,,,,,,,
4196,0.9896,,,,,,,,,,,,
4166,0.9696,,,,,,,,,,,,
4015,0.9706,,,,,,,,,,,,
3971,0.9431,,,,,,,,,,,,
3881,0.9644,,,,,,,,,,,,
3788,0.9624,,,,,,,,,,,,
3710,0.9608,,,,,,,,,,,,
3611,0.9719,,,,,,,,,,,,
3576,0.9376,,,,,,,,,,,,
3586,0.9031,,,,,,,,,,,,
3454,0.9141,,,,,,,,,,,,
3368,0.9534,,,,,,,,,,,,
3312,0.9336,,,,,,,,,,,,
3246,0.9189,,,,,,,,,,,,
3190,0.9125,,,,,,,,,,,,
3125,0.9221,,,,,,,,,,,,
3115,0.8851,,,,,,,,,,,,
3073,0.8932,,,,,,,,,,,,
3006,0.8738,,,,,,,,,,,,
2969,0.8815,,,,,,,,,,,,
2931,0.8703,,,,,,,,,,,,
2892,0.8574,,,,,,,,,,,,
2814,0.8703,,,,,,,,,,,,
2785,0.8428,,,,,,,,,,,,
2791,0.8092,,,,,,,,,,,,
2682,0.8631,,,,,,,,,,,,
2679,0.8314,,,,,,,,,,,,
2638,0.8287,,,,,,,,,,,,
2628,0.795,,,,,,,,,,,,
2599,0.778,,,,,,,,,,,,
2513,0.8193,,,,,,,,,,,,
2496,0.821,,,,,,,,,,,,
2481,0.7748,,,,,,,,,,,,
2444,0.7661,,,,,,,,,,,,
2417,0.7721,,,,,,,,,,,,
2357,0.7672,,,,,,,,,,,,
2366,0.7355,,,,,,,,,,,,
2329,0.7402,,,,,,,,,,,,
2300,0.7355,,,,,,,,,,,,
2258,0.7456,,,,,,,,,,,,
2227,0.7483,,,,,,,,,,,,
2182,0.7702,,,,,,,,,,,,
2180,0.7535,,,,,,,,,,,,
2142,0.7583,,,,,,,,,,,,
2175,0.6507,,,,,,,,,,,,
2107,0.7177,,,,,,,,,,,,
2081,0.7305,,,,,,,,,,,,
2056,0.7158,,,,,,,,,,,,
2052,0.6956,,,,,,,,,,,,
2022,0.7001,,,,,,,,,,,,
1977,0.6822,,,,,,,,,,,,
1989,0.6795,,,,,,,,,,,,
1947,0.7144,,,,,,,,,,,,
1940,0.6724,,,,,,,,,,,,
65108,0.2995,,,,,,,,,,,,
64706,0.2027,,,,,,,,,,,,
59862,0.545,,,,,,,,,,,,
58095,0.3283,,,,,,,,,,,,
55892,0.4629,,,,,,,,,,,,
53976,0.3337,,,,,,,,,,,,
52187,0.6106,,,,,,,,,,,,
50362,0.5095,,,,,,,,,,,,
48566,0.4398,,,,,,,,,,,,
46774,0.3794,,,,,,,,,,,,
45253,0.4659,,,,,,,,,,,,
43621,0.4271,,,,,,,,,,,,
42116,0.3645,,,,,,,,,,,,
40650,0.3164,,,,,,,,,,,,
39310,0.2447,,,,,,,,,,,,
37852,0.2564,,,,,,,,,,,,
36556,0.2176,,,,,,,,,,,,
35376,0.1578,,,,,,,,,,,,
34115,0.1601,,,,,,,,,,,,
32882,0.1556,,,,,,,,,,,,
31821,0.1317,,,,,,,,,,,,
30653,0.1429,,,,,,,,,,,,
29672,0.1194,,,,,,,,,,,,
28679,0.1212,,,,,,,,,,,,
27631,0.1432,,,,,,,,,,,,
26824,0.0943,,,,,,,,,,,,
25888,0.1022,,,,,,,,,,,,
24905,0.1742,,,,,,,,,,,,
24143,0.141,,,,,,,,,,,,
23497,0.0841,,,,,,,,,,,,
22487,0.2002,,,,,,,,,,,,
21887,0.1401,,,,,,,,,,,,
21190,0.1392,,,,,,,,,,,,
