reflectance1,absorption1,reflectance2,absorption2
1.35573130381557e-05,0.499633876101386,1.77392636300577e-06,0.0487908460517971
1.31107720837074e-05,0.484914076696424,1.86688797882296e-06,0.0448790006054077
1.25473512821217e-05,0.4818698640186,1.86141964848077e-06,0.06228829767819
1.21232872213538e-05,0.469000446791459,1.99922157310391e-06,0.0503852731279953
1.18101091694086e-05,0.447991710548424,2.10640084781079e-06,0.046043295773083
1.12848990870793e-05,0.447647164221102,2.11186917815298e-06,0.0616570719125227
1.10204209714414e-05,0.42512809319625,2.2026434618333e-06,0.0615021360551571
1.05993538298308e-05,0.418747693438265,2.30435440619799e-06,0.0601313626347073
1.04038048548124e-05,0.392174068253416,2.43340700227363e-06,0.0549402238031731
9.88983321932328e-06,0.398282386476256,2.49793330031145e-06,0.0614108553685996
9.53095215022814e-06,0.390897583596283,2.51324462526957e-06,0.0763378644385101
9.15408956618878e-06,0.387134924163526,2.65760854630333e-06,0.0706862545177706
8.85514688024105e-06,0.376671965192503,2.74947649605209e-06,0.0742049347318865
8.57043956029084e-06,0.366058982544181,2.81290912802147e-06,0.082543943065049
8.30671067444222e-06,0.354436480523155,2.98133370256086e-06,0.0759502488416683
8.01001567786252e-06,0.348009972820813,3.03382967384586e-06,0.0867886285884548
7.81146978368671e-06,0.331288098303451,3.13116595393681e-06,0.0917037546632857
7.50428557005621e-06,0.328951097168112,3.27881087317588e-06,0.0904137234784944
7.30499044609106e-06,0.314644237811207,3.37067882292464e-06,0.0972317430568406
7.10269840296854e-06,0.301786562380349,3.54675905994309e-06,0.0939056808216402
6.8666910193256e-06,0.294448715132767,3.67581165601873e-06,0.0973233551913235
6.57074525253524e-06,0.296572472314006,3.74033795405655e-06,0.109040129750424
6.41490545635197e-06,0.280951819952439,3.93719784637531e-06,0.10568913994879
6.16166578755414e-06,0.280071498838666,4.0531264496297e-06,0.112447123417721
6.04103979146997e-06,0.261388496250022,4.18874104211596e-06,0.11756804087188
5.79004781204018e-06,0.262794882902456,4.40747425580347e-06,0.114525410395451
5.60049267533648e-06,0.256420141106978,4.51574719657879e-06,0.123839741165992
5.44015750041715e-06,0.246642224170903,4.66667311402318e-06,0.129317847621699
5.26333927013228e-06,0.240514609530485,4.83947235283632e-06,0.133287141481613
5.11199485268506e-06,0.231343778780126,5.0571119004554e-06,0.133748537819578
4.90895357977319e-06,0.231884686052338,5.22444280892635e-06,0.139732574009302
4.7546122431686e-06,0.225421800353522,5.38849271919199e-06,0.146647114071038
4.67219696634091e-06,0.207294456162643,5.67284589698576e-06,0.143776683545574
4.48339105942656e-06,0.208893111271167,5.80627315733515e-06,0.154686504503269
4.40622039112426e-06,0.191261949076502,6.0435986941861e-06,0.157543286120473
4.18444837347883e-06,0.20147997173501,6.18140061880924e-06,0.169194261714624
4.07206390507743e-06,0.192202993243523,6.45700446805551e-06,0.170548080718382
3.97241634309485e-06,0.181218964154474,6.72276532268584e-06,0.173641202599308
3.81133193838618e-06,0.183516441173088,6.91087588645711e-06,0.183317158814398
