intensity,750,800,850,uaa,left,right,ctr
1561,1937,2067,1577,0.0997,,,
1614,1941,2080,1596,0,,,
1557,1992,2128,1596,0.4951,,,
1589,1997,2157,1650,0.5479,,,
1603,2048,2158,1658,0.304,,,
1633,2018,2172,1636,0.4579,,,
1685,2050,2219,1660,0.1158,,,
1626,2078,2261,1655,0.678,,,
1699,2144,2281,1696,0.029,,,
1665,2140,2288,1702,0.3598,,,
1717,2161,2344,1728,0.2636,,,
1717,2190,2354,1740,0.3052,,,
1716,2189,2322,1777,0.3951,,,
1739,2268,2384,1772,0.2488,,,
1746,2285,2453,1788,0.5529,,,
1788,2327,2469,1854,0.3459,,,
1765,2346,2511,1828,0.4751,,,
1804,2376,2496,1871,0.4788,,,
1808,2428,2537,1876,0.4101,,,
1850,2442,2578,1911,0.4842,,,
1832,2485,2616,1917,0.5499,,,
1899,2497,2686,1961,0.409,,,
1889,2564,2742,2002,0.7214,,,
1930,2548,2749,2008,0.5149,,,
1961,2655,2752,2011,0.4744,,,
1963,2701,2822,2071,0.4581,,,
2008,2715,2852,2051,0.5655,,,
2042,2746,2876,2141,0.4053,,,
2104,2802,2910,2148,0.2654,,,
2068,2852,3026,2191,0.5679,,,
2086,2887,3029,2186,0.5364,,,
2084,2923,3110,2230,0.631,,,
2146,2997,3161,2231,0.7754,,,
2159,3064,3171,2323,0.6088,,,
2170,3106,3243,2291,0.6933,,,
2228,3121,3296,2348,0.591,,,
2277,3214,3365,2433,0.5969,,,
2335,3316,3461,2489,0.5063,,,
2333,3328,3483,2504,0.6814,,,
2391,3383,3581,2513,0.6027,,,
2353,3448,3613,2560,0.7836,,,
2401,3548,3705,2609,0.7638,,,
2428,3541,3772,2578,0.7964,,,
2462,3622,3856,2629,0.8681,,,
2525,3723,3920,2709,0.7292,,,
2568,3850,4021,2803,0.8118,,,
2571,3886,4059,2851,0.9437,,,
2656,3985,4167,2888,0.8849,,,
2660,4060,4245,2941,0.8737,,,
2741,4128,4333,3024,0.8719,,,
2795,4217,4443,3058,0.8172,,,
2821,4304,4517,3127,0.9467,,,
2917,4417,4638,3186,0.6874,,,
2914,4562,4744,3265,1,,,
3002,4640,4849,3370,0.8262,,,
3058,4713,4949,3413,0.9345,,,
3121,4859,5075,3480,0.7766,,,
3163,4964,5199,3539,0.8354,,,
3283,5130,5313,3656,0.6979,,,
3309,5218,5448,3755,0.8048,,,
3452,5364,5574,3791,0.6973,,,
3467,5526,5763,3898,0.7915,,,
3539,5645,5903,3991,0.8444,,,
3602,5823,6069,4099,0.9168,,,
3715,5950,6178,4225,0.7876,,,
3753,6166,6345,4303,0.7974,,,
3868,6329,6489,4408,0.8497,,,
3945,6528,6735,4566,0.8833,,,
4075,6740,6884,4652,0.7609,,,
4155,6902,7148,4778,0.8219,,,
4251,7072,7326,4976,0.8078,,,
4357,7229,7632,5108,0.7845,,,
4483,7557,7771,5222,0.7465,,,
4608,7730,8011,5355,0.7664,,,
4713,8063,8246,5522,0.733,,,
4876,8271,8568,5707,0.7372,,,
5034,8524,8835,5940,0.5747,,,
5156,8857,9108,6075,0.5959,,,
5285,9176,9479,6293,0.5976,,,
5429,9441,9689,6478,0.5831,,,
5637,9815,10047,6752,0.6074,,,
5782,10158,10462,6926,0.6168,,,
6003,10567,10762,7194,0.5324,,,
6223,10973,11156,7488,0.4452,,,
6381,11333,11643,7688,0.4934,,,
6634,11789,11997,7953,0.734,,,
6836,12230,12526,8315,0.7507,,,
7142,12800,12995,8613,0.5632,,,
7463,13246,13493,9040,0.3592,,,
7631,13750,13999,9252,0.5121,,,
7958,14279,14586,9607,0.3582,,,
8314,14929,15163,10100,0.4702,,,
8563,15422,15777,10409,0.4729,,,
8885,16211,16349,10798,0.3853,,,
9222,16892,17084,11199,0.8897,,,
9620,17552,17834,11681,0.7568,,,
10050,18444,18699,12285,0.6311,,,
10575,19130,19358,12774,0.361,,,
10901,19856,20174,13251,0.4049,,,
11298,20783,21002,13781,0.4967,,,
11752,21533,21915,14280,0.4395,,,
12252,22603,22809,15005,0.6498,,,
12820,23414,23763,15544,0.5109,,,
13368,24489,24860,16227,0.4069,,,
13868,25676,25898,17012,0.3529,,,
14561,26793,27046,17769,0.6538,,,
15308,27972,28213,18630,0.4581,,,
15895,29210,29414,19376,0.4386,,,
16530,30520,30671,20060,0.3819,,,
17409,31938,32129,21109,0.5133,,,
18018,33275,33403,21921,0.5446,,,
18727,34639,34907,22834,0.9369,,,
19631,36092,36315,23785,0.7479,,,
20414,37545,37750,24816,0.761,,,
21266,39253,39441,25897,0.7078,,,
22200,40836,41123,27013,0.682,,,
23181,42621,42807,28144,0.5997,,,
24092,44288,44669,29276,0.6671,,,
25211,46203,46443,30456,0.5318,,,
26161,48103,48386,31774,0.6299,,,
27300,50206,50182,33207,0.6089,,,
28476,52295,52241,34507,0.6095,,,
29576,54279,54330,35966,0.7316,,,
30773,56148,56437,37262,0.7855,,,
32109,58242,58561,38577,0.8144,,,
33510,60379,60830,40153,0.8797,,,
34747,63100,63636,41530,0.5708,,,
899,,,,0.7747,,,
902,,,,1,,,
906,,,,0.5099,,,
876,,,,0.2069,,,
884,,,,0.6167,,,
912,,,,0.5084,,,
942,,,,0.3274,,,
914,,,,0.8648,,,
931,,,,0.6288,,,
961,,,,0.2973,,,
979,,,,0.3896,,,
948,,,,0.2874,,,
980,,,,0.467,,,
998,,,,0.4141,,,
980,,,,0.5482,,,
1012,,,,0.1853,,,
1016,,,,0.1575,,,
1026,,,,0.3697,,,
1027,,,,0.3837,,,
1043,,,,0.207,,,
1022,,,,0.2435,,,
1124,,,,0.3484,,,
1062,,,,0.2761,,,
1105,,,,0.439,,,
1117,,,,0.256,,,
1127,,,,0.2321,,,
1129,,,,0.2146,,,
1186,,,,0.0363,,,
1139,,,,0.1688,,,
1207,,,,0.1951,,,
1193,,,,0.2008,,,
1236,,,,0.2949,,,
1271,,,,0.1354,,,
1261,,,,0.1663,,,
1295,,,,0.1422,,,
1341,,,,0.1001,,,
1328,,,,0.1891,,,
1364,,,,0.1418,,,
1406,,,,0,,,
1442,,,,0.1498,,,
1451,,,,0.0176,,,
1435,,,,0.1435,,,
1502,,,,0.2466,,,
1561,,,,0.2053,,,
1535,,,,0.2235,,,
1596,,,,0.1737,,,
1658,,,,0.1274,,,
1591,,,,0.3562,,,
1707,,,,0.2947,,,
1749,,,,0.1657,,,
1778,,,,0.1708,,,
1799,,,,0.2005,,,
1861,,,,0.1838,,,
1920,,,,0.2129,,,
1944,,,,0.1635,,,
1988,,,,0.1292,,,
2106,,,,0.1979,,,
2105,,,,0.1551,,,
2170,,,,0.2029,,,
2203,,,,0.2066,,,
2254,,,,0.1179,,,
2326,,,,0.1209,,,
2441,,,,0.1495,,,
2509,,,,0.1973,,,
2546,,,,0.1275,,,
2580,,,,0.1583,,,
2719,,,,0.1413,,,
2747,,,,0.1688,,,
2909,,,,0.1571,,,
2910,,,,0.1695,,,
3091,,,,0.1306,,,
3127,,,,0.1364,,,
3234,,,,0.1539,,,
3355,,,,0.1841,,,
3441,,,,0.1238,,,
3538,,,,0.1205,,,
3722,,,,0.1755,,,
3787,,,,0.168,,,
3922,,,,0.1528,,,
4060,,,,0.1601,,,
4227,,,,0.1217,,,
4341,,,,0.1048,,,
4508,,,,0.1376,,,
4632,,,,0.1467,,,
4852,,,,0.1039,,,
5022,,,,0.0837,,,
5174,,,,0.1229,,,
5373,,,,0.1228,,,
5545,,,,0.1612,,,
5786,,,,0.0893,,,
6031,,,,0.0762,,,
6192,,,,0.1114,,,
6511,,,,0.1153,,,
6742,,,,0.1219,,,
7005,,,,0.1135,,,
7300,,,,0.1384,,,
7602,,,,0.153,,,
7989,,,,0.1453,,,
8352,,,,0.0986,,,
8642,,,,0.1397,,,
9066,,,,0.1456,,,
9470,,,,0.131,,,
9835,,,,0.1041,,,
10315,,,,0.127,,,
10844,,,,0.1344,,,
11328,,,,0.1488,,,
11930,,,,0.1531,,,
12486,,,,0.1381,,,
13071,,,,0.0893,,,
13688,,,,0.1064,,,
14463,,,,0.1016,,,
15028,,,,0.1179,,,
15695,,,,0.1312,,,
16255,,,,0.1412,,,
17189,,,,0.1129,,,
17966,,,,0.1575,,,
18867,,,,0.0979,,,
19818,,,,0.1435,,,
20719,,,,0.0741,,,
21767,,,,0.1226,,,
22845,,,,0.1483,,,
24017,,,,0.1735,,,
25265,,,,0.1254,,,
26537,,,,0.1661,,,
27873,,,,0.1311,,,
29205,,,,0.0585,,,
30841,,,,0.1272,,,
32136,,,,0.0904,,,
932,,,,0.2425,,,
928,,,,0.4623,,,
958,,,,0.408,,,
1002,,,,0.4047,,,
963,,,,0.2535,,,
944,,,,0.4579,,,
1000,,,,0.2045,,,
971,,,,0.2909,,,
999,,,,0.0209,,,
1012,,,,0.1578,,,
1005,,,,0.2078,,,
1038,,,,0.0311,,,
1023,,,,0.0586,,,
1034,,,,0.2495,,,
1067,,,,0.1359,,,
1070,,,,0.6441,,,
1085,,,,1,,,
1086,,,,0.3621,,,
1097,,,,0.5114,,,
1141,,,,0.2077,,,
1129,,,,0.018,,,
1131,,,,0,,,
1104,,,,0.7584,,,
1155,,,,0.0977,,,
1155,,,,0.2438,,,
1182,,,,0.5113,,,
1224,,,,0.2801,,,
1228,,,,0.2313,,,
1249,,,,0.6918,,,
1247,,,,0.5035,,,
1243,,,,0.1164,,,
1284,,,,0.4133,,,
1284,,,,0.1751,,,
1322,,,,0.0808,,,
1347,,,,0.3056,,,
1347,,,,0.1403,,,
1416,,,,0.2475,,,
1415,,,,0.2254,,,
1490,,,,0.2957,,,
1465,,,,0.2202,,,
1498,,,,0.2389,,,
1573,,,,0.1454,,,
1540,,,,0.2169,,,
1617,,,,0.1452,,,
1645,,,,0.1675,,,
1678,,,,0.2882,,,
1724,,,,0.1827,,,
1758,,,,0.2921,,,
1845,,,,0.1904,,,
1880,,,,0.197,,,
1898,,,,0.2619,,,
1931,,,,0.2649,,,
2039,,,,0.2702,,,
2053,,,,0.3049,,,
2080,,,,0.2174,,,
2201,,,,0.2321,,,
2232,,,,0.2245,,,
2289,,,,0.2623,,,
2293,,,,0.2461,,,
2436,,,,0.1798,,,
2499,,,,0.2434,,,
2566,,,,0.1794,,,
2650,,,,0.2382,,,
2733,,,,0.2846,,,
2789,,,,0.2536,,,
2894,,,,0.2363,,,
2952,,,,0.2524,,,
3045,,,,0.2662,,,
3175,,,,0.2316,,,
3280,,,,0.2554,,,
3374,,,,0.2727,,,
3434,,,,0.2612,,,
3578,,,,0.2279,,,
3669,,,,0.2319,,,
3816,,,,0.2038,,,
3966,,,,0.2062,,,
4027,,,,0.2179,,,
4174,,,,0.2372,,,
4363,,,,0.2517,,,
4448,,,,0.2442,,,
4636,,,,0.2574,,,
4840,,,,0.2514,,,
4993,,,,0.2459,,,
5185,,,,0.2087,,,
5425,,,,0.2188,,,
5636,,,,0.2439,,,
5839,,,,0.2509,,,
6034,,,,0.2637,,,
6335,,,,0.2541,,,
6646,,,,0.2319,,,
6854,,,,0.2307,,,
7213,,,,0.2616,,,
7502,,,,0.2317,,,
7739,,,,0.2205,,,
8114,,,,0.2526,,,
8475,,,,0.213,,,
8831,,,,0.249,,,
9290,,,,0.2294,,,
9669,,,,0.2304,,,
10025,,,,0.2592,,,
10471,,,,0.2468,,,
10909,,,,0.2439,,,
11404,,,,0.2436,,,
11912,,,,0.2429,,,
12425,,,,0.2339,,,
13032,,,,0.2185,,,
13630,,,,0.2132,,,
14311,,,,0.2051,,,
14971,,,,0.2454,,,
15606,,,,0.235,,,
16339,,,,0.2145,,,
17087,,,,0.2247,,,
17865,,,,0.2249,,,
18535,,,,0.2277,,,
19421,,,,0.2078,,,
20370,,,,0.2181,,,
21392,,,,0.2191,,,
22289,,,,0.2148,,,
23295,,,,0.2257,,,
24383,,,,0.2152,,,
25583,,,,0.235,,,
26796,,,,0.2257,,,
28073,,,,0.2399,,,
29362,,,,0.2518,,,
30777,,,,0.2453,,,
32220,,,,0.2571,,,
33631,,,,0.242,,,
35238,,,,0.2298,,,
791,,,,0.4889,,,
813,,,,0.6166,,,
779,,,,0.6166,,,
840,,,,0.425,,,
833,,,,0.425,,,
835,,,,0.7444,,,
865,,,,0.7444,,,
841,,,,0.7444,,,
824,,,,0.7444,,,
830,,,,0.7444,,,
900,,,,1,,,
872,,,,1,,,
895,,,,1,,,
896,,,,1,,,
898,,,,1,,,
927,,,,1,,,
898,,,,0.8722,,,
904,,,,0.8722,,,
940,,,,0.8722,,,
952,,,,0.8722,,,
952,,,,0.8722,,,
963,,,,0.8722,,,
944,,,,0.8722,,,
1008,,,,0.8722,,,
1031,,,,0.8722,,,
1062,,,,0.8722,,,
1065,,,,0.8722,,,
1068,,,,0.7444,,,
1067,,,,0.7444,,,
1116,,,,0.7444,,,
1048,,,,0.7444,,,
1121,,,,0.7444,,,
1162,,,,0.2584,,,
1183,,,,0.3758,,,
1188,,,,0.9171,,,
1216,,,,0.0231,,,
1242,,,,0.0806,,,
1287,,,,0.116,,,
1289,,,,0,,,
1302,,,,0.256,,,
1329,,,,0.0094,,,
1380,,,,0.0589,,,
1435,,,,0.132,,,
1441,,,,0.0125,,,
1460,,,,0.1547,,,
1493,,,,0.0032,,,
1533,,,,0.0998,,,
1607,,,,0.4355,,,
1597,,,,0.3108,,,
1649,,,,0.3682,,,
1692,,,,0.4148,,,
1693,,,,0.275,,,
1818,,,,0.3387,,,
1838,,,,0.4076,,,
1886,,,,0.3708,,,
1951,,,,0.2551,,,
1989,,,,0.2429,,,
2035,,,,0.3622,,,
2137,,,,0.2404,,,
2132,,,,0.326,,,
2244,,,,0.2419,,,
2299,,,,0.2679,,,
2379,,,,0.2277,,,
2443,,,,0.2874,,,
2513,,,,0.3951,,,
2613,,,,0.3278,,,
2693,,,,0.3265,,,
2787,,,,0.2684,,,
2856,,,,0.3507,,,
2961,,,,0.3879,,,
3038,,,,0.3042,,,
3080,,,,0.3594,,,
3274,,,,0.3482,,,
3329,,,,0.3245,,,
3462,,,,0.2797,,,
3589,,,,0.3257,,,
3759,,,,0.304,,,
3815,,,,0.4623,,,
3987,,,,0.3866,,,
4088,,,,0.4201,,,
4270,,,,0.3817,,,
4393,,,,0.4209,,,
4561,,,,0.4575,,,
4770,,,,0.4537,,,
4871,,,,0.4014,,,
5038,,,,0.4373,,,
5248,,,,0.4579,,,
5458,,,,0.4162,,,
5743,,,,0.395,,,
5900,,,,0.4404,,,
6036,,,,0.4535,,,
6333,,,,0.4516,,,
6602,,,,0.42,,,
