intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
15360,0.0715,12917,13754,10929,10854,10291,11763,11688,13254
15926,0.0715,13221,14208,11196,11184,10608,12152,12052,13606
16525,0.0715,13669,14741,11571,11583,10979,12529,12396,14042
17102,0.0715,13916,15250,12069,11996,11287,12900,12815,14514
17639,0.0715,14511,15835,12480,12409,11601,13351,13264,15024
18374,0.0715,14841,16341,12926,12762,12083,13775,13792,15449
18936,0.0715,15256,16971,13402,13165,12416,14275,14265,16065
19605,0.0715,15731,17590,13788,13637,12833,14621,14716,16518
20333,0.0715,16214,18312,14474,14189,13233,15206,15271,17101
21100,0.0715,16724,18952,14856,14658,13651,15580,15852,17650
21842,0.0715,17278,19588,15366,15097,14085,16076,16295,18294
22651,0.0715,17721,20306,15933,15584,14495,16659,16887,18729
23406,0.0715,18225,21038,16524,16137,15030,17128,17437,19427
24263,0.0715,18851,21839,17027,16693,15481,17777,18115,20009
25174,0.0715,19443,22578,17722,17360,16020,18392,18596,20790
25998,0.0715,20149,23560,18327,17893,16551,18999,19308,21497
26958,0.0715,20823,24408,18963,18558,17141,19612,20009,22201
27954,0.0715,21461,25370,19691,19170,17743,20334,20762,22945
28996,0.0715,22096,26300,20479,19756,18339,21075,21406,23606
30017,0.0715,22877,27442,21199,20472,18948,21705,22228,24561
31219,0.0715,23675,28533,21909,21328,19725,22541,23030,25358
32349,0.0715,24464,29482,22665,21965,20245,23328,23809,26280
33395,0.0715,25180,30519,23501,22802,20936,23998,24591,27137
34536,0.0715,26019,31669,24244,23546,21565,24903,25406,28126
35904,0.0715,26868,32948,25115,24286,22401,25647,26320,29143
36917,0.0715,27868,33999,25889,25165,23076,26711,27186,29995
1540,0.6233,,,,,,,,
1573,0.2331,,,,,,,,
1584,0.3282,,,,,,,,
1625,0.1073,,,,,,,,
1626,0.1738,,,,,,,,
1630,0.275,,,,,,,,
1670,0.106,,,,,,,,
1694,0.238,,,,,,,,
1709,0.1257,,,,,,,,
1736,0.0333,,,,,,,,
1753,0.1485,,,,,,,,
1786,0.1463,,,,,,,,
1771,0.1889,,,,,,,,
1847,0.0283,,,,,,,,
1864,0.9924,,,,,,,,
1887,0.9067,,,,,,,,
1902,0.9629,,,,,,,,
1946,0.9912,,,,,,,,
1985,0.5944,,,,,,,,
2015,0.864,,,,,,,,
2023,1,,,,,,,,
2115,0.7536,,,,,,,,
2134,0.754,,,,,,,,
2150,0.917,,,,,,,,
2226,0.518,,,,,,,,
2243,0.6045,,,,,,,,
2291,0.4928,,,,,,,,
2341,0.6054,,,,,,,,
2375,0.5726,,,,,,,,
2432,0.5595,,,,,,,,
2511,0.4365,,,,,,,,
2549,0.4899,,,,,,,,
2560,0.5996,,,,,,,,
2673,0.4156,,,,,,,,
2708,0.268,,,,,,,,
2756,0.3237,,,,,,,,
2816,0.3356,,,,,,,,
2827,0.4148,,,,,,,,
3020,0,,,,,,,,
3001,0.2795,,,,,,,,
3062,0.7828,,,,,,,,
3153,0.6075,,,,,,,,
3188,0.7257,,,,,,,,
3267,0.676,,,,,,,,
3353,0.6098,,,,,,,,
3385,0.6522,,,,,,,,
3491,0.5937,,,,,,,,
3589,0.4438,,,,,,,,
3657,0.5213,,,,,,,,
3739,0.459,,,,,,,,
3860,0.3469,,,,,,,,
3956,0.3849,,,,,,,,
4011,0.4361,,,,,,,,
4112,0.2178,,,,,,,,
4218,0.2056,,,,,,,,
4301,0.6432,,,,,,,,
4413,0.6359,,,,,,,,
4518,0.6457,,,,,,,,
4616,0.6596,,,,,,,,
4706,0.6878,,,,,,,,
4848,0.5942,,,,,,,,
4992,0.5387,,,,,,,,
5119,0.4745,,,,,,,,
5235,0.4646,,,,,,,,
5327,0.5561,,,,,,,,
5498,0.4673,,,,,,,,
5659,0.434,,,,,,,,
5758,0.5363,,,,,,,,
5894,0.5611,,,,,,,,
6083,0.4874,,,,,,,,
6205,0.4411,,,,,,,,
6431,0.31,,,,,,,,
6542,0.4528,,,,,,,,
6721,0.4542,,,,,,,,
6947,0.3919,,,,,,,,
7067,0.5287,,,,,,,,
7342,0.3245,,,,,,,,
7508,0.3703,,,,,,,,
7716,0.4018,,,,,,,,
7929,0.3817,,,,,,,,
8116,0.4231,,,,,,,,
8417,0.3217,,,,,,,,
8576,0.4095,,,,,,,,
8870,0.3932,,,,,,,,
9124,0.3401,,,,,,,,
9336,0.4439,,,,,,,,
9645,0.386,,,,,,,,
9908,0.3893,,,,,,,,
10275,0.3114,,,,,,,,
10621,0.2822,,,,,,,,
10889,0.3452,,,,,,,,
11240,0.3566,,,,,,,,
11569,0.3429,,,,,,,,
11943,0.3603,,,,,,,,
12317,0.3675,,,,,,,,
12670,0.4065,,,,,,,,
13099,0.3773,,,,,,,,
13685,0.224,,,,,,,,
14144,0.2317,,,,,,,,
14495,0.3346,,,,,,,,
14951,0.3708,,,,,,,,
15373,0.447,,,,,,,,
15896,0.4519,,,,,,,,
16499,0.4085,,,,,,,,
16999,0.4738,,,,,,,,
17628,0.4758,,,,,,,,
